,회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),"선급공사비,외주비(IFRS연결)(천원)",매출액(수익)(*)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원)
0,(주)BNK금융지주,138930,2020/03,,,,,,,,,,,
1,(주)DB하이텍,990,2020/03,1147544132.0,64566176.0,462647412.0,475541647.0,237537339.0,47225696.0,0.0,225803046.0,65744831.0,10680009.0,55064822.0
2,(주)JB금융지주,175330,2020/03,,,,,,,,,,,
3,(주)KB금융지주,105560,2020/03,,,,,,,,,,,
4,(주)강원랜드,35250,2020/03,4370236586.0,82743476.0,994522208.0,1989263303.0,918554381.0,2336092.0,0.0,236006485.0,-220364539.0,-64247949.0,-156116590.0
5,(주)녹십자,6280,2020/03,1945622138.0,50343694.0,783730627.0,931975898.0,399953747.0,72781000.0,0.0,307782419.0,-4151904.0,-229567.0,-4034289.0
6,(주)녹십자홀딩스,5250,2020/03,2783286010.0,130222707.0,1312862442.0,1116260017.0,717441105.0,89292000.0,0.0,359484263.0,-10005595.0,76209.0,-10193756.0
7,(주)농심,4370,2020/03,2784766166.0,382451653.0,790690213.0,1177587756.0,662208193.0,47729127.0,0.0,687679703.0,65006459.0,16134009.0,48872450.0
8,(주)대우건설,47040,2020/03,10010135573.0,1198528323.0,7407376677.0,6344316154.0,5585755749.0,46065000.0,0.0,1985826748.0,73709111.0,11768466.0,61940645.0
9,(주)대웅,3090,2020/03,1678054563.0,139097373.0,649860495.0,774314106.0,290737620.0,53307775.0,0.0,328293864.0,23546111.0,5447783.0,18098328.0
10,(주)대웅제약,69620,2020/03,1274550094.0,77245834.0,610708235.0,559007439.0,263395156.0,36084022.0,0.0,257405399.0,4397393.0,1378709.0,3018684.0
11,(주)대한항공,3490,2020/03,26860186833.0,826236332.0,24829269614.0,3867573751.0,8958446454.0,99395955.0,0.0,2427305482.0,-979586427.0,-242728658.0,-736857769.0
12,(주)더블유게임즈,192080,2020/03,1137397571.0,125222996.0,420911875.0,202179147.0,72480128.0,0.0,0.0,137445486.0,41052608.0,8855910.0,32196698.0
13,(주)동서,26960,2020/03,1450583815.0,21359326.0,130641893.0,733706367.0,65152592.0,0.0,0.0,121422377.0,49028186.0,10296522.0,38731664.0
14,(주)두산,150,2020/03,30389377613.0,1808213462.0,23861138760.0,12231406996.0,17160287809.0,925679000.0,0.0,4427092194.0,-295079385.0,80295438.0,-379850398.0
15,(주)메리츠금융지주,138040,2020/03,,,,,,,,,,,
16,(주)보령,3850,2020/03,494446731.0,1995522.0,207305029.0,220473596.0,122230130.0,20921112.0,0.0,134211630.0,12909938.0,4575953.0,8333984.0
17,(주)비지에프리테일,282330,2020/03,2178886669.0,20924859.0,1591177783.0,701545747.0,957135688.0,770000.0,0.0,1393051925.0,17668514.0,5661667.0,12006847.0
18,(주)셀트리온,68270,2020/03,4124016575.0,597023979.0,1119381894.0,1977808329.0,724209101.0,147115281.0,0.0,372847105.0,138432112.0,33140091.0,105292022.0
19,(주)신세계,4170,2020/03,13103736337.0,300889984.0,7722182809.0,2114869545.0,3628245494.0,6125000.0,0.0,1196855928.0,3861506.0,2254251.0,1607255.0
20,(주)신세계인터내셔날,31430,2020/03,1133811766.0,16816610.0,537863777.0,435531463.0,353328098.0,6092844.0,0.0,323354050.0,8955646.0,4276301.0,4679345.0
21,(주)신한금융지주회사,55550,2020/03,,,,,,,,,,,
22,(주)아모레퍼시픽,90430,2020/03,5905020014.0,542692856.0,1397344499.0,1705831255.0,1005796772.0,57854000.0,0.0,1130856907.0,65591363.0,-1375378.0,66966741.0
23,(주)아모레퍼시픽그룹,2790,2020/03,8046010800.0,1077171219.0,1704578634.0,2678260854.0,1179978099.0,78660000.0,0.0,1279334354.0,103343783.0,8531547.0,94812235.0
24,(주)에스원,12750,2020/03,1816007626.0,233715299.0,538359276.0,728901302.0,425337356.0,0.0,0.0,533677037.0,46720660.0,12143291.0,34577369.0
25,(주)엔씨소프트,36570,2020/03,3570851217.0,285991150.0,963996117.0,2306020703.0,558216025.0,0.0,0.0,731110935.0,255612366.0,60171690.0,195440676.0
26,(주)엘에스,6260,2020/03,11397992000.0,1049666000.0,7166096000.0,6581008000.0,4258898000.0,0.0,0.0,2581451000.0,29951000.0,22328000.0,7402000.0
27,(주)엘엑스인터내셔널,1120,2020/03,5332966332.0,677062332.0,3544248138.0,2920398129.0,2382358071.0,11385000.0,0.0,2449804181.0,374513434.0,104037462.0,270475972.0
28,(주)엘지,3550,2020/03,22634923000.0,1540602000.0,3354791000.0,3792161000.0,2186769000.0,5147000.0,0.0,1585377000.0,616929000.0,24847000.0,592082000.0
29,(주)엘지생활건강,51900,2020/03,6542249471.0,571491962.0,2192984196.0,2129294922.0,1685968418.0,99394000.0,0.0,1896362101.0,320330472.0,86112387.0,234218085.0
30,(주)엘지유플러스,32640,2020/03,18059864000.0,394629000.0,10740277000.0,5149848000.0,4563613000.0,0.0,0.0,3286649000.0,193489000.0,44446000.0,148770000.0
31,(주)엘지화학,51910,2020/03,37121128000.0,2767390000.0,19705039000.0,13994426000.0,9868957000.0,1254320000.0,0.0,7115729000.0,176012000.0,115488000.0,36347000.0
32,(주)영원무역,111770,2020/03,3329102268.0,498226108.0,1343473141.0,1818890047.0,876536174.0,182925889.0,0.0,529025512.0,63196875.0,15762970.0,47433904.0
33,(주)영풍,670,2020/03,4772438092.0,219197511.0,1076558773.0,1427478146.0,619147563.0,100287784.0,0.0,734849049.0,69593309.0,19798783.0,49794526.0
34,(주)오뚜기,7310,2020/03,2323118332.0,135537081.0,950919698.0,805703979.0,631009426.0,83551620.0,0.0,645533926.0,58595414.0,8693719.0,49901694.0
35,(주)오리온,271560,2020/03,2518364401.0,229674712.0,778189344.0,640575120.0,446123498.0,51918397.0,0.0,539802073.0,104652600.0,29678140.0,74974461.0
36,(주)오리온홀딩스,1800,2020/03,4423864559.0,241961333.0,1024827151.0,792341170.0,483493811.0,52103934.0,0.0,572168748.0,89683238.0,26402497.0,63280741.0
37,(주)우리금융지주,316140,2020/03,,,,,,,,,,,
38,(주)유한양행,100,2020/03,2252413691.0,494522755.0,518664130.0,1253369445.0,398992077.0,49198468.0,0.0,313276060.0,157661075.0,42304306.0,115356769.0
