,회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),"선급공사비,외주비(IFRS연결)(천원)",매출액(수익)(*)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원)
0,(주)BNK금융지주,138930,2020/06,,,,,,,,,,,
1,(주)DB하이텍,990,2020/06,1119078521.0,30746312.0,384003875.0,400515703.0,259077360.0,47807241.0,0.0,467454113.0,133612975.0,28195552.0,105417424.0
2,(주)JB금융지주,175330,2020/06,,,,,,,,,,,
3,(주)KB금융지주,105560,2020/06,,,,,,,,,,,
4,(주)강원랜드,35250,2020/06,3917774981.0,132910626.0,590028215.0,1382669328.0,490598293.0,2292481.0,0.0,270639302.0,-292697014.0,-91020313.0,-201676701.0
5,(주)녹십자,6280,2020/06,2049490835.0,120530775.0,871810566.0,990741760.0,572603931.0,68870000.0,0.0,667802356.0,16945438.0,7277609.0,9830793.0
6,(주)녹십자홀딩스,5250,2020/06,3184314165.0,225359334.0,1682597679.0,1265343990.0,1067244522.0,86725000.0,0.0,778126624.0,35359141.0,16133099.0,19389007.0
7,(주)농심,4370,2020/06,2792907590.0,367529021.0,773454947.0,1178038704.0,647713050.0,61203320.0,0.0,1355698170.0,115153583.0,29878603.0,85274980.0
8,(주)대우건설,47040,2020/06,9621140583.0,930100973.0,6980650685.0,6106882078.0,5233341035.0,45505000.0,0.0,3949033397.0,146953002.0,32628295.0,114324707.0
9,(주)대웅,3090,2020/06,1649563016.0,143043756.0,625733983.0,737186542.0,269244689.0,58066680.0,0.0,657304140.0,37407644.0,7766043.0,29641601.0
10,(주)대웅제약,69620,2020/06,1250486026.0,73873130.0,594666296.0,525480360.0,249692239.0,44456860.0,0.0,511346160.0,-2863066.0,-2350085.0,-512981.0
11,(주)대한항공,3490,2020/06,26680165564.0,1348535379.0,24455765733.0,4312465500.0,8993395582.0,104173727.0,0.0,4155749477.0,-748307732.0,-128819493.0,-619488240.0
12,(주)더블유게임즈,192080,2020/06,1043935387.0,42481116.0,106317855.0,135764997.0,60670985.0,0.0,0.0,326196799.0,76174540.0,22415775.0,53758765.0
13,(주)동서,26960,2020/06,1481080568.0,19771792.0,127307114.0,737577828.0,58164672.0,0.0,0.0,238638124.0,90102782.0,17064599.0,73038183.0
14,(주)두산,150,2020/06,30248059149.0,1942347586.0,23715790161.0,11768035062.0,16797014886.0,954597000.0,0.0,8636290168.0,-456811931.0,155083992.0,-617015547.0
15,(주)메리츠금융지주,138040,2020/06,,,,,,,,,,,
16,(주)보령,3850,2020/06,628280995.0,69721063.0,294292015.0,344033653.0,132344156.0,24291154.0,0.0,268709685.0,22063636.0,7298220.0,14765416.0
17,(주)비지에프리테일,282330,2020/06,2247013118.0,20257392.0,1626271199.0,741427100.0,975281091.0,1597000.0,0.0,2942260062.0,61887819.0,16837781.0,45050038.0
18,(주)셀트리온,68270,2020/06,4349747992.0,701858849.0,1184287817.0,2182115805.0,826643148.0,164632030.0,0.0,801646263.0,319019626.0,75120064.0,243899563.0
19,(주)신세계,4170,2020/06,12981286726.0,414486097.0,8068329309.0,2043527089.0,3579606551.0,7633000.0,0.0,2211259729.0,-127761557.0,-26358725.0,-101402832.0
20,(주)신세계인터내셔날,31430,2020/06,1206298322.0,82511460.0,594031148.0,475569901.0,367630774.0,7587804.0,0.0,610549886.0,22777517.0,1827033.0,20950483.0
21,(주)신한금융지주회사,55550,2020/06,,,,,,,,,,,
22,(주)아모레퍼시픽,90430,2020/06,5789456195.0,540420673.0,1278276260.0,1641413242.0,912905952.0,65375000.0,0.0,2186591797.0,84319456.0,10613251.0,73706206.0
23,(주)아모레퍼시픽그룹,2790,2020/06,7919316330.0,1050130673.0,1577772366.0,2603094445.0,1093457625.0,83699000.0,0.0,2460117508.0,121283400.0,21332902.0,99950498.0
24,(주)에스원,12750,2020/06,1816858275.0,223655371.0,490645361.0,718752330.0,367660002.0,0.0,0.0,1092684096.0,108681511.0,25796950.0,82884561.0
25,(주)엔씨소프트,36570,2020/06,3644402443.0,200156572.0,854833343.0,2323935008.0,414665277.0,0.0,0.0,1269677873.0,471967577.0,118140612.0,353826965.0
26,(주)엘에스,6260,2020/06,11214426000.0,1283807000.0,6888265000.0,6351137000.0,3825528000.0,0.0,0.0,5080818000.0,81990000.0,26274000.0,56989000.0
27,(주)엘엑스인터내셔널,1120,2020/06,5423440145.0,771974614.0,3614699253.0,3022416655.0,2352723463.0,7403000.0,0.0,4757069048.0,402769745.0,111159755.0,291609990.0
28,(주)엘지,3550,2020/06,23698950000.0,2050913000.0,3319796000.0,4529723000.0,1990001000.0,6788000.0,0.0,3080370000.0,972374000.0,249081000.0,723293000.0
29,(주)엘지생활건강,51900,2020/06,6619847210.0,343602051.0,2089719173.0,1967766492.0,1602210129.0,113956000.0,0.0,3679520901.0,596964213.0,158168025.0,438796187.0
30,(주)엘지유플러스,32640,2020/06,18277412000.0,440415000.0,10808745000.0,5173610000.0,4678267000.0,0.0,0.0,6559283000.0,399141000.0,94822000.0,299340000.0
31,(주)엘지화학,51910,2020/06,38576295000.0,3363343000.0,20733879000.0,14975511000.0,10976856000.0,1288931000.0,0.0,13664360000.0,627614000.0,186992000.0,455417000.0
32,(주)영원무역,111770,2020/06,3500124172.0,645507448.0,1466613526.0,2067067635.0,983299979.0,201203649.0,0.0,1074565647.0,110019808.0,28913214.0,81106594.0
33,(주)영풍,670,2020/06,4871545125.0,314659985.0,1146347896.0,1501825921.0,682505848.0,87307500.0,0.0,1448750509.0,113348492.0,33141133.0,80207359.0
34,(주)오뚜기,7310,2020/06,2463343280.0,218412755.0,1055725874.0,937734612.0,713426789.0,80530438.0,0.0,1286433813.0,109043596.0,22136006.0,86907590.0
35,(주)오리온,271560,2020/06,2527307201.0,256328126.0,720634968.0,647490331.0,308240003.0,62729216.0,0.0,1054903967.0,200182656.0,59527719.0,140654937.0
36,(주)오리온홀딩스,1800,2020/06,4398982066.0,268009782.0,958224061.0,788392418.0,393911018.0,62935837.0,0.0,1092044722.0,167301164.0,52435573.0,114865590.0
37,(주)우리금융지주,316140,2020/06,,,,,,,,,,,
38,(주)유한양행,100,2020/06,2383038538.0,548287565.0,586457992.0,1331558991.0,462118150.0,53836415.0,0.0,728762556.0,205330604.0,55671787.0,149658817.0
39,(주)이마트,139480,2020/06,21394796161.0,1019009842.0,11120412057.0,3487335486.0,5506887809.0,75017000.0,0.0,10398771811.0,583941864.0,224897809.0,359044055.0
40,(주)제일기획,30000,2020/06,2074472436.0,405455950.0,1141613852.0,1601121801.0,948440079.0,0.0,0.0,1324015167.0,84836579.0,26315617.0,58520961.0
41,(주)종근당,185750,2020/06,887607360.0,152326728.0,378456354.0,558324206.0,307039185.0,42541852.0,0.0,607388284.0,61440000.0,16220886.0,45219115.0
42,(주)지누스,13890,2020/06,795074092.0,121569233.0,378769070.0,555353538.0,312095084.0,0.0,0.0,408719417.0,46875570.0,11500408.0,35375162.0
43,(주)지에스,78930,2020/06,24650701000.0,1260994000.0,13806680000.0,3611020000.0,4397972000.0,0.0,0.0,7861619000.0,44985000.0,330696000.0,-285711000.0
44,(주)지에스리테일,7070,2020/06,7210397960.0,119809257.0,4637896466.0,1007974879.0,1903925873.0,1372000.0,0.0,4352606225.0,112288114.0,29275693.0,83012421.0
45,(주)카카오,35720,2020/06,10042994999.0,1812572517.0,3341525268.0,3273438926.0,2034395199.0,525038.0,0.0,1821230086.0,330722143.0,105600365.0,225121778.0
46,(주)케이씨씨,2380,2020/06,12449899541.0,946049296.0,7450310819.0,3507795051.0,3389983026.0,159877542.0,0.0,2499945770.0,73999117.0,42659998.0,78133372.0
47,(주)케이티,30200,2020/06,34003435000.0,2942236000.0,18629655000.0,12480499000.0,9909879000.0,0.0,0.0,11708219000.0,675051000.0,240890000.0,434161000.0
48,(주)케이티앤지,33780,2020/06,11028161031.0,1193362829.0,2338581137.0,6590730151.0,1968093491.0,835914000.0,0.0,2497252491.0,817554909.0,230222116.0,587332793.0
49,(주)크래프톤,259960,2020/06,1508267662.0,349566709.0,499954099.0,1224087382.0,374570027.0,0.0,0.0,887215543.0,526622554.0,121663804.0,404958750.0
50,(주)포스코인터내셔널,47050,2020/06,9156517039.0,726080214.0,6001941142.0,5298136366.0,3820709999.0,101111000.0,0.0,10762920928.0,221061489.0,66335240.0,154726249.0
51,(주)포스코퓨처엠,3670,2020/06,2122690455.0,501860780.0,1133230083.0,958944921.0,163470329.0,0.0,0.0,727700417.0,9389244.0,2310313.0,7078931.0
52,(주)풍산,103140,2020/06,2481718701.0,92998827.0,1097138414.0,1202818872.0,728568281.0,76773000.0,0.0,1161184641.0,13562663.0,8723589.0,4839074.0
53,(주)하나금융지주,86790,2020/06,,,,,,,,,,,
54,(주)하나투어,39130,2020/06,879455534.0,101988145.0,636942261.0,312580605.0,264648075.0,89388.0,0.0,120064994.0,-134661952.0,-32954721.0,-101707231.0
55,(주)하이브,352820,2020/06,820660619.0,197626032.0,618616531.0,367787924.0,229964391.0,0.0,0.0,293995796.0,46941048.0,13771292.0,33169756.0
56,(주)한샘,9240,2020/06,1214980966.0,73496066.0,624654966.0,482988700.0,425261262.0,12431933.0,0.0,1011642384.0,38912201.0,11916528.0,26995672.0
57,(주)한섬,20000,2020/06,1329686727.0,43622868.0,255797954.0,752010956.0,202401647.0,53270649.0,0.0,548140242.0,46218355.0,11979477.0,34238879.0
58,(주)한솔케미칼,14680,2020/06,905580967.0,82981076.0,342847245.0,250886000.0,151773635.0,25763299.0,0.0,295358155.0,90705230.0,21651035.0,67580259.0
59,(주)한진칼,180640,2020/06,2215181701.0,126672530.0,1150351824.0,422634050.0,566844071.0,715551.0,0.0,241909932.0,-333977348.0,-757506.0,-333219842.0
60,(주)한화,880,2020/06,189801765000.0,4280236000.0,170815669000.0,16301308000.0,16699896000.0,1132884000.0,5231000.0,25466065000.0,688186000.0,152755000.0,535431000.0
61,(주)현대미포조선,10620,2020/06,3516996044.0,490934977.0,1129628158.0,1886320973.0,1093264377.0,95874317.0,0.0,1501477467.0,56761564.0,12387671.0,44373893.0
62,(주)현대백화점,69960,2020/06,8324171613.0,428730946.0,3357917829.0,1789273875.0,2117488596.0,0.0,0.0,966172055.0,53784445.0,15151034.0,38633411.0
63,(주)현대지에프홀딩스,5440,2020/06,2943486467.0,59154940.0,855677094.0,1120497249.0,516703060.0,74023862.0,0.0,1620496859.0,86672884.0,20120313.0,66552571.0
64,(주)현대홈쇼핑,57050,2020/06,2579493991.0,57189938.0,818646459.0,988023018.0,648437275.0,11393000.0,0.0,1106977072.0,96365416.0,22881391.0,73484025.0
65,(주)호텔신라,8770,2020/06,3303942739.0,210862268.0,2536388163.0,1325564528.0,971667448.0,4639904.0,0.0,1466639987.0,-174468692.0,-33177594.0,-141291098.0
66,(주)화승엔터프라이즈,241590,2020/06,1146782924.0,238554482.0,607147128.0,601294257.0,506383451.0,106231863.0,0.0,590704799.0,19267140.0,5659270.0,13607870.0
67,(주)효성,4800,2020/06,6573436299.0,361848122.0,3970824800.0,1552347014.0,2431573134.0,45194000.0,0.0,1336696827.0,46168903.0,12343673.0,33825230.0
68,(주)후성,93370,2020/06,527412075.0,44963488.0,287457406.0,128950697.0,90614736.0,8416800.0,0.0,122434159.0,-3710620.0,881759.0,-4592379.0
69,(주)휠라홀딩스,81660,2020/06,3968999820.0,375229352.0,2070318071.0,1711212299.0,986094223.0,89402164.0,0.0,1414912213.0,110690344.0,25669947.0,85020397.0
70,DB손해보험(주),5830,2020/06,,,,,,,,,,,
71,HD현대(주),267250,2020/06,26374471927.0,2224257283.0,14982144647.0,8642252843.0,7603249458.0,773480000.0,0.0,9722090099.0,-621901930.0,-248572505.0,-373329425.0
72,KG스틸(주),16380,2020/06,2346185258.0,131373627.0,1421278245.0,763354521.0,591798904.0,96163000.0,0.0,1163655159.0,32691869.0,556468.0,32135401.0
