회사명,거래소코드,회계년도,유동자산(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),선급금(IFRS연결)(천원)
(주)DB하이텍,000990,2018/12,383378937,1066533840,558391531,669279136,508142309,86828768,156796450,453942755,42891649,630000
(주)DB하이텍,000990,2019/12,426263421,1088889810,644650730,807416423,444239080,104637012,219715556,513292637,51837841,1226000
(주)DB하이텍,000990,2020/12,459208127,1178581197,794584513,935919766,383996685,166025591,261704001,577034944,51848770,830000
(주)DB하이텍,000990,2021/12,815161899,1549937896,1106049706,1214682040,443888190,316891852,335336853,679485437,66017138,13267261
(주)DB하이텍,000990,2022/12,1327724120,2122700475,1638284078,1675287534,484416396,558836662,404353962,742069765,73768605,11527919
(주)ES큐브,050120,2018/12,45061626,112430896,70748607,33763508,41682289,-6121462,37613190,26036057,9236879,800586
(주)ES큐브,050120,2019/12,359030693,463958680,74038512,43708239,389920168,-13767748,230135454,35510791,7648032,611765
(주)ES큐브,050120,2020/12,322209018,714889745,69497819,80672425,645391926,-25292140,523911459,56530374,9415254,889643
(주)ES큐브,050120,2021/12,211621456,1082732056,115855194,125787293,966876862,5375801,24252634,110501015,13382975,196737
(주)ES큐브,050120,2022/12,41310246,121705413,110399253,75213652,11306160,24682689,8558924,51307649,18031755,120823
(주)HJ중공업,097230,2018/12,1720906000,2733620000,-708186000,1697869000,3441806000,-1283647000,2140149000,1557089000,519198000,203003000
(주)HJ중공업,097230,2019/12,1300538000,2470222000,244994000,1628751000,2225228000,306169000,1845223000,1451267000,363759000,223678000
(주)HJ중공업,097230,2020/12,1067516000,2193855000,320003000,1695815000,1873852000,78346000,1034561000,1565344000,167158000,219756000
(주)HJ중공업,097230,2021/12,948999000,2385236000,432005000,1706532000,1953231000,-139844000,949994000,1727059000,147110000,149511000
(주)HJ중공업,097230,2022/12,1430318000,2567697000,384990000,1788163000,2182707000,-50160000,1418222000,1691528000,200698000,166055000
(주)MH에탄올,023150,2018/12,29576016,440177523,91585473,72795863,348592051,-12033428,141080352,53524709,6538026,116606
(주)MH에탄올,023150,2019/12,32814839,451474451,79389077,80879342,372085374,-7552043,282350933,54219181,8173323,229771
(주)MH에탄올,023150,2020/12,37728511,449679366,80425495,94645239,369253871,3802823,146138663,59823958,8357467,273575
(주)MH에탄올,023150,2021/12,52073620,451460752,84703339,102066937,366757413,8688865,297329931,58211274,9185766,935599
(주)MH에탄올,023150,2022/12,52735465,447440404,95397727,110722402,352042677,11905847,190941543,67461914,8772681,254821
(주)SH에너지화학,002360,2018/12,85758694,122434685,105390892,183598766,17043794,2033570,6658546,171330094,22253999,1125873
(주)SH에너지화학,002360,2019/12,83558867,123415832,98999976,140852575,24415856,-3090151,7524603,134184400,16753438,360639
(주)SH에너지화학,002360,2020/12,72449407,117356594,90008391,93584262,27348204,-6945600,7397527,92496181,9593716,1828245
(주)SH에너지화학,002360,2021/12,78260038,119629058,91739102,139801659,27889956,611077,13060169,129869151,12326041,1879165
(주)SH에너지화학,002360,2022/12,81702957,124160292,94101468,167355875,30058824,1832404,10758687,156395080,21341072,1973666
(주)SNT홀딩스,036530,2018/12,1168023374,2113834573,1503275496,1401307482,610559077,73732317,381612594,1221120349,220256725,51970436
(주)SNT홀딩스,036530,2019/12,1266526398,2236679025,1625933047,1512114565,610745978,124509305,405603647,1284171398,229809615,21699118
(주)SNT홀딩스,036530,2020/12,1241961812,2270485740,1617529065,1435754699,652956674,77889420,461442515,1227111970,216342558,7877464
(주)SNT홀딩스,036530,2021/12,1327473209,2372324440,1780130380,1404072099,592194060,151814612,412516269,1190453277,228720922,24272120
(주)SNT홀딩스,036530,2022/12,1504308243,2558426987,1816295611,1629520925,742131375,115574756,562176527,1375682428,310012908,10506833
(주)STX,011810,2018/12,422861000,554061000,64028000,1502985000,490033000,9107000,463598000,1483048000,129417000,49743000
(주)STX,011810,2019/12,386401000,560107000,56291000,1471164000,503816000,-33218000,439806000,1424697000,118778000,19101000
(주)STX,011810,2020/12,319912000,617563000,81729000,975567000,535834000,-20448000,458274000,935191000,102015000,16566000
(주)STX,011810,2021/12,366237000,676149000,122530000,925509000,553619000,-23318000,448391000,870164000,111881000,13312000
(주)STX,011810,2022/12,465066000,741784000,102407000,1188575000,639377000,-18650000,541861000,1140946000,91873000,16657000
(주)TCC스틸,002710,2018/12,152165969,304781579,112246210,413176279,192535369,9755131,93172096,377890304,69197191,12048
(주)TCC스틸,002710,2019/12,148991647,314210087,116843135,437173902,197366953,5037267,165995910,405618477,72619098,6503
(주)TCC스틸,002710,2020/12,136857884,306758932,121130879,431797912,185628052,-1687460,133757972,411335226,54240200,1045672
(주)TCC스틸,002710,2021/12,201980329,366996615,155229149,536651129,211767466,28723275,138686005,487779233,74684208,29581
(주)TCC스틸,002710,2022/12,276384672,507482317,208804980,684414631,298677336,29566778,251903596,605629956,117113468,72264
(주)가비아,079940,2018/12,78058272,151440505,114187490,128728438,37253015,15340647,29792809,65751367,1982294,2312604
(주)가비아,079940,2019/12,86880807,199916131,134959139,148306878,64956993,21102390,43098923,75650385,2643604,1003992
(주)가비아,079940,2020/12,123738031,260025259,173203629,169044955,86821629,23751739,50679127,85881484,3060285,898600
