회사명,거래소코드,회계년도,상장폐지일,소속코드,상장일,매출액증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),부채비율(IFRS),총자본순이익률(IFRS)
(주)CMG제약,058820,2018/12,,5,2001/08/31,20.05,6.16,113.94,4.39,12.16,10,5.42
(주)CMG제약,058820,2019/12,,5,2001/08/31,17.56,73.26,-49.69,68.07,5.2,6.71,1.99
(주)CMG제약,058820,2020/12,,5,2001/08/31,9.96,0.54,-92.95,1.62,0.33,7.85,0.11
(주)CMG제약,058820,2021/12,,5,2001/08/31,7.78,1.97,1372.34,1.95,4.56,7.84,1.6
(주)CMG제약,058820,2022/12,,5,2001/08/31,18.31,0.14,0,7.07,-0.47,15.31,-0.19
(주)ES큐브,050120,2018/12,,5,2002/04/25,-15.62,-6.83,0,3.46,-12.25,63.08,-3.6
(주)ES큐브,050120,2019/12,,5,2002/04/25,-8.88,-18.84,0,25.43,-44.65,152.04,-10.42
(주)ES큐브,050120,2020/12,,5,2002/04/25,6.19,35.13,0,-39.74,-96,12.4,-26.67
(주)ES큐브,050120,2021/12,,5,2002/04/25,35.69,-10.49,0,-7.1,13.85,16.65,7.2
(주)ES큐브,050120,2022/12,,5,2002/04/25,28.57,8.85,0.18,1.52,10.8,8.79,7.43
(주)가비아,079940,2018/12,,5,2005/10/19,5.41,4.55,10.79,6.66,5.01,39.1,4.11
(주)가비아,079940,2019/12,,5,2005/10/19,5.54,8.53,68.48,19.69,7.99,53.4,6.11
(주)가비아,079940,2020/12,,5,2005/10/19,10.03,7.91,2.22,18.22,7.42,68.07,5.26
(주)가비아,079940,2021/12,,5,2005/10/19,12.13,9.23,-7.25,9.6,6.14,68.64,4.29
(주)가비아,079940,2022/12,,5,2005/10/19,7.72,8.93,66.59,29.21,9.5,100.04,5.97
(주)가온칩스,399720,2018/12,,5,2022/05/20,,,,,,,
(주)가온칩스,399720,2019/12,,5,2022/05/20,,,,,,,
(주)가온칩스,399720,2020/12,,5,2022/05/20,0,0,0,0,10.83,134.78,7.25
(주)가온칩스,399720,2021/12,,5,2022/05/20,88.53,101.04,233.89,44.89,19.18,69.21,19.78
(주)가온칩스,399720,2022/12,,5,2022/05/20,34.39,149.05,-27.62,97.84,10.33,34.42,8.12
(주)강스템바이오텍,217730,2018/12,,5,2015/12/21,-81.44,94.36,0,48.7,-1348.69,38.04,-24.39
(주)강스템바이오텍,217730,2019/12,,5,2015/12/21,-71.82,47.76,0,49.02,-8863.64,39.21,-30.34
(주)강스템바이오텍,217730,2020/12,,5,2015/12/21,4.72,-27.4,0,-30.95,-6599.06,32.41,-23.38
(주)강스템바이오텍,217730,2021/12,,5,2015/12/21,1171.84,36.37,0,32.43,-544.02,28.57,-25.82
(주)강스템바이오텍,217730,2022/12,,5,2015/12/21,57.44,-26.67,0,-23.65,-334.16,33.87,-24.86
(주)강원에너지,114190,2018/12,,5,2009/11/20,3.36,4.6,0,2.09,2.3,81.83,2.23
(주)강원에너지,114190,2019/12,,5,2009/11/20,-50.47,-53.53,0,-38.51,-78.64,140.6,-46.24
(주)강원에너지,114190,2020/12,,5,2009/11/20,-9.88,-24.85,0,-40.12,-36.61,91.72,-31.87
(주)강원에너지,114190,2021/12,,5,2009/11/20,15.17,66.13,0,25.88,13.12,45.27,15.55
(주)강원에너지,114190,2022/12,,5,2009/11/20,55.78,6.5,-72.58,30,2.31,77.33,3.33
(주)고려시멘트,198440,2018/12,,5,2014/08/13,-2.15,11.78,362.85,10.06,5.42,47.42,3.82
(주)고려시멘트,198440,2019/12,,5,2014/08/13,-17.32,2.24,-26.89,-0.39,4.79,43.63,2.67
(주)고려시멘트,198440,2020/12,,5,2014/08/13,-1.04,4.43,30.88,-9.21,6.33,24.88,3.67
(주)고려시멘트,198440,2021/12,,5,2014/08/13,-6.43,26.84,4.36,27.26,7.06,25.29,3.54
(주)고려시멘트,198440,2022/12,,5,2014/08/13,6.44,-6.67,0,-6.55,-11.1,25.45,-5.47
(주)고바이오랩,348150,2019/12,,5,2020/11/18,,,,,,,
(주)고바이오랩,348150,2020/12,,5,2020/11/18,0,0,0,0,-1226.51,2.85,-101.15
(주)고바이오랩,348150,2021/12,,5,2020/11/18,-36.98,61.42,0,80.05,-603.98,14.71,-22.42
(주)고바이오랩,348150,2022/12,,5,2020/11/18,158.4,-2.8,0,8.48,-197.35,28.02,-14.12
(주)고영테크놀러지,098460,2018/12,,5,2008/06/03,16.35,39.09,46.78,36.12,19.3,22.12,17.47
(주)고영테크놀러지,098460,2019/12,,5,2008/06/03,-4.7,9.92,-18.21,10.01,16.57,22.22,11.8
(주)고영테크놀러지,098460,2020/12,,5,2008/06/03,-25.02,0.25,-78.54,-1.59,4.74,19.97,2.44
(주)고영테크놀러지,098460,2021/12,,5,2008/06/03,46.52,12.97,418.59,21,16.78,28.49,11.53
(주)고영테크놀러지,098460,2022/12,,5,2008/06/03,5.1,7.17,-8.07,4.43,14.68,25.2,9.47
(주)골드앤에스,035290,2018/12,,5,1999/12/07,-32.19,5.82,0,149.92,-46.61,206.29,-13.61
(주)골드앤에스,035290,2019/12,,5,1999/12/07,-11.95,0,0,-62.1,-325.58,0,-84.97
(주)골드앤에스,035290,2020/12,,5,1999/12/07,-45.85,0,0,28.19,39.52,42.42,8.91
(주)골드앤에스,035290,2021/12,,5,1999/12/07,226.35,5.37,-52.88,26.71,5.71,71.26,3.3
(주)골드앤에스,035290,2022/12,,5,1999/12/07,-29.75,-4.09,0,-32.66,-65.91,20.24,-28.59
(주)골드퍼시픽,038530,2018/12,,5,2000/06/09,10.92,274.44,0,40.35,-78.49,85.64,-13.72
(주)골드퍼시픽,038530,2019/12,,5,2000/06/09,102.89,4.89,0,95.63,-279.11,246.22,-57.34
(주)골드퍼시픽,038530,2020/12,,5,2000/06/09,26.6,183.53,0,-2.09,-10.45,19.56,-2.08
(주)골드퍼시픽,038530,2021/12,,5,2000/06/09,-39.16,5.43,0,22.36,-223.18,38.75,-24.52
(주)골드퍼시픽,038530,2022/12,,5,2000/06/09,285.89,6.05,0,-5.7,-22.77,23.37,-9.03
(주)골프존,215000,2018/12,,5,2015/04/03,11.47,8.84,-71.32,6.51,11.31,28.94,8.78
(주)골프존,215000,2019/12,,5,2015/04/03,24.78,4.1,-9.04,19.75,8.24,48.33,7.04
(주)골프존,215000,2020/12,,5,2015/04/03,17.56,11.21,84.37,14.16,12.93,52.27,11.13
(주)골프존,215000,2021/12,,5,2015/04/03,47.06,26.3,104.2,30.22,17.95,56.99,18.52
(주)골프존,215000,2022/12,,5,2015/04/03,37.11,25.5,52.35,14.19,19.94,42.85,23.28
(주)골프존뉴딘홀딩스,121440,2018/12,,5,2011/05/20,-31.49,0.92,0,5.06,-47.54,16.29,-1.39
(주)골프존뉴딘홀딩스,121440,2019/12,,5,2011/05/20,67.06,-7.1,0,-4.59,-112.81,19.43,-5.51
(주)골프존뉴딘홀딩스,121440,2020/12,,5,2011/05/20,113.7,4.04,0,4.58,47.31,20.05,4.95
(주)골프존뉴딘홀딩스,121440,2021/12,,5,2011/05/20,39.42,27.66,392.88,25.02,167.25,17.57,21.19
(주)골프존뉴딘홀딩스,121440,2022/12,,5,2011/05/20,26.03,13.92,-34,11.97,87.58,15.55,11.88
(주)공구우먼,366030,2018/12,,5,2022/03/23,,,,,,,
(주)공구우먼,366030,2019/12,,5,2022/03/23,,,,,,,
(주)공구우먼,366030,2020/12,,5,2022/03/23,0,0,0,0,13.3,12.82,18.12
(주)공구우먼,366030,2021/12,,5,2022/03/23,44.78,27.59,101.66,31.57,18.52,16.34,31.56
(주)공구우먼,366030,2022/12,,5,2022/03/23,24.02,118.66,29.25,100.31,19.3,6.58,23.91
(주)광림,014200,2018/12,,5,1993/07/07,-24.07,-31.51,0,-36.04,-77.22,95.47,-19.24
(주)광림,014200,2019/12,,5,1993/07/07,23.51,-49.77,0,-18.11,-73.24,218.64,-31.77
(주)광림,014200,2020/12,,5,1993/07/07,11.81,143.79,0,21.32,-9.65,58.57,-4.7
(주)광림,014200,2021/12,,5,1993/07/07,31.37,37.9,0,16.18,-7.1,33.59,-3.83
(주)광림,014200,2022/12,,5,1993/07/07,13.99,-15.2,0,-15.88,-50.3,32.52,-31.26
(주)광무,029480,2018/12,,5,1996/08/27,-3.87,-28.46,0,-10.13,-23.54,168.36,-17.74
(주)광무,029480,2019/12,,5,1996/08/27,21.91,129,0,119.69,-24.86,157.44,-15.09
(주)광무,029480,2020/12,,5,1996/08/27,-0.94,9.01,0,-35.14,-76.55,53.17,-40.63
(주)광무,029480,2021/12,,5,1996/08/27,-27.33,109.11,0,168.32,-4.84,96.54,-1.29
(주)광무,029480,2022/12,,5,1996/08/27,330,58.25,0,36.69,-9.52,69.77,-6.32
