회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),유형자산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),순운전자본비율(IFRS),부채비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),유동자산구성비율(IFRS),자기자본구성비율(IFRS),매출액총이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),1주당순이익(IFRS)(원),1주당매출액(IFRS)(원),총자본회전률(IFRS),자기자본회전률(IFRS),비유동자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),재고자산회전기간(IFRS),매출채권회전기간(IFRS),1회전기간(IFRS),운전자본회전률(IFRS),순운전자본회전률(IFRS),유형자산회전율(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),부가가치(IFRS)(백만원),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),상장폐지일,소속코드,상장일
(주)CMG제약,058820,2018/12,20.05,4.39,6.16,113.94,6.71,16.47,0.18,8.45,957.86,856.94,158.5,63.71,10,190.99,31.75,71.14,90.91,45.6,12.16,2.74,5.42,6.01,56,457.95,0.45,0.49,1.63,6.05,3.08,8.93,40.86,60.3,118.41,0.01,4.93,0.55,2.98,0.61,0.68,16847.65,14.73,106.25,478.91,33.79,67.33,32.67,36,,5,2001/08/31
(주)CMG제약,058820,2019/12,17.56,68.07,73.26,-49.69,39.67,26.2,85.06,5.56,1618.07,1520.84,199.55,73.49,6.71,259.42,23.12,78.33,93.71,49.34,5.2,2.42,1.99,2.15,25,538.36,0.38,0.41,1.57,6.65,3.12,13.81,26.43,54.86,116.9,0.01,0,0.47,2.83,0.51,0.55,19033.25,9.9,114.6,438.05,32.47,72.6,27.4,16.03,,5,2001/08/31
(주)CMG제약,058820,2020/12,9.96,1.62,0.54,-92.95,23.31,18.52,-3.06,66.28,1069.54,959.3,58.94,67.74,7.85,260.82,27.26,74.73,92.72,48.42,0.33,1.37,0.11,0.12,2,464.1,0.33,0.36,1.42,5.35,3.3,13,28.08,68.22,110.66,0.01,0,0.4,2.39,0.43,0.47,17019.7,8.71,108.22,475.13,26.4,86.14,13.86,1.26,,5,2001/08/31
(주)CMG제약,058820,2021/12,7.78,1.95,1.97,1372.34,2.61,49.25,-14.04,-12.3,913.99,817.88,34.66,56.11,7.84,265.97,39.9,63,92.73,48.15,4.56,1.75,1.6,1.73,23,500.21,0.35,0.38,1.13,4.92,3.64,13.07,27.92,74.19,100.34,0.01,0,0.46,2.31,0.51,0.57,19294.17,9.69,126.93,601.75,27.77,77.39,22.61,16.41,,5,2001/08/31
(주)CMG제약,058820,2022/12,18.31,7.07,0.14,0,22.79,6.1,7.64,61.19,616.69,519.57,20.34,53.07,15.31,266.33,42.28,63.34,86.73,49.76,-0.47,2.4,-0.19,-0.21,-3,591.81,0.4,0.44,1.08,4.77,4.04,10.1,36.15,76.52,90.44,0.01,0,0.56,2.42,0.63,0.73,15933.04,7.47,106.98,537.68,19.38,104.24,-4.24,-2.44,,5,2001/08/31
(주)ES큐브,050120,2018/12,-15.62,3.46,-6.83,0,44.96,32.18,-35.09,37.25,77.08,75.59,49.78,-7.97,63.08,159.82,119.41,26.78,61.32,17.93,-12.25,1.36,-3.6,-5.56,-46,376.11,0.29,0.45,0.45,64.64,11.66,12.68,28.78,5.65,31.3,0.12,0.02,0.54,3.41,0.85,0.86,177.01,0.16,1.63,0,0.57,1403.03,-1303.03,-2167.18,,5,2002/04/25
(주)ES큐브,050120,2019/12,-8.88,25.43,-18.84,0,-2.8,40.72,-16.37,-16.38,44.35,43.49,24.83,-22.41,152.04,126.09,207.03,17.86,39.68,20.4,-44.65,1.03,-10.42,-21.14,-158,334.36,0.23,0.47,0.3,55.45,10.35,8.43,43.29,6.58,35.26,0,0.02,0.39,2.66,1.07,1.09,-6558.67,-4.82,-62.01,0,-22.99,0,0,0,,5,2002/04/25
(주)ES큐브,050120,2020/12,6.19,-39.74,35.13,0,-94.76,-33.37,-69.03,36.71,90.15,82.48,15.15,-1,12.4,105.58,102.09,9.18,88.97,20.12,-96,1.59,-26.67,-45.82,-2765,363.68,0.28,0.48,0.33,54.62,13.02,7.24,50.38,6.68,28.03,0,0.02,0.64,5.44,1.9,1.97,-23593.21,-28.77,-4259.32,0,-77.88,0,0,0,,5,2002/04/25
(주)ES큐브,050120,2021/12,35.69,-7.1,-10.49,0,57.88,-13.1,52.27,0,116.07,116.07,36.98,2.08,16.65,94.51,99.11,15.04,85.72,18.23,13.85,3.32,7.2,8.24,425,3030.49,0.52,0.59,0.59,128.33,14.5,7.69,47.45,2.84,25.18,0,0.01,2.21,57.55,4.33,4.48,5961.33,7.83,681.67,0,14.5,39.59,60.41,95.53,,5,2002/04/25
(주)ES큐브,050120,2022/12,28.57,1.52,8.85,0.18,-21.94,-0.01,10.11,0,241.8,241.8,95.85,9.57,8.79,102.87,91.04,16.31,91.92,20.79,10.8,6.61,7.43,8.37,426,3896.35,0.69,0.78,0.82,0,13.7,9.4,38.84,0,26.64,0,0.23,2.7,67.88,4.39,4.39,8612.15,11.14,1261.58,0,16.3,33.45,66.55,66.25,,5,2002/04/25
