회사명,거래소코드,회계년도,매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),1주당순이익(IFRS연결)(원),1주당매출액(IFRS연결)(원),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),상장폐지일,소속코드,상장일
(주)CMG제약,058820,2018/12,20.05,4.39,6.16,113.94,6.71,16.47,0.18,8.45,957.86,856.94,158.5,63.71,10,190.99,31.75,71.14,90.91,45.6,12.16,2.74,5.42,6.01,56,457.95,0.45,0.49,1.63,6.05,3.08,8.93,40.86,60.3,118.41,0.01,4.93,0.55,2.98,0.61,0.68,16847.65,14.73,106.25,478.91,33.79,67.33,32.67,36,,5,2001/08/31
(주)CMG제약,058820,2019/12,17.56,68.07,73.26,-49.69,39.67,26.2,85.06,5.56,1618.07,1520.84,199.55,73.49,6.71,259.42,23.12,78.33,93.71,49.34,5.2,2.42,1.99,2.15,25,538.36,0.38,0.41,1.57,6.65,3.12,13.81,26.43,54.86,116.9,0.01,0,0.47,2.83,0.51,0.55,19033.25,9.9,114.6,438.05,32.47,72.6,27.4,16.03,,5,2001/08/31
(주)CMG제약,058820,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2001/08/31
(주)CMG제약,058820,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2001/08/31
(주)CMG제약,058820,2022/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2001/08/31
(주)ES큐브,050120,2018/12,-5.55,6.17,-6.15,-325.15,30.79,22.82,-11.71,10.67,119.8,95.25,71.07,6.62,58.92,164.19,95.22,40.08,62.93,22.89,-18.13,-0.46,-5.61,-5.54,-47,405.6,0.31,0.47,0.55,3.84,11.85,31.55,11.57,95.04,30.79,0.01,0,0.49,2.52,0.7,0.86,1165.56,1.04,7.67,278.71,3.45,390.13,-290.13,-525.2,,5,2002/04/25
(주)ES큐브,050120,2019/12,29.45,312.66,-18.89,0,14.02,55.75,696.75,-17.2,156.01,152.69,48.38,27.78,526.65,129.45,141.72,77.38,15.96,18.75,-31.5,-0.68,-4.78,-21.76,-166,512.29,0.15,0.6,0.51,5.18,0.42,45.77,7.97,70.5,875.4,0,0,0.13,2.69,0.22,0.23,-557.97,-0.12,-3.22,-148.46,-1.28,0,0,0,,5,2002/04/25
(주)ES큐브,050120,2020/12,84.57,54.08,25.23,0,69.21,274.24,-10.26,23.11,61.5,59.7,2.11,-28.21,928.65,100.46,565.03,45.07,9.72,29.93,-31.35,1.76,-4.29,-39.39,-2337,968.5,0.14,1.12,0.32,9.46,0.39,35.38,10.32,38.6,946.09,0,0,0.11,3.46,0.24,0.24,3768.25,0.53,13,1164.79,4.67,212.62,-112.62,-671.19,,5,2002/04/25
(주)ES큐브,050120,2021/12,55.92,51.45,22.47,0,13.15,-82.89,-34.32,42.14,872.57,817.39,490.81,17.31,834.56,123.03,57.99,19.55,10.7,12.15,4.27,0.06,0.6,11.62,670,9273.55,0.14,1.36,0.55,11.03,1.16,30.71,11.88,33.08,315.21,0,0,0.23,4.02,0.47,0.49,20467.89,1.89,61.68,4089.87,16.27,76.56,23.44,26.26,,5,2002/04/25
(주)ES큐브,050120,2022/12,-40.21,-88.76,29.87,186.4,-75.46,19.66,-80.48,34.74,482.66,271.98,173.32,26.91,10.24,159.79,72.82,33.94,90.71,31.78,32.82,2.56,4.1,26.29,1918,5545.06,0.12,0.66,1.02,4.79,12.13,14.68,24.86,76.23,30.09,0.01,0.45,0.53,3.64,0.59,0.68,37462.14,30.78,460.1,5891.52,49.81,44.85,55.15,65.89,,5,2002/04/25
