회사명,거래소코드,회계년도,상장폐지일,소속코드,상장일,매출액증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),부채비율(IFRS),총자본순이익률(IFRS)
(주)DB하이텍,000990,2018/12,,1,1975/12/12,-1.54,22.88,27.8,7.48,14.21,93.66,9.38
(주)DB하이텍,000990,2019/12,,1,1975/12/12,20.64,18.94,27.42,3.68,15.01,68.82,11.32
(주)DB하이텍,000990,2020/12,,1,1975/12/12,15.92,23.23,36.73,8.25,17.7,48.29,14.6
(주)DB하이텍,000990,2021/12,,1,1975/12/12,29.78,39.07,91.31,31.29,26.09,39.99,23.24
(주)DB하이텍,000990,2022/12,,1,1975/12/12,37.92,48.04,76.24,36.93,33.34,29.48,30.45
(주)HJ중공업,097230,2018/12,,1,2007/08/31,0.78,0,0,-27.89,-55.03,0,-33.8
(주)HJ중공업,097230,2019/12,,1,2007/08/31,-8.08,0,0,3.24,-4.58,897.14,-3.03
(주)HJ중공업,097230,2020/12,,1,2007/08/31,5.29,29.58,0,-11.22,4.52,583.21,3.29
(주)HJ중공업,097230,2021/12,,1,2007/08/31,0.66,34.89,0,8.77,-8.21,450.92,-6.13
(주)HJ중공업,097230,2022/12,,1,2007/08/31,4.78,-10.88,0,7.68,-2.81,565.7,-2.03
(주)MH에탄올,023150,2018/12,,1,1996/12/24,-2.75,5.83,11.02,2.07,13.96,60.15,6.04
(주)MH에탄올,023150,2019/12,,1,1996/12/24,0.1,-13.14,0,-7.84,-10.65,69.91,-4.75
(주)MH에탄올,023150,2020/12,,1,1996/12/24,9.12,-3.14,0,-3.51,2.26,69.27,1.16
(주)MH에탄올,023150,2021/12,,1,1996/12/24,-10.5,0.78,327.07,1.26,10.76,70.07,5.03
(주)MH에탄올,023150,2022/12,,1,1996/12/24,12,7.56,15.11,11.52,11.06,76.34,5.44
(주)SH에너지화학,002360,2018/12,,1,1985/12/23,-2.12,-1.56,-68.93,-1.92,1.53,16.17,2.27
(주)SH에너지화학,002360,2019/12,,1,1985/12/23,-23.56,-6.42,0,0.19,-2.28,24.38,-2.6
(주)SH에너지화학,002360,2020/12,,1,1985/12/23,-33.88,-7.77,0,-3.76,-7.9,29.79,-6.07
(주)SH에너지화학,002360,2021/12,,1,1985/12/23,52.47,1.59,0,1.59,0.54,29.78,0.64
(주)SH에너지화학,002360,2022/12,,1,1985/12/23,15.33,1.55,63.47,4.15,0.77,33.11,1.02
(주)SIMPAC,009160,2018/12,,1,1989/07/29,32.35,83.71,774.43,83.19,23.2,52.83,12.84
(주)SIMPAC,009160,2019/12,,1,1989/07/29,45.79,1.97,-81.55,-3.13,2.94,45.2,1.86
(주)SIMPAC,009160,2020/12,,1,1989/07/29,-30.58,3.58,128.57,7.87,9.67,51.22,4.16
(주)SIMPAC,009160,2021/12,,1,1989/07/29,80.4,13.1,148.33,21.34,13.31,62.24,8.99
(주)SIMPAC,009160,2022/12,,1,1989/07/29,2.77,5.29,-27.24,-1.6,9.42,51.63,6.01
(주)SNT에너지,100840,2018/12,,1,2008/02/22,-24.21,-1.09,-60.16,-6.42,1.31,21.5,0.63
(주)SNT에너지,100840,2019/12,,1,2008/02/22,45.38,6.17,698.64,17.94,7.19,34.96,4.76
(주)SNT에너지,100840,2020/12,,1,2008/02/22,13.4,-3.66,-35.47,0.2,4.09,40.37,2.84
(주)SNT에너지,100840,2021/12,,1,2008/02/22,-28.06,3.77,37.53,-2.99,7.82,31.22,3.96
(주)SNT에너지,100840,2022/12,,1,2008/02/22,10.4,0.66,-49.67,19.68,3.56,56.02,1.84
(주)SNT홀딩스,036530,2018/12,,1,2002/10/22,-1.7,-0.6,49.03,-0.62,85.27,0.05,1.47
(주)SNT홀딩스,036530,2019/12,,1,2002/10/22,51.07,-1.33,48.67,-1.33,83.92,0.06,2.2
