회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),유형자산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),순운전자본비율(IFRS),부채비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),유동자산구성비율(IFRS),자기자본구성비율(IFRS),매출액총이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),1주당순이익(IFRS)(원),1주당매출액(IFRS)(원),총자본회전률(IFRS),자기자본회전률(IFRS),비유동자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),재고자산회전기간(IFRS),매출채권회전기간(IFRS),1회전기간(IFRS),운전자본회전률(IFRS),순운전자본회전률(IFRS),유형자산회전율(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),부가가치(IFRS)(백만원),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),상장폐지일,소속코드,상장일
(주)DB하이텍,000990,2018/12,-1.54,7.48,22.88,27.8,7.56,6.6,9.06,-42.83,242.42,215.06,75.75,21.25,93.66,243.78,123.6,36.18,51.64,32.17,14.21,11.5,9.38,19.32,2192,15036.21,0.66,1.36,1.03,11.35,7.25,19.69,18.54,32.15,50.33,0.02,0,1.3,1.16,1.84,2.19,316543.96,30.13,62.61,144.35,47.3,41.66,58.34,30.04,,1,1975/12/12
(주)DB하이텍,000990,2019/12,20.64,3.68,18.94,27.42,3.18,-0.56,11.16,20.86,192.43,168.83,38.36,18.63,68.82,289.95,103.34,38.79,59.23,36.43,15.01,17.24,11.32,20.4,2790,18139.64,0.75,1.36,1.21,17.05,8.04,24.22,15.07,21.41,45.4,0.02,1.15,1.37,1.33,2.01,2.28,394709.63,36.23,70.05,140.74,48.89,36.44,63.56,30.7,,1,1975/12/12
(주)DB하이텍,000990,2020/12,15.92,8.25,23.23,36.73,9.43,8.51,7.84,0.02,174.09,154.28,18.24,16.44,48.29,357.32,90.99,38.64,67.44,38.35,17.7,21.26,14.6,23,3814,21026.63,0.83,1.3,1.35,18.05,9.16,27.89,13.09,20.22,39.86,0.02,0,1.38,1.45,2.13,2.42,482506.07,40.92,83.37,176.79,51.55,32.44,67.56,34.33,,1,1975/12/12
(주)DB하이텍,000990,2021/12,29.78,31.29,39.07,91.31,-2.5,2.12,77.6,27.33,241.47,221.77,54.25,30.62,39.99,496.94,66.82,52.27,71.43,44.06,26.09,29.44,23.24,33.34,7293,27289.38,0.89,1.28,1.66,20.61,10.24,30.03,12.15,17.71,35.66,0.02,1.23,1.3,1.82,1.92,2.12,744057.87,48.06,134.36,284.4,61.26,23.93,76.07,42.59,,1,1975/12/12
(주)DB하이텍,000990,2022/12,37.92,36.93,48.04,76.24,12.18,8.09,63.27,11.74,326.91,308.65,36.75,43.26,29.48,735.69,48.79,62.32,77.23,55.7,33.34,42.71,30.45,40.72,12852,37637.47,0.91,1.22,2.18,23.97,12.97,36.19,10.09,15.23,28.14,0.03,1.33,1.17,2.4,1.57,1.68,1067662.72,50.36,189.37,385.13,63.73,19.92,80.08,52.31,,1,1975/12/12
(주)HJ중공업,097230,2018/12,0.78,-27.89,0,0,-2.52,-47.68,-0.54,-20.74,92.79,57.94,15.34,-4.5,0,0,0,57.91,0,11.41,-55.03,-1.86,-33.8,0,-9087,16510.26,0.61,0,1.2,2.98,13.93,8.63,42.3,122.44,26.2,0.01,0.12,0.52,2.72,1.26,2.19,-664773,-27.83,-104.78,-2035.62,-37.97,0,0,0,,1,2007/08/31
(주)HJ중공업,097230,2019/12,-8.08,3.24,0,0,-3.71,15.99,-6.03,-29.96,70.61,50.85,6.65,-21.93,897.14,59.39,471.59,52.71,10.03,10.59,-4.58,3.92,-3.03,0,-1249,18008.84,0.66,0,1.48,3.64,13.46,8.83,41.32,100.14,27.12,0.01,0.12,0.54,2.58,1.2,1.79,291962,11.84,47.76,1057.37,18.14,58.89,41.11,-25.23,,1,2007/08/31
(주)HJ중공업,097230,2020/12,5.29,-11.22,29.58,0,-3.09,-3.8,-17.87,-54.05,103.45,87.25,20.73,1.63,583.21,76.95,350.11,48.76,14.64,7.66,4.52,2.53,3.29,26.97,919,20350.03,0.73,5.97,1.48,6.38,17.66,9.08,40.18,57.18,20.66,0.03,0.07,0.65,2.81,1.43,1.85,289620,13.23,49,1241.99,17.09,56.28,43.72,26.43,,1,2007/08/31
(주)HJ중공업,097230,2021/12,0.66,8.77,34.89,0,55.11,27.66,-11.09,-11.99,100.15,84.62,12.49,0.06,450.92,103.8,331.36,39.85,18.15,-1.22,-8.21,-4.48,-6.13,-37.2,-1681,20484,0.75,4.53,1.34,10.86,27.87,7.92,46.07,33.62,13.09,1.55,0.03,0.85,2.25,1.69,2,108098,4.54,11.73,481.76,6.34,149.76,-49.76,-129.51,,1,2007/08/31
(주)HJ중공업,097230,2022/12,4.78,7.68,-10.88,0,-30.21,-20.84,50.72,36.43,101.02,86.84,7.22,0.56,565.7,92.5,294.36,55.78,15.02,5.39,-2.81,0.41,-2.03,-12.28,-603,21463.6,0.72,4.37,1.39,10.28,17.65,7.88,46.33,35.51,20.68,0.1,0.05,0.75,2.28,1.5,1.76,236057,9.21,36.72,920.08,13.21,75.48,24.52,-21.26,,1,2007/08/31
