회사명,거래소코드,회계년도,매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),1주당순이익(IFRS연결)(원),1주당매출액(IFRS연결)(원),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),상장폐지일,소속코드,상장일
(주)DB하이텍,000990,2018/12,-1.54,7.3,22.51,-21.19,7.56,6.69,8.4,-42.83,244.51,217.15,75.96,21.24,91,250.9,122.34,35.95,52.36,32.17,12.97,11.34,8.43,17.12,2002,15036.21,0.65,1.32,1.01,11.35,7.25,19.03,19.18,32.15,50.33,0.02,0,1.29,1.16,1.82,2.16,309084.25,28.98,61.13,140.95,46.18,42.92,57.08,28.09,,1,1975/12/12
(주)DB하이텍,000990,2019/12,20.64,2.1,15.45,20.51,3.18,-3,11.19,20.86,194.01,170.41,38.58,18.97,68.91,289.66,102.79,39.15,59.2,36.43,12.96,17.14,9.71,17.4,2410,18139.64,0.75,1.34,1.2,17.05,8.04,24.06,15.17,21.41,45.4,0.02,0.98,1.36,1.33,1.99,2.26,379212.5,34.83,67.3,135.21,46.97,38.21,61.79,27.59,,1,1975/12/12
(주)DB하이텍,000990,2020/12,15.92,8.24,23.26,58.67,9.42,8.56,7.73,0.02,175.47,155.66,18.45,16.76,48.33,357.03,90.53,38.96,67.42,38.35,17.74,21.29,14.64,23.07,3822,21026.63,0.83,1.3,1.35,18.05,9.16,27.75,13.15,20.22,39.86,0.02,0,1.37,1.45,2.11,2.39,483956.34,41.06,83.62,177.32,51.71,32.58,67.42,34.31,,1,1975/12/12
(주)DB하이텍,000990,2021/12,29.78,31.51,39.2,90.87,-2.5,2.14,77.51,27.33,243.09,223.4,54.58,30.96,40.13,496.98,66.43,52.59,71.36,44.06,26.09,29.44,23.23,33.35,7292,27289.38,0.89,1.28,1.67,20.61,10.24,29.97,12.18,17.71,35.66,0.02,1.14,1.3,1.82,1.91,2.1,744906.75,48.06,134.52,284.72,61.33,24.03,75.97,42.54,,1,1975/12/12
(주)DB하이텍,000990,2022/12,37.92,36.95,48.12,76.35,12.18,8.19,62.88,11.74,328.36,310.11,37.42,43.5,29.57,736.12,48.52,62.55,77.18,55.7,33.36,42.66,30.43,40.73,12858,37637.47,0.91,1.22,2.19,23.97,13.04,36.11,10.11,15.23,27.99,0.03,1.11,1.16,2.4,1.56,1.67,1068759.34,50.35,189.56,385.52,63.8,20.01,79.99,52.29,,1,1975/12/12
(주)HJ중공업,097230,2018/12,-30.76,-35.02,-222.45,0,-64.36,-56.21,-9.15,-26.83,80.41,56.15,10.7,-15.34,0,-133.46,0,62.95,-25.91,8.29,-75.6,2.05,-36.99,0,0,16009.7,0.49,0,1.02,2.76,14.13,7.12,51.3,132.07,25.83,0.01,0.1,0.37,1.4,0.94,1.42,390449,14.28,61.34,1195.57,23,46.6,53.4,-328.76,,1,2007/08/31
(주)HJ중공업,097230,2019/12,-4.07,-9.64,0,0,-3.7,15.5,-24.43,-29.94,70.48,50.77,6.64,-22.05,908.28,58.86,477.43,52.65,9.92,10.9,18.8,3.87,11.77,0,5185,18223.9,0.63,0,1.49,3.69,12.67,8.93,40.86,98.93,28.81,0.01,0.13,0.46,2.6,1.08,1.52,333185,13.49,54.33,1206.67,20.46,51.68,48.32,91.89,,1,2007/08/31
(주)HJ중공업,097230,2020/12,4.12,-11.19,30.59,-74.39,-3.09,-3.71,-17.92,-54.05,103.19,87.03,20.67,1.5,585.57,76.87,351.98,48.66,14.59,7.69,4.62,2.54,3.36,27.71,940,20364.21,0.73,6,1.48,6.39,16.72,9.09,40.18,57.14,21.83,0.03,0.07,0.65,2.8,1.43,1.85,292475,13.33,49.32,1254.23,17.25,55.79,44.21,26.79,,1,2007/08/31
(주)HJ중공업,097230,2021/12,0.63,8.72,35,0,54.92,27.51,-11.1,-11.99,99.9,84.41,12.45,-0.04,452.13,103.77,332.46,39.79,18.11,-1.2,-8.19,-4.46,-6.11,-37.18,-1679,20492.91,0.75,4.54,1.33,10.86,27.89,7.92,46.06,33.61,13.09,1.57,0.03,0.85,2.25,1.69,2.01,109086,4.57,11.81,486.17,6.39,148.44,-48.44,-128.2,,1,2007/08/31
(주)HJ중공업,097230,2022/12,4.78,7.65,-10.88,0,-30.16,-20.81,50.72,36.43,100.85,86.7,7.21,0.47,566.95,92.48,295.43,55.7,14.99,5.4,-2.81,0.42,-2.03,-12.28,-602,21473.17,0.72,4.38,1.39,10.28,17.66,7.88,46.31,35.5,20.67,0.1,0.05,0.75,2.28,1.5,1.76,236842,9.22,36.74,923.14,13.24,75.23,24.77,-21.18,,1,2007/08/31
