,회사명,거래소코드,회계년도,당기순이익,영업손익,매출액
0,(주)BNK금융지주,138930,2011,0,0,0
1,(주)BNK금융지주,138930,2012,0,0,0
2,(주)BNK금융지주,138930,2013,0,0,0
3,(주)BNK금융지주,138930,2014,0,0,0
4,(주)BNK금융지주,138930,2015,0,0,0
5,(주)BNK금융지주,138930,2016,0,0,0
6,(주)BNK금융지주,138930,2017,0,0,0
7,(주)BNK금융지주,138930,2018,0,0,0
8,(주)BNK금융지주,138930,2019,0,0,0
9,(주)BNK금융지주,138930,2020,0,0,0
10,(주)BNK금융지주,138930,2021,0,0,0
11,(주)BNK금융지주,138930,2022,0,0,0
12,(주)DB하이텍,990,2007,14424004,27480271,309053311
13,(주)DB하이텍,990,2008,-16952010,1746982,388784892
14,(주)DB하이텍,990,2009,-85234407,-43261765,325524224
15,(주)DB하이텍,990,2010,1891133,-860488,320979251
16,(주)DB하이텍,990,2011,-2247337,6749343,147257072
17,(주)DB하이텍,990,2012,-16315329,-4147473,142781554
18,(주)DB하이텍,990,2013,-29282495,-7402275,121212993
19,(주)DB하이텍,990,2014,-23244195,830169,118588031
20,(주)DB하이텍,990,2015,61212614,18406514,145499879
21,(주)DB하이텍,990,2016,27240935,40707488,183876313
22,(주)DB하이텍,990,2017,28076950,51733731,190460700
23,(주)DB하이텍,990,2018,2096938,12676795,138444869
24,(주)DB하이텍,990,2019,16123092,22372374,159579695
25,(주)DB하이텍,990,2020,55064822,64743307,225803046
26,(주)DB하이텍,990,2021,47810549,60590745,243736209
27,(주)DB하이텍,990,2022,158684675,181544900,395024843
28,(주)JB금융지주,175330,2014,0,0,0
29,(주)JB금융지주,175330,2015,0,0,0
30,(주)JB금융지주,175330,2016,0,0,0
31,(주)JB금융지주,175330,2017,0,0,0
32,(주)JB금융지주,175330,2018,0,0,0
33,(주)JB금융지주,175330,2019,0,0,0
34,(주)JB금융지주,175330,2020,0,0,0
35,(주)JB금융지주,175330,2021,0,0,0
36,(주)JB금융지주,175330,2022,0,0,0
37,(주)KB금융지주,105560,2009,0,0,0
38,(주)KB금융지주,105560,2010,0,0,0
39,(주)KB금융지주,105560,2011,0,0,0
40,(주)KB금융지주,105560,2012,0,0,0
41,(주)KB금융지주,105560,2013,0,0,0
42,(주)KB금융지주,105560,2014,0,0,0
43,(주)KB금융지주,105560,2015,0,0,0
44,(주)KB금융지주,105560,2016,0,0,0
45,(주)KB금융지주,105560,2017,0,0,0
46,(주)KB금융지주,105560,2018,0,0,0
47,(주)KB금융지주,105560,2019,0,0,0
48,(주)KB금융지주,105560,2020,0,0,0
49,(주)KB금융지주,105560,2021,0,0,0
50,(주)KB금융지주,105560,2022,0,0,0
51,(주)강원랜드,35250,2007,84210098,112262904,285113746
52,(주)강원랜드,35250,2008,88975496,118567606,295612068
53,(주)강원랜드,35250,2009,93932514,136702356,309601168
54,(주)강원랜드,35250,2010,112616329,154501913,336674198
55,(주)강원랜드,35250,2011,102579351,145400525,333613374
56,(주)강원랜드,35250,2012,93291313,123866113,346990860
57,(주)강원랜드,35250,2013,88913675,118330709,342011394
58,(주)강원랜드,35250,2014,105988540,137617984,373301517
59,(주)강원랜드,35250,2015,132348656,169441999,425435271
60,(주)강원랜드,35250,2016,142806288,177874934,436574022
61,(주)강원랜드,35250,2017,129782003,162405072,422970650
62,(주)강원랜드,35250,2018,90446318,126002300,378410497
63,(주)강원랜드,35250,2019,102444783,125095715,377447644
64,(주)강원랜드,35250,2020,-156116590,-186773908,236006485
65,(주)강원랜드,35250,2021,-40899772,-59617839,97434544
66,(주)강원랜드,35250,2022,-5845907,10529008,226850861
67,(주)녹십자,6280,2007,10106978,13052544,98502526
68,(주)녹십자,6280,2008,10402362,11799317,111054273
69,(주)녹십자,6280,2009,7690920,12870009,117999462
70,(주)녹십자,6280,2010,65075569,88417211,286803198
71,(주)녹십자,6280,2011,13556423,16896527,156228120
72,(주)녹십자,6280,2012,16419567,20848011,173441901
73,(주)녹십자,6280,2013,19784280,11841634,178962905
74,(주)녹십자,6280,2014,28643996,13877506,199250456
75,(주)녹십자,6280,2015,13227671,12696507,214342891
76,(주)녹십자,6280,2016,6429321,10868489,245804275
77,(주)녹십자,6280,2017,6967039,13680278,275385240
78,(주)녹십자,6280,2018,18629181,14461933,294074536
79,(주)녹십자,6280,2019,5325659,1377664,286822242
80,(주)녹십자,6280,2020,-4034289,6121451,307782419
81,(주)녹십자,6280,2021,17523025,4970743,282233062
82,(주)녹십자,6280,2022,18029768,41847906,416942468
83,(주)녹십자홀딩스,5250,2007,3148478,4874861,11716822
84,(주)녹십자홀딩스,5250,2008,318972,1672652,9646333
85,(주)녹십자홀딩스,5250,2009,119594,2911261,9386125
86,(주)녹십자홀딩스,5250,2010,36138988,38534193,42319006
87,(주)녹십자홀딩스,5250,2011,24911413,35033142,465279646
88,(주)녹십자홀딩스,5250,2012,94846486,23154052,186360230
89,(주)녹십자홀딩스,5250,2013,24272236,15679089,188500637
90,(주)녹십자홀딩스,5250,2014,29353979,20446996,223688703
91,(주)녹십자홀딩스,5250,2015,17031829,15521712,236242603
92,(주)녹십자홀딩스,5250,2016,4080571,13540482,273146557
93,(주)녹십자홀딩스,5250,2017,9544715,18525594,316011748
94,(주)녹십자홀딩스,5250,2018,30660352,17297839,345072810
95,(주)녹십자홀딩스,5250,2019,3912731,2252193,350879675
96,(주)녹십자홀딩스,5250,2020,-10193756,5638530,359484263
97,(주)녹십자홀딩스,5250,2021,23801144,13176584,345734379
98,(주)녹십자홀딩스,5250,2022,10820120,49167967,502372792
99,(주)농심,4370,2007,30374752,33536676,402670792
100,(주)농심,4370,2008,31126377,33979617,412025206
101,(주)농심,4370,2009,30380414,33914203,460579239
102,(주)농심,4370,2010,42594686,38382187,481776545
103,(주)농심,4370,2011,31680939,37862897,503338145
104,(주)농심,4370,2012,-80600517,31270663,496124439
105,(주)농심,4370,2013,24798743,30392758,531965124
106,(주)농심,4370,2014,28971796,33257216,542265600
107,(주)농심,4370,2015,23391693,27685556,539947573
108,(주)농심,4370,2016,143731948,32410996,568135618
109,(주)농심,4370,2017,29769694,32462719,555370541
110,(주)농심,4370,2018,32126751,34406292,563069517
111,(주)농심,4370,2019,29136181,31609040,588572424
112,(주)농심,4370,2020,48872450,63574666,687679703
113,(주)농심,4370,2021,29062689,28308722,634417148
114,(주)농심,4370,2022,32988392,34322105,736304711
115,(주)대우건설,47040,2007,121786808,127015447,1371042269
116,(주)대우건설,47040,2008,52062778,59679000,1302671376
117,(주)대우건설,47040,2009,11397609,53994170,1540943451
118,(주)대우건설,47040,2010,2931204,58255431,1638318717
119,(주)대우건설,47040,2011,48513781,73738197,1606389889
120,(주)대우건설,47040,2012,30695163,50068191,1638015990
121,(주)대우건설,47040,2013,31184495,115044799,2269286185
122,(주)대우건설,47040,2014,68792098,130360728,2165358178
123,(주)대우건설,47040,2015,20788632,58231463,2193785153
124,(주)대우건설,47040,2016,-19197701,60535139,2569901620
125,(주)대우건설,47040,2017,191920057,221108946,2640144771
126,(주)대우건설,47040,2018,111377192,182025601,2652824836
127,(주)대우건설,47040,2019,49426603,98535610,2030874071
128,(주)대우건설,47040,2020,61940645,120947620,1985826748
129,(주)대우건설,47040,2021,147861348,229369432,1938962791
130,(주)대우건설,47040,2022,173619538,221287089,2249481566
131,(주)대웅,3090,2012,14796804,15173760,13583762
132,(주)대웅,3090,2013,16855805,22376203,204277325
133,(주)대웅,3090,2014,18023561,22457301,209513801
134,(주)대웅,3090,2015,17764790,22406883,241071850
135,(주)대웅,3090,2016,1078460,10228090,241646678
136,(주)대웅,3090,2017,13225405,14982090,262793440
137,(주)대웅,3090,2018,16470009,18605328,288000196
138,(주)대웅,3090,2019,17073373,25828558,318588823
139,(주)대웅,3090,2020,18098328,24145418,328293864
140,(주)대웅,3090,2021,-7062921,44288976,348537038
141,(주)대웅,3090,2022,29509907,47113649,397540574
142,(주)대웅제약,69620,2012,11901252,12636487,172256391
143,(주)대웅제약,69620,2013,11599143,16307707,163370862
144,(주)대웅제약,69620,2014,11922034,14503689,171070512
145,(주)대웅제약,69620,2015,11066066,13126504,193656061
146,(주)대웅제약,69620,2016,3165497,4393596,211221653
147,(주)대웅제약,69620,2017,1867197,5889644,225933062
148,(주)대웅제약,69620,2018,2938327,5357073,239425215
149,(주)대웅제약,69620,2019,7670707,12629267,263673152
150,(주)대웅제약,69620,2020,3018684,5567958,257405399
151,(주)대웅제약,69620,2021,-20867711,22556822,269617086
152,(주)대웅제약,69620,2022,13096492,23048512,298355703
153,(주)대한항공,3490,2007,130776717,151375568,2030904997
154,(주)대한항공,3490,2008,-325450146,19595343,2264732670
155,(주)대한항공,3490,2009,-526316645,6598890,2264382676
156,(주)대한항공,3490,2010,171540440,220167253,2598988450
157,(주)대한항공,3490,2011,270895975,162886974,2821369994
158,(주)대한항공,3490,2012,-64211744,-98875539,2998346597
159,(주)대한항공,3490,2013,-303385278,-123441563,2941355794
160,(주)대한항공,3490,2014,-155758103,21158883,2896892961
161,(주)대한항공,3490,2015,-133051465,189933845,2871247156
162,(주)대한항공,3490,2016,-174900548,323257258,2866960728
163,(주)대한항공,3490,2017,559173503,191511597,2866004571
164,(주)대한항공,3490,2018,-10035677,166341112,3102002341
165,(주)대한항공,3490,2019,-61829351,140582625,3138921624
166,(주)대한항공,3490,2020,-736857769,-82792331,2427305482
167,(주)대한항공,3490,2021,-56079164,101584596,1792478199
168,(주)대한항공,3490,2022,531064733,773092247,2884257098
169,(주)더블유게임즈,192080,2016,6057028,5956388,37578077
170,(주)더블유게임즈,192080,2017,11413134,16781324,41396401
171,(주)더블유게임즈,192080,2018,13767159,26018178,113925289
172,(주)더블유게임즈,192080,2019,27074756,37592860,125727206
173,(주)더블유게임즈,192080,2020,32196698,38384564,137445486
174,(주)더블유게임즈,192080,2021,39719517,50349554,163886750
175,(주)더블유게임즈,192080,2022,33180715,42649712,149879876
176,(주)동서,26960,2007,20808812,6666934,56846330
177,(주)동서,26960,2008,28594954,7879055,67988510
178,(주)동서,26960,2009,30585457,10261633,74553634
179,(주)동서,26960,2010,35438338,10804984,82240339
180,(주)동서,26960,2011,60803465,12259583,100491005
181,(주)동서,26960,2012,65050564,12340853,106233973
182,(주)동서,26960,2013,39255997,14688373,116648825
183,(주)동서,26960,2014,42144986,14346818,119343496
184,(주)동서,26960,2015,37377924,14714089,128327515
185,(주)동서,26960,2016,43098647,12297459,126918544
186,(주)동서,26960,2017,40290796,11924549,136584481
187,(주)동서,26960,2018,39642759,12174321,144780238
188,(주)동서,26960,2019,39880497,11674376,130577615
189,(주)동서,26960,2020,38731664,10952100,121422377
190,(주)동서,26960,2021,35484697,11129150,132195181
191,(주)동서,26960,2022,36086413,11678567,138171838
192,(주)두산,150,2007,6045888,12906090,441610496
193,(주)두산,150,2008,-14771487,11856138,417243139
194,(주)두산,150,2009,205045089,-92947383,249001157
195,(주)두산,150,2010,53713961,63271766,354888763
196,(주)두산,150,2011,98890972,119835110,783740689
197,(주)두산,150,2012,46847395,86013812,942326088
198,(주)두산,150,2013,44713684,246705552,5194924297
199,(주)두산,150,2014,22386099,239195585,4763562209
200,(주)두산,150,2015,-87815263,186782828,4600073658
201,(주)두산,150,2016,253890346,259027044,3889396792
202,(주)두산,150,2017,51329290,265809489,4086329544
203,(주)두산,150,2018,42095084,350778085,4307594249
204,(주)두산,150,2019,54921319,354764027,4618696998
205,(주)두산,150,2020,-379850398,90882106,4427092194
206,(주)두산,150,2021,402302229,397991147,4520268838
207,(주)두산,150,2022,14831332,187819972,3419515282
208,(주)메리츠금융지주,138040,2015,0,0,0
209,(주)메리츠금융지주,138040,2016,0,0,0
210,(주)메리츠금융지주,138040,2017,0,0,0
211,(주)메리츠금융지주,138040,2018,0,0,0
212,(주)메리츠금융지주,138040,2019,0,0,0
213,(주)메리츠금융지주,138040,2020,0,0,0
214,(주)메리츠금융지주,138040,2021,0,0,0
215,(주)메리츠금융지주,138040,2022,0,0,0
216,(주)보령,3850,2007,2036135,2283118,48178214
217,(주)보령,3850,2008,2496608,2959471,50962204
218,(주)보령,3850,2009,1836381,2814387,63906907
219,(주)보령,3850,2010,3066868,3572166,71913195
220,(주)보령,3850,2011,3896869,5831193,75557538
221,(주)보령,3850,2012,2062546,1804703,75840161
222,(주)보령,3850,2013,962094,531657,66324829
223,(주)보령,3850,2014,5879583,5218504,76368636
224,(주)보령,3850,2015,5363882,5949526,86899983
225,(주)보령,3850,2016,3195019,4316885,88857567
226,(주)보령,3850,2017,2601184,4864144,99850686
227,(주)보령,3850,2018,6354003,8825472,111695105
228,(주)보령,3850,2019,8877562,9424635,118738698
229,(주)보령,3850,2020,8333984,13394851,134211630
230,(주)보령,3850,2021,19875737,10751089,143939138
231,(주)보령,3850,2022,11196008,16991141,178607502
232,(주)비지에프리테일,282330,2018,22109790,26064088,1316624238
233,(주)비지에프리테일,282330,2019,20952712,26338595,1349820364
234,(주)비지에프리테일,282330,2020,12006847,18478798,1393051925
235,(주)비지에프리테일,282330,2021,15871350,21631359,1501235772
236,(주)비지에프리테일,282330,2022,25988986,37755070,1692224041
237,(주)셀트리온,68270,2007,633762,801889,11603545
238,(주)셀트리온,68270,2008,178189,483670,12008833
239,(주)셀트리온,68270,2009,11688299,18017184,40754501
240,(주)셀트리온,68270,2010,18376310,22361192,34885826
241,(주)셀트리온,68270,2011,40074118,39289910,60035511
242,(주)셀트리온,68270,2012,41545883,43442075,79840817
243,(주)셀트리온,68270,2013,33440274,43538457,80792651
244,(주)셀트리온,68270,2014,14852007,35651345,86877123
245,(주)셀트리온,68270,2015,-13978836,40910835,97627875
246,(주)셀트리온,68270,2016,11802294,26983965,108458519
247,(주)셀트리온,68270,2017,67093737,89393695,196578134
248,(주)셀트리온,68270,2018,83239211,116465354,244981297
249,(주)셀트리온,68270,2019,63021445,77355874,221703640
250,(주)셀트리온,68270,2020,105292022,120241411,372847105
251,(주)셀트리온,68270,2021,197228894,207656108,456968797
252,(주)셀트리온,68270,2022,121240980,142281190,550598050
253,(주)신세계,4170,2007,100251696,165681616,2059523321
254,(주)신세계,4170,2008,131482875,198920634,2223461463
255,(주)신세계,4170,2009,128082610,210096772,2486001883
256,(주)신세계,4170,2010,156992842,240384896,2768404929
257,(주)신세계,4170,2011,168469959,68188464,549580830
258,(주)신세계,4170,2012,52142899,68873972,557703468
259,(주)신세계,4170,2013,45232648,66586336,593719994
260,(주)신세계,4170,2014,47758012,69479640,608781120
261,(주)신세계,4170,2015,56629574,71275856,630670824
262,(주)신세계,4170,2016,40815545,62097043,643276999
263,(주)신세계,4170,2017,33807576,77635597,916552064
264,(주)신세계,4170,2018,84171761,113256840,1095346798
265,(주)신세계,4170,2019,686008874,109647568,1516890581
266,(주)신세계,4170,2020,1607255,3287465,1196855928
267,(주)신세계,4170,2021,89222294,123582462,1319968151
268,(주)신세계,4170,2022,150926671,163644024,1766529703
269,(주)신세계인터내셔날,31430,2012,9069993,9071723,200066201
270,(주)신세계인터내셔날,31430,2013,2630371,3120196,185348386
271,(주)신세계인터내셔날,31430,2014,5275823,4668760,204804205
