,회사명,거래소코드,회계년도,당기순이익,영업손익,매출액
0,(주)BNK금융지주,138930,2011,,,
1,(주)BNK금융지주,138930,2012,,,
2,(주)BNK금융지주,138930,2013,,,
3,(주)BNK금융지주,138930,2014,,,
4,(주)BNK금융지주,138930,2015,,,
5,(주)BNK금융지주,138930,2016,,,
6,(주)BNK금융지주,138930,2017,,,
7,(주)BNK금융지주,138930,2018,,,
8,(주)BNK금융지주,138930,2019,,,
9,(주)BNK금융지주,138930,2020,,,
10,(주)BNK금융지주,138930,2021,,,
11,(주)BNK금융지주,138930,2022,,,
12,(주)DB하이텍,990,2006,16290858.0,29195836.0,597551402.0
13,(주)DB하이텍,990,2007,-5807009.0,37033952.0,705572910.0
14,(주)DB하이텍,990,2008,23436416.0,5269298.0,788676597.0
15,(주)DB하이텍,990,2009,-101356401.0,-35221480.0,697356210.0
16,(주)DB하이텍,990,2010,-43311362.0,-3066889.0,622839867.0
17,(주)DB하이텍,990,2011,-10680758.0,8825596.0,296884152.0
18,(주)DB하이텍,990,2012,-23647763.0,723878.0,300266751.0
19,(주)DB하이텍,990,2013,-31825126.0,4808532.0,253739150.0
20,(주)DB하이텍,990,2014,-28465843.0,11098827.0,262324502.0
21,(주)DB하이텍,990,2015,86507954.0,46105456.0,296845775.0
22,(주)DB하이텍,990,2016,47022183.0,84925283.0,373926909.0
23,(주)DB하이텍,990,2017,54202885.0,96806138.0,365143771.0
24,(주)DB하이텍,990,2018,36293232.0,46562925.0,312506014.0
25,(주)DB하이텍,990,2019,47494853.0,71671821.0,373064769.0
26,(주)DB하이텍,990,2020,105417424.0,141805668.0,467454113.0
27,(주)DB하이텍,990,2021,106853522.0,141980438.0,518386729.0
28,(주)DB하이텍,990,2022,319629046.0,394741802.0,830766626.0
29,(주)JB금융지주,175330,2014,,,
30,(주)JB금융지주,175330,2015,,,
31,(주)JB금융지주,175330,2016,,,
32,(주)JB금융지주,175330,2017,,,
33,(주)JB금융지주,175330,2018,,,
34,(주)JB금융지주,175330,2019,,,
35,(주)JB금융지주,175330,2020,,,
36,(주)JB금융지주,175330,2021,,,
37,(주)JB금융지주,175330,2022,,,
38,(주)KB금융지주,105560,2009,,,
39,(주)KB금융지주,105560,2010,,,
40,(주)KB금융지주,105560,2011,,,
41,(주)KB금융지주,105560,2012,,,
42,(주)KB금융지주,105560,2013,,,
43,(주)KB금융지주,105560,2014,,,
44,(주)KB금융지주,105560,2015,,,
45,(주)KB금융지주,105560,2016,,,
46,(주)KB금융지주,105560,2017,,,
47,(주)KB금융지주,105560,2018,,,
48,(주)KB금융지주,105560,2019,,,
49,(주)KB금융지주,105560,2020,,,
50,(주)KB금융지주,105560,2021,,,
51,(주)KB금융지주,105560,2022,,,
52,(주)강원랜드,35250,2006,114163232.0,153387840.0,385166702.0
53,(주)강원랜드,35250,2007,167383377.0,214656521.0,537183063.0
54,(주)강원랜드,35250,2008,184114256.0,242675936.0,577223234.0
55,(주)강원랜드,35250,2009,197024058.0,254511921.0,597286250.0
56,(주)강원랜드,35250,2010,222439773.0,297137338.0,648063304.0
57,(주)강원랜드,35250,2011,197398379.0,258640527.0,629283526.0
58,(주)강원랜드,35250,2012,174144950.0,225899455.0,652756955.0
59,(주)강원랜드,35250,2013,165111894.0,211371700.0,651289937.0
60,(주)강원랜드,35250,2014,206527893.0,261208322.0,728943537.0
61,(주)강원랜드,35250,2015,229693767.0,317338426.0,814329391.0
62,(주)강원랜드,35250,2016,266489769.0,338134116.0,848390576.0
63,(주)강원랜드,35250,2017,240208006.0,297855647.0,809961742.0
64,(주)강원랜드,35250,2018,185001516.0,241000012.0,717112444.0
65,(주)강원랜드,35250,2019,153387891.0,297867775.0,741710529.0
66,(주)강원랜드,35250,2020,-201676701.0,-290586106.0,270639302.0
67,(주)강원랜드,35250,2021,-19992153.0,-56916157.0,301049327.0
68,(주)강원랜드,35250,2022,31701508.0,80475658.0,538371046.0
69,(주)녹십자,6280,2006,16027226.0,23343773.0,176792858.0
70,(주)녹십자,6280,2007,23781996.0,29516897.0,209071069.0
71,(주)녹십자,6280,2008,29139407.0,31515754.0,235416276.0
72,(주)녹십자,6280,2009,22156897.0,33117353.0,258856072.0
73,(주)녹십자,6280,2010,81379730.0,109894088.0,447478576.0
74,(주)녹십자,6280,2011,24294506.0,31373998.0,342526940.0
75,(주)녹십자,6280,2012,28416117.0,37081814.0,376699939.0
76,(주)녹십자,6280,2013,36441847.0,28910309.0,385379473.0
77,(주)녹십자,6280,2014,42188820.0,33334757.0,434946635.0
78,(주)녹십자,6280,2015,42695080.0,42922369.0,482752563.0
79,(주)녹십자,6280,2016,23319409.0,34908206.0,549334636.0
80,(주)녹십자,6280,2017,33864253.0,48213285.0,605543918.0
81,(주)녹십자,6280,2018,21351209.0,27773704.0,635913001.0
82,(주)녹십자,6280,2019,-9109692.0,21013657.0,646434239.0
83,(주)녹십자,6280,2020,9830793.0,21745250.0,667802356.0
84,(주)녹십자,6280,2021,24980099.0,16079048.0,669829896.0
85,(주)녹십자,6280,2022,28884677.0,54924718.0,840172784.0
86,(주)녹십자홀딩스,5250,2006,340983.0,5548223.0,17272593.0
87,(주)녹십자홀딩스,5250,2007,9380839.0,14983174.0,24071290.0
88,(주)녹십자홀딩스,5250,2008,12040437.0,15927670.0,25872527.0
89,(주)녹십자홀딩스,5250,2009,9178994.0,13797475.0,20800928.0
90,(주)녹십자홀딩스,5250,2010,50711062.0,57524019.0,64170272.0
91,(주)녹십자홀딩스,5250,2011,38902149.0,58355714.0,902401102.0
92,(주)녹십자홀딩스,5250,2012,108403158.0,42088214.0,401122181.0
93,(주)녹십자홀딩스,5250,2013,42864963.0,37819971.0,408151595.0
94,(주)녹십자홀딩스,5250,2014,46471506.0,45343260.0,475948078.0
95,(주)녹십자홀딩스,5250,2015,54100981.0,50482004.0,524672877.0
96,(주)녹십자홀딩스,5250,2016,21338847.0,39214982.0,616390933.0
97,(주)녹십자홀딩스,5250,2017,40042244.0,60282686.0,695008537.0
98,(주)녹십자홀딩스,5250,2018,25251237.0,33189178.0,752285536.0
99,(주)녹십자홀딩스,5250,2019,-25574909.0,14603214.0,735292463.0
100,(주)녹십자홀딩스,5250,2020,19389007.0,16159235.0,778126624.0
101,(주)녹십자홀딩스,5250,2021,28774446.0,27051225.0,802653711.0
102,(주)녹십자홀딩스,5250,2022,7842574.0,59055896.0,1019467448.0
103,(주)농심,4370,2006,64983787.0,75411461.0,777590731.0
104,(주)농심,4370,2007,52439524.0,58593129.0,769416714.0
105,(주)농심,4370,2008,46305044.0,53151436.0,806854607.0
106,(주)농심,4370,2009,74916337.0,58957265.0,920520197.0
107,(주)농심,4370,2010,63270352.0,58663859.0,946629003.0
108,(주)농심,4370,2011,59325880.0,64375644.0,997398219.0
109,(주)농심,4370,2012,-63910012.0,50003779.0,965294529.0
110,(주)농심,4370,2013,36577979.0,44173019.0,1028338649.0
111,(주)농심,4370,2014,41094858.0,43133882.0,1032619296.0
112,(주)농심,4370,2015,59886952.0,51877636.0,1069417765.0
113,(주)농심,4370,2016,158574783.0,44828905.0,1095355860.0
114,(주)농심,4370,2017,45585783.0,50711506.0,1091664129.0
115,(주)농심,4370,2018,39729223.0,40868982.0,1095838660.0
116,(주)농심,4370,2019,33772189.0,39808101.0,1156742358.0
117,(주)농심,4370,2020,85274980.0,104960394.0,1355698170.0
118,(주)농심,4370,2021,47303896.0,45585489.0,1282333252.0
119,(주)농심,4370,2022,60971121.0,38575505.0,1492468317.0
120,(주)대우건설,47040,2006,271329318.0,294699620.0,2764998717.0
121,(주)대우건설,47040,2007,240903658.0,284931582.0,2966013343.0
122,(주)대우건설,47040,2008,116690118.0,195924360.0,3012471227.0
123,(주)대우건설,47040,2009,172506726.0,104454518.0,3332045717.0
124,(주)대우건설,47040,2010,25406286.0,104973277.0,3444132754.0
125,(주)대우건설,47040,2011,152859728.0,231211876.0,3365229425.0
126,(주)대우건설,47040,2012,99668831.0,176573858.0,3834577903.0
127,(주)대우건설,47040,2013,69677705.0,219939850.0,4596202326.0
128,(주)대우건설,47040,2014,99242328.0,244131068.0,4711237718.0
129,(주)대우건설,47040,2015,98871483.0,162489781.0,4771360268.0
130,(주)대우건설,47040,2016,17559837.0,166495281.0,5598303082.0
131,(주)대우건설,47040,2017,322568811.0,466921940.0,5754198834.0
132,(주)대우건설,47040,2018,198106557.0,343714285.0,5616728223.0
133,(주)대우건설,47040,2019,132019227.0,200283506.0,4261703372.0
134,(주)대우건설,47040,2020,114324707.0,202067454.0,3949033397.0
135,(주)대우건설,47040,2021,286881598.0,421673998.0,4146353425.0
136,(주)대우건설,47040,2022,222041054.0,307740755.0,4690366730.0
137,(주)대웅,3090,2006/09,14609414.0,11682661.0,23021920.0
138,(주)대웅,3090,2007/09,12009812.0,12985449.0,27475311.0
139,(주)대웅,3090,2008/09,9149460.0,12999616.0,28420154.0
