,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,1주당순이익,부채비율,매출액정상영업이익률,매출액증가율,PER,PBR,PCR
0,(주)BNK금융지주,138930,2011/06,,,,,,,,,
1,(주)BNK금융지주,138930,2012/06,,,,,,,,,
2,(주)BNK금융지주,138930,2013/06,,,,,,,,,
3,(주)BNK금융지주,138930,2014/06,,,,,,,,,
4,(주)BNK금융지주,138930,2015/06,,,,,,,,,
5,(주)BNK금융지주,138930,2016/06,,,,,,,,,
6,(주)BNK금융지주,138930,2017/06,,,,,,,,,
7,(주)BNK금융지주,138930,2018/06,,,,,,,,,
8,(주)BNK금융지주,138930,2019/06,,,,,,,,,
9,(주)BNK금융지주,138930,2020/06,,,,,,,,,
10,(주)BNK금융지주,138930,2021/06,,,,,,,,,
11,(주)BNK금융지주,138930,2022/06,,,,,,,,,
12,(주)DB하이텍,990,2007/06,0.0,0.0,-343.0,268.98,5.25,0.0,0.0,,0.0
13,(주)DB하이텍,990,2008/06,-85.77,0.0,719.0,268.88,0.67,11.78,22.265,,0.0
14,(주)DB하이텍,990,2009/06,0.0,0.0,-3062.0,304.32,-5.05,-11.58,0.0,,4.175
15,(주)DB하이텍,990,2010/06,0.0,0.0,-1280.0,245.39,-0.49,-10.69,0.0,,0.0
16,(주)DB하이텍,990,2011/06,0.0,0.0,-274.0,260.67,2.97,-52.33,0.0,,9.6
17,(주)DB하이텍,990,2012/06,-91.8,0.0,-589.0,325.27,0.24,1.14,0.0,,18.259999999999998
18,(주)DB하이텍,990,2013/06,0.0,0.0,-792.0,350.23,1.9,0.0,0.0,,24.799999999999997
19,(주)DB하이텍,990,2014/06,130.82,0.0,-708.0,501.15,4.23,3.38,0.0,,16.345
20,(주)DB하이텍,990,2015/06,315.41,0.0,2102.0,354.16,15.53,13.16,5.085,,10.055
21,(주)DB하이텍,990,2016/06,84.2,-45.64,1087.0,218.26,22.71,25.97,12.035,,6.785
22,(주)DB하이텍,990,2017/06,13.99,15.27,1253.0,144.92,26.51,-2.35,15.454999999999998,,8.34
23,(주)DB하이텍,990,2018/06,-51.9,-33.04,837.0,106.42,14.9,-14.42,16.13,,13.765
24,(주)DB하이텍,990,2019/06,53.92,30.86,1094.0,91.96,19.21,19.38,13.355,,17.22
25,(주)DB하이텍,990,2020/06,97.85,121.96,2427.0,52.24,30.34,25.3,9.145,,9.11
26,(주)DB하이텍,990,2021/06,0.12,1.36,2459.0,40.69,27.39,10.9,21.38,,18.92
27,(주)DB하이텍,990,2022/06,178.03,199.13,7354.0,30.68,47.52,60.26,10.135,,10.945
28,(주)JB금융지주,175330,2014/06,,,,,,,,,
29,(주)JB금융지주,175330,2015/06,,,,,,,,,
30,(주)JB금융지주,175330,2016/06,,,,,,,,,
31,(주)JB금융지주,175330,2017/06,,,,,,,,,
32,(주)JB금융지주,175330,2018/06,,,,,,,,,
33,(주)JB금융지주,175330,2019/06,,,,,,,,,
34,(주)JB금융지주,175330,2020/06,,,,,,,,,
35,(주)JB금융지주,175330,2021/06,,,,,,,,,
36,(주)JB금융지주,175330,2022/06,,,,,,,,,
37,(주)KB금융지주,105560,2009/06,,,,,,,,,
38,(주)KB금융지주,105560,2010/06,,,,,,,,,
39,(주)KB금융지주,105560,2011/06,,,,,,,,,
40,(주)KB금융지주,105560,2012/06,,,,,,,,,
41,(주)KB금융지주,105560,2013/06,,,,,,,,,
42,(주)KB금융지주,105560,2014/06,,,,,,,,,
43,(주)KB금융지주,105560,2015/06,,,,,,,,,
44,(주)KB금융지주,105560,2016/06,,,,,,,,,
45,(주)KB금융지주,105560,2017/06,,,,,,,,,
46,(주)KB금융지주,105560,2018/06,,,,,,,,,
47,(주)KB금융지주,105560,2019/06,,,,,,,,,
48,(주)KB금융지주,105560,2020/06,,,,,,,,,
49,(주)KB금융지주,105560,2021/06,,,,,,,,,
50,(주)KB금융지주,105560,2022/06,,,,,,,,,
51,(주)강원랜드,35250,2007/06,0.0,0.0,791.0,27.65,39.96,0.0,24.41,,15.93
52,(주)강원랜드,35250,2008/06,13.05,10.0,873.0,28.1,42.04,7.45,27.51,,25.86
