,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,1주당순이익,부채비율,매출액정상영업이익률,매출액증가율,PER,PBR,PCR
12,(주)DB하이텍,990,2007/12,0.0,0.0,-1151.0,319.3,-2.62,0.0,0.0,0.75,0.0
13,(주)DB하이텍,990,2008/12,0.0,0.0,-8904.0,342.61,1.8,28.57,0.0,0.35,0.0
14,(주)DB하이텍,990,2009/12,0.0,0.0,-5481.0,348.79,-11.01,-34.26,0.0,0.505,3.13
15,(주)DB하이텍,990,2010/12,0.0,0.0,-5072.0,247.03,-61.04,-49.85,0.0,1.2149999999999999,6.58
16,(주)DB하이텍,990,2011/12,0.0,0.0,-2541.0,289.22,-7.81,-10.94,0.0,2.435,8.705
17,(주)DB하이텍,990,2012/12,0.0,0.0,-780.0,298.0,-2.64,6.98,0.0,1.9200000000000002,5.575
18,(주)DB하이텍,990,2013/12,0.0,0.0,-2066.0,416.9,-1.95,-16.42,0.0,2.52,10.870000000000001
19,(주)DB하이텍,990,2014/12,0.0,0.0,-1915.0,715.95,8.03,14.98,0.0,3.635,5.695
20,(주)DB하이텍,990,2015/12,174.29,0.0,3112.0,287.57,18.75,17.42,4.105,2.15,3.48
21,(주)DB하이텍,990,2016/12,37.98,-30.29,2042.0,188.6,22.3,15.98,8.26,2.145,2.945
22,(주)DB하이텍,990,2017/12,-16.95,24.71,2546.0,118.07,21.07,-12.08,10.395,1.9100000000000001,4.245
23,(주)DB하이텍,990,2018/12,-21.09,-21.19,2002.0,91.0,16.88,-1.54,7.21,1.36,3.755
24,(주)DB하이텍,990,2019/12,60.45,20.51,2410.0,68.91,22.45,20.64,7.135,1.425,5.375
25,(주)DB하이텍,990,2020/12,32.02,58.67,3822.0,48.33,25.57,15.92,8.975,1.96,4.79
26,(주)DB하이텍,990,2021/12,66.76,90.87,7292.0,40.13,32.86,29.78,8.98,2.665,7.275
27,(주)DB하이텍,990,2022/12,92.62,76.35,12858.0,29.57,45.89,37.92,4.79,1.71,3.675
53,(주)강원랜드,35250,2007/12,0.0,0.0,1383.0,28.85,39.21,0.0,16.225,3.305,10.96
54,(주)강원랜드,35250,2008/12,12.58,5.63,1472.0,27.28,40.96,7.76,11.815,2.46,9.62
55,(주)강원랜드,35250,2009/12,0.0,0.0,1902.0,26.31,38.42,0.0,7.925,1.82,6.285
56,(주)강원랜드,35250,2010/12,19.84,9.28,2088.0,24.29,42.29,8.88,11.450000000000001,2.605,10.120000000000001
57,(주)강원랜드,35250,2011/12,-12.08,-10.57,1875.0,20.11,38.6,-3.66,14.969999999999999,2.81,13.73
58,(주)강원랜드,35250,2012/12,-17.13,-19.66,1509.0,22.54,31.24,2.41,19.555,2.6,12.65
59,(주)강원랜드,35250,2013/12,-4.16,-2.82,1468.0,23.21,28.51,5.02,22.895,2.825,15.535
60,(주)강원랜드,35250,2014/12,32.25,20.75,1772.0,24.76,34.29,9.94,19.025,2.7199999999999998,13.395
61,(주)강원랜드,35250,2015/12,16.02,22.9,2178.0,23.12,36.44,9.17,18.81,2.8949999999999996,13.92
62,(주)강원랜드,35250,2016/12,3.9,2.93,2242.0,22.33,36.46,3.84,18.795,2.8049999999999997,14.235
63,(주)강원랜드,35250,2017/12,-14.18,-3.73,2159.0,19.55,33.09,-5.43,17.61,2.33,16.52
64,(주)강원랜드,35250,2018/12,-18.87,-32.06,1467.0,17.97,29.95,-10.37,21.424999999999997,1.87,17.405
65,(주)강원랜드,35250,2019/12,16.36,12.56,1651.0,19.38,32.97,5.7,19.825,1.88,16.265
66,(주)강원랜드,35250,2020/12,0.0,0.0,-1361.0,12.15,-90.18,-68.52,0.0,1.51,0.0
67,(주)강원랜드,35250,2021/12,0.0,0.0,-52.0,17.66,-6.68,64.74,0.0,1.69,25.509999999999998
68,(주)강원랜드,35250,2022/12,0.0,0.0,570.0,22.03,17.12,61.17,47.305,1.645,13.059999999999999
69,(주)녹십자,6280,2007/12,0.0,0.0,5041.0,80.35,13.21,0.0,15.165000000000001,3.09,19.095
70,(주)녹십자,6280,2008/12,16.23,10.18,5525.0,105.62,13.16,16.69,15.625,3.13,0.0
71,(주)녹십자,6280,2009/12,75.75,64.76,9021.0,98.71,18.56,24.63,16.655,4.015000000000001,11.969999999999999
72,(주)녹십자,6280,2010/12,0.0,0.0,12040.0,39.98,19.21,0.0,11.205,2.4899999999999998,15.030000000000001
73,(주)녹십자,6280,2011/12,0.0,0.0,5544.0,36.5,11.5,0.0,27.965,2.585,28.405
74,(주)녹십자,6280,2012/12,-15.83,-3.11,5305.0,39.28,9.16,5.71,26.985,2.315,29.545
75,(주)녹십자,6280,2013/12,5.99,30.62,6140.0,31.55,8.87,9.41,22.625,1.99,64.655
76,(주)녹십자,6280,2014/12,23.04,19.81,7260.0,44.5,9.94,9.81,25.475,1.895,28.97
77,(주)녹십자,6280,2015/12,-5.45,13.13,8213.0,41.84,8.75,7.43,21.48,2.63,38.995
78,(주)녹십자,6280,2016/12,-14.43,-33.69,5451.0,46.42,6.55,14.32,36.225,2.485,0.0
79,(주)녹십자,6280,2017/12,15.1,-15.44,4665.0,53.65,7.01,7.51,40.755,2.355,48.06
80,(주)녹십자,6280,2018/12,-44.46,-35.34,3017.0,53.03,3.76,3.65,46.265,2.31,181.535
81,(주)녹십자,6280,2019/12,-19.73,-110.57,-319.0,65.47,2.94,2.61,126.285,1.5699999999999998,35.015
