,회사명,거래소코드,회계년도,당기순이익,영업손익,매출액
0,(주)BNK금융지주,138930,2011,,,
1,(주)BNK금융지주,138930,2012,,,
2,(주)BNK금융지주,138930,2013,,,
3,(주)BNK금융지주,138930,2014,,,
4,(주)BNK금융지주,138930,2015,,,
5,(주)BNK금융지주,138930,2016,,,
6,(주)BNK금융지주,138930,2017,,,
7,(주)BNK금융지주,138930,2018,,,
8,(주)BNK금융지주,138930,2019,,,
9,(주)BNK금융지주,138930,2020,,,
10,(주)BNK금융지주,138930,2021,,,
11,(주)BNK금융지주,138930,2022,,,
12,(주)DB하이텍,990,2007,-3388891.0,-51674516.0,433352365.0
13,(주)DB하이텍,990,2008,-293476400.0,29442634.0,749209359.0
14,(주)DB하이텍,990,2009,-13726653.0,-63173128.0,305055488.0
15,(주)DB하이텍,990,2010,-129004390.0,-372475166.0,-162287794.0
16,(주)DB하이텍,990,2011,-44337729.0,-34357390.0,132656507.0
17,(주)DB하이텍,990,2012,-21137033.0,-20765214.0,140682404.0
18,(주)DB하이텍,990,2013,-41939286.0,-15882354.0,106474623.0
19,(주)DB하이텍,990,2014,-18771730.0,22176397.0,157539013.0
20,(주)DB하이텍,990,2015,8926091.0,30143475.0,181511982.0
21,(주)DB하이텍,990,2016,12380645.0,41705849.0,200996482.0
22,(주)DB하이텍,990,2017,45905475.0,13342801.0,150693642.0
23,(주)DB하이텍,990,2018,17593694.0,25803217.0,173033130.0
24,(주)DB하이텍,990,2019,12503487.0,47842004.0,212031662.0
25,(주)DB하이텍,990,2020,13565936.0,30403226.0,227818846.0
26,(주)DB하이텍,990,2021,117372295.0,138146823.0,367855453.0
27,(주)DB하이텍,990,2022,68379885.0,153648140.0,397140684.0
28,(주)JB금융지주,175330,2013,,,
29,(주)JB금융지주,175330,2014,,,
30,(주)JB금융지주,175330,2015,,,
31,(주)JB금융지주,175330,2016,,,
32,(주)JB금융지주,175330,2017,,,
33,(주)JB금융지주,175330,2018,,,
34,(주)JB금융지주,175330,2019,,,
35,(주)JB금융지주,175330,2020,,,
36,(주)JB금융지주,175330,2021,,,
37,(주)JB금융지주,175330,2022,,,
38,(주)KB금융지주,105560,2008,,,
39,(주)KB금융지주,105560,2009,,,
40,(주)KB금융지주,105560,2010,,,
41,(주)KB금융지주,105560,2011,,,
42,(주)KB금융지주,105560,2012,,,
43,(주)KB금융지주,105560,2013,,,
44,(주)KB금융지주,105560,2014,,,
45,(주)KB금융지주,105560,2015,,,
46,(주)KB금융지주,105560,2016,,,
47,(주)KB금융지주,105560,2017,,,
48,(주)KB금융지주,105560,2018,,,
49,(주)KB금융지주,105560,2019,,,
50,(주)KB금융지주,105560,2020,,,
51,(주)KB금융지주,105560,2021,,,
52,(주)KB금융지주,105560,2022,,,
53,(주)강원랜드,35250,2007,43445016.0,98196550.0,262461507.0
54,(주)강원랜드,35250,2008,28603302.0,104194726.0,267824873.0
55,(주)강원랜드,35250,2009,68495849.0,69381573.0,302465348.0
56,(주)강원랜드,35250,2010,74151879.0,88252821.0,313278703.0
57,(주)강원랜드,35250,2011,79511338.0,95895834.0,309342939.0
58,(주)강원랜드,35250,2012,50328557.0,73160064.0,310814759.0
59,(주)강원랜드,35250,2013,27893966.0,41430027.0,335631142.0
60,(주)강원랜드,35250,2014,47354774.0,119209113.0,373617540.0
61,(주)강원랜드,35250,2015,92966634.0,120191327.0,405887781.0
62,(주)강원랜드,35250,2016,63705891.0,118830349.0,410027174.0
63,(주)강원랜드,35250,2017,78325498.0,95400921.0,399439532.0
64,(주)강원랜드,35250,2018,18967611.0,65771189.0,351868314.0
65,(주)강원랜드,35250,2019,52620669.0,64072583.0,372837513.0
66,(주)강원랜드,35250,2020,-33345630.0,-76119679.0,131322202.0
67,(주)강원랜드,35250,2021,-11004306.0,-20049796.0,242137264.0
68,(주)강원랜드,35250,2022,9215343.0,18373517.0,334741707.0
69,(주)녹십자,6280,2007,3570320.0,9529560.0,109536618.0
70,(주)녹십자,6280,2008,9874440.0,16164896.0,139956135.0
71,(주)녹십자,6280,2009,43056076.0,65476875.0,225333363.0
72,(주)녹십자,6280,2010,3163409.0,8019894.0,153605077.0
73,(주)녹십자,6280,2011,-466299.0,10782205.0,191493159.0
74,(주)녹십자,6280,2012,-5516586.0,-6923598.0,194140795.0
75,(주)녹십자,6280,2013,1645289.0,5479136.0,242416602.0
76,(주)녹십자,6280,2014,-1173347.0,12042552.0,257980127.0
77,(주)녹십자,6280,2015,-4939814.0,571796.0,270044704.0
78,(주)녹십자,6280,2016,18905967.0,8957148.0,320990798.0
79,(주)녹십자,6280,2017,-5590171.0,116397.0,326313647.0
80,(주)녹십자,6280,2018,-2930340.0,-5618428.0,346664340.0
81,(주)녹십자,6280,2019,-24603152.0,-17316668.0,353584190.0
82,(주)녹십자,6280,2020,16025585.0,-22234815.0,416732271.0
83,(주)녹십자,6280,2021,53862796.0,-13926664.0,402287435.0
84,(주)녹십자,6280,2022,-1890041.0,-22412737.0,411472411.0
85,(주)녹십자홀딩스,5250,2007,29027170.0,43276232.0,1093008824.0
86,(주)녹십자홀딩스,5250,2008,24082378.0,45860441.0,1195701636.0
87,(주)녹십자홀딩스,5250,2009,59829257.0,111167351.0,1488839242.0
88,(주)녹십자홀딩스,5250,2010,62723681.0,91393318.0,753553904.0
89,(주)녹십자홀딩스,5250,2011,-7719763.0,762962.0,-588627459.0
90,(주)녹십자홀딩스,5250,2012,-50584747.0,371707.0,204871811.0
91,(주)녹십자홀딩스,5250,2013,3230617.0,9926636.0,259462236.0
92,(주)녹십자홀딩스,5250,2014,3401606.0,14011630.0,274036437.0
93,(주)녹십자홀딩스,5250,2015,-705711.0,4525364.0,300349939.0
94,(주)녹십자홀딩스,5250,2016,32466941.0,23757372.0,382659388.0
95,(주)녹십자홀딩스,5250,2017,1627917.0,4390665.0,368913768.0
96,(주)녹십자홀딩스,5250,2018,-12640616.0,-12290202.0,398420339.0
97,(주)녹십자홀딩스,5250,2019,-20281065.0,-20335963.0,377616527.0
98,(주)녹십자홀딩스,5250,2020,109538002.0,-14538410.0,506229672.0
99,(주)녹십자홀딩스,5250,2021,46957012.0,-17533133.0,507046737.0
100,(주)녹십자홀딩스,5250,2022,27292006.0,-32832664.0,506396851.0
101,(주)농심,4370,2007,26623004.0,30117760.0,396252371.0
102,(주)농심,4370,2008,27736153.0,43080812.0,529317732.0
103,(주)농심,4370,2009,18123308.0,30979901.0,619514207.0
104,(주)농심,4370,2010,51713413.0,89924003.0,678963696.0
105,(주)농심,4370,2011,5081694.0,23808221.0,691454078.0
106,(주)농심,4370,2012,23580800.0,12199526.0,709741516.0
107,(주)농심,4370,2013,27227604.0,31267561.0,550499046.0
108,(주)농심,4370,2014,8225541.0,15095657.0,520994588.0
109,(주)농심,4370,2015,28308700.0,28880050.0,566228580.0
110,(주)농심,4370,2016,17553901.0,22113489.0,573935073.0
111,(주)농심,4370,2017,16056134.0,14341251.0,544916851.0
112,(주)농심,4370,2018,25027000.0,25972709.0,574566025.0
113,(주)농심,4370,2019,21173829.0,20440868.0,597311783.0
114,(주)농심,4370,2020,34234647.0,26019034.0,632619619.0
115,(주)농심,4370,2021,27011915.0,31438315.0,707654441.0
116,(주)농심,4370,2022,26777062.0,46297095.0,823589020.0
117,(주)대우건설,47040,2007,609660852.0,135645956.0,1723692336.0
118,(주)대우건설,47040,2008,10266980.0,64450830.0,2033946175.0
119,(주)대우건설,47040,2009,-84768952.0,81657065.0,2017249945.0
120,(주)대우건설,47040,2010,-569143285.0,-966154046.0,1786565174.0
121,(주)대우건설,47040,2011,12975013.0,11260878.0,2127140162.0
122,(주)대우건설,47040,2012,32713260.0,99660072.0,2154158296.0
123,(주)대우건설,47040,2013,-834051137.0,-568827511.0,2166358755.0
124,(주)대우건설,47040,2014,4545339.0,89032407.0,2677476128.0
125,(주)대우건설,47040,2015,22442518.0,60910685.0,2599028765.0
126,(주)대우건설,47040,2016,-815395028.0,-731387369.0,2689894348.0
127,(주)대우건설,47040,2017,-153919130.0,-151517542.0,2914601900.0
128,(주)대우건설,47040,2018,31540684.0,93550849.0,2260263048.0
129,(주)대우건설,47040,2019,21720070.0,44777827.0,2309293369.0
130,(주)대우건설,47040,2020,112297680.0,253270112.0,2291402287.0
131,(주)대우건설,47040,2021,108618379.0,204351864.0,2438732508.0
132,(주)대우건설,47040,2022,111619407.0,246776075.0,3208335573.0
133,(주)대웅,3090,2011,36416370.0,40813658.0,260282204.0
134,(주)대웅,3090,2012,26069439.0,21753868.0,285667727.0
135,(주)대웅,3090,2013,8252850.0,11746192.0,220134940.0
136,(주)대웅,3090,2014,3088354.0,12950940.0,234388919.0
137,(주)대웅,3090,2015,4004894.0,13418804.0,252604808.0
138,(주)대웅,3090,2016,23062050.0,20308890.0,270626747.0
139,(주)대웅,3090,2017,33192536.0,18952000.0,280873055.0
