회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),*주당순손익(IFRS)(원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),자본(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원)
(주)BNK금융지주,138930,2011/03,,,,,,
(주)BNK금융지주,138930,2012/03,,,,,,
(주)BNK금융지주,138930,2013/03,,,,,,
(주)BNK금융지주,138930,2014/03,,,,,,
(주)BNK금융지주,138930,2015/03,,,,,,
(주)BNK금융지주,138930,2016/03,,,,,,
(주)BNK금융지주,138930,2017/03,,,,,,
(주)BNK금융지주,138930,2018/03,,,,,,
(주)BNK금융지주,138930,2019/03,,,,,,
(주)BNK금융지주,138930,2020/03,,,,,,
(주)BNK금융지주,138930,2021/03,,,,,,
(주)BNK금융지주,138930,2022/03,,,,,,
(주)DB하이텍,000990,2007/03,14424004,0,825633552,309053311,402291151,27480271
(주)DB하이텍,000990,2008/03,-16952010,-520,2356600964,388784892,864024004,1746982
(주)DB하이텍,000990,2009/03,-85234407,-2617,2395531436,325524224,767682983,-43261765
(주)DB하이텍,000990,2010/03,1891133,57,1874496498,320979251,602989594,-860488
(주)DB하이텍,000990,2011/03,-2247337,-58,995104444,147257072,361416926,6749343
(주)DB하이텍,000990,2012/03,-16315329,-421,916576731,142781554,278611530,-4147473
(주)DB하이텍,000990,2013/03,-21361475,-532,890590501,121200159,253192428,-7207578
(주)DB하이텍,000990,2014/03,-18175642,-452,862604485,118573696,179174138,855296
(주)DB하이텍,000990,2015/03,62631489,1551,802495303,145499879,200909213,18266100
(주)DB하이텍,000990,2016/03,33207278,768,728111477,183876313,310864566,40709450
(주)DB하이텍,000990,2017/03,33567077,776,641739803,190460700,398017530,51547324
(주)DB하이텍,000990,2018/03,11470987,265,552974964,138444869,457789151,12644659
(주)DB하이텍,000990,2019/03,17731904,408,524943617,159579695,545463724,22337067
(주)DB하이텍,000990,2020/03,54944580,1265,461161575,225803046,685219714,64702579
(주)DB하이텍,000990,2021/03,47748124,1099,365828281,243736209,828906779,60553506
(주)DB하이텍,000990,2022/03,136776990,3147,438890527,395024843,1223175304,181508852
(주)JB금융지주,175330,2014/03,,,,,,
(주)JB금융지주,175330,2015/03,,,,,,
(주)JB금융지주,175330,2016/03,,,,,,
(주)JB금융지주,175330,2017/03,,,,,,
(주)JB금융지주,175330,2018/03,,,,,,
(주)JB금융지주,175330,2019/03,,,,,,
(주)JB금융지주,175330,2020/03,,,,,,
(주)JB금융지주,175330,2021/03,,,,,,
(주)JB금융지주,175330,2022/03,,,,,,
(주)KB금융지주,105560,2009/03,,,,,,
(주)KB금융지주,105560,2010/03,,,,,,
(주)KB금융지주,105560,2011/03,,,,,,
(주)KB금융지주,105560,2012/03,,,,,,
(주)KB금융지주,105560,2013/03,,,,,,
(주)KB금융지주,105560,2014/03,,,,,,
(주)KB금융지주,105560,2015/03,,,,,,
(주)KB금융지주,105560,2016/03,,,,,,
(주)KB금융지주,105560,2017/03,,,,,,
(주)KB금융지주,105560,2018/03,,,,,,
(주)KB금융지주,105560,2019/03,,,,,,
(주)KB금융지주,105560,2020/03,,,,,,
(주)KB금융지주,105560,2021/03,,,,,,
(주)KB금융지주,105560,2022/03,,,,,,
(주)강원랜드,035250,2007/03,84210098,0,506396549,285113746,1362761739,112262904
(주)강원랜드,035250,2008/03,88975496,421,629098550,295612068,1508392478,118567606
