회사명,거래소코드,회계년도,당기순이익(손실)(IFRS연결)(천원),*주당순손익(IFRS연결)(원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(3개월)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원)
(주)BNK금융지주,138930,2011/03,,,,,,
(주)BNK금융지주,138930,2012/03,,,,,,
(주)BNK금융지주,138930,2013/03,,,,,,
(주)BNK금융지주,138930,2014/03,,,,,,
(주)BNK금융지주,138930,2015/03,,,,,,
(주)BNK금융지주,138930,2016/03,,,,,,
(주)BNK금융지주,138930,2017/03,,,,,,
(주)BNK금융지주,138930,2018/03,,,,,,
(주)BNK금융지주,138930,2019/03,,,,,,
(주)BNK금융지주,138930,2020/03,,,,,,
(주)BNK금융지주,138930,2021/03,,,,,,
(주)BNK금융지주,138930,2022/03,,,,,,
(주)DB하이텍,000990,2007/03,,,,,,
(주)DB하이텍,000990,2008/03,,,,,,
(주)DB하이텍,000990,2009/03,,,,,,
(주)DB하이텍,000990,2010/03,,,,,,
(주)DB하이텍,000990,2011/03,,,,,,
(주)DB하이텍,000990,2012/03,,,,,,
(주)DB하이텍,000990,2013/03,-29282495,-729,884747044,121212993,262497519,-7402275
(주)DB하이텍,000990,2014/03,-23244195,-578,862588839,118588031,182276535,830169
(주)DB하이텍,000990,2015/03,61212614,1516,802004148,145499879,182837537,18406514
(주)DB하이텍,000990,2016/03,27240935,629,728619474,183876313,280519056,40707488
(주)DB하이텍,000990,2017/03,28076950,649,643229092,190460700,366494242,51733731
(주)DB하이텍,000990,2018/03,2096938,48,553055273,138444869,473495476,12676795
(주)DB하이텍,000990,2019/03,16123092,0,525141298,159579695,559809990,22372374
(주)DB하이텍,000990,2020/03,55064822,1268,462647412,225803046,684896720,64743307
(주)DB하이텍,000990,2021/03,47810549,1100,367764614,243736209,828473158,60590745
(주)DB하이텍,000990,2022/03,158684675,3651,440456073,395024843,1245226271,181544900
(주)JB금융지주,175330,2014/03,,,,,,
(주)JB금융지주,175330,2015/03,,,,,,
(주)JB금융지주,175330,2016/03,,,,,,
(주)JB금융지주,175330,2017/03,,,,,,
(주)JB금융지주,175330,2018/03,,,,,,
(주)JB금융지주,175330,2019/03,,,,,,
(주)JB금융지주,175330,2020/03,,,,,,
(주)JB금융지주,175330,2021/03,,,,,,
(주)JB금융지주,175330,2022/03,,,,,,
(주)KB금융지주,105560,2009/03,,,,,,
(주)KB금융지주,105560,2010/03,,,,,,
(주)KB금융지주,105560,2011/03,,,,,,
(주)KB금융지주,105560,2012/03,,,,,,
(주)KB금융지주,105560,2013/03,,,,,,
(주)KB금융지주,105560,2014/03,,,,,,
(주)KB금융지주,105560,2015/03,,,,,,
(주)KB금융지주,105560,2016/03,,,,,,
(주)KB금융지주,105560,2017/03,,,,,,
(주)KB금융지주,105560,2018/03,,,,,,
(주)KB금융지주,105560,2019/03,,,,,,
(주)KB금융지주,105560,2020/03,,,,,,
(주)KB금융지주,105560,2021/03,,,,,,
(주)KB금융지주,105560,2022/03,,,,,,
(주)강원랜드,035250,2007/03,,,,,,
(주)강원랜드,035250,2008/03,,,,,,
(주)강원랜드,035250,2009/03,,,,,,
(주)강원랜드,035250,2010/03,,,,,,
(주)강원랜드,035250,2011/03,102579351,503,720925350,333613374,1993224283,145400525
(주)강원랜드,035250,2012/03,93291313,0,746993235,346990860,2167452164,123866113
