회사명,거래소코드,회계년도,당기순이익(손실)(IFRS연결)(천원),*주당순손익(IFRS연결)(원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원)
(주)BNK금융지주,138930,2011/09,,,,,,
(주)BNK금융지주,138930,2012/09,,,,,,
(주)BNK금융지주,138930,2013/09,,,,,,
(주)BNK금융지주,138930,2014/09,,,,,,
(주)BNK금융지주,138930,2015/09,,,,,,
(주)BNK금융지주,138930,2016/09,,,,,,
(주)BNK금융지주,138930,2017/09,,,,,,
(주)BNK금융지주,138930,2018/09,,,,,,
(주)BNK금융지주,138930,2019/09,,,,,,
(주)BNK금융지주,138930,2020/09,,,,,,
(주)BNK금융지주,138930,2021/09,,,,,,
(주)BNK금융지주,138930,2022/09,,,,,,
(주)DB하이텍,000990,2007/09,,,,,,
(주)DB하이텍,000990,2008/09,,,,,,
(주)DB하이텍,000990,2009/09,,,,,,
(주)DB하이텍,000990,2010/09,,,,,,
(주)DB하이텍,000990,2011/09,,,,,,
(주)DB하이텍,000990,2012/09,,,,,,
(주)DB하이텍,000990,2013/09,-41107482,-1023,869775512,387277405,246601812,6271742
(주)DB하이텍,000990,2014/09,-58237114,-1448,867083306,410179211,143344239,23383851
(주)DB하이텍,000990,2015/09,117807261,2875,806947937,485083005,259702035,94825340
(주)DB하이텍,000990,2016/09,75963373,1756,628381095,572143698,321748611,130722081
(주)DB하이텍,000990,2017/09,64269614,1486,581862839,529044102,407240004,129852367
(주)DB하이텍,000990,2018/09,69235074,1596,518526225,496246006,539933519,87189926
(주)DB하이텍,000990,2019/09,92133525,2122,481151958,595384761,635949857,133450184
(주)DB하이텍,000990,2020/09,152459655,3510,375840322,708100920,781591558,208931955
(주)DB하이텍,000990,2021/09,199519557,4591,381929662,846826587,980600047,260959955
(주)DB하이텍,000990,2022/09,490456777,11284,477678895,1278146850,1578200206,615098546
(주)JB금융지주,175330,2013/09,,,,,,
(주)JB금융지주,175330,2014/09,,,,,,
(주)JB금융지주,175330,2015/09,,,,,,
(주)JB금융지주,175330,2016/09,,,,,,
(주)JB금융지주,175330,2017/09,,,,,,
(주)JB금융지주,175330,2018/09,,,,,,
(주)JB금융지주,175330,2019/09,,,,,,
(주)JB금융지주,175330,2020/09,,,,,,
(주)JB금융지주,175330,2021/09,,,,,,
(주)JB금융지주,175330,2022/09,,,,,,
(주)KB금융지주,105560,2008/09,,,,,,
(주)KB금융지주,105560,2009/09,,,,,,
(주)KB금융지주,105560,2010/09,,,,,,
(주)KB금융지주,105560,2011/09,,,,,,
(주)KB금융지주,105560,2012/09,,,,,,
(주)KB금융지주,105560,2013/09,,,,,,
(주)KB금융지주,105560,2014/09,,,,,,
(주)KB금융지주,105560,2015/09,,,,,,
(주)KB금융지주,105560,2016/09,,,,,,
(주)KB금융지주,105560,2017/09,,,,,,
(주)KB금융지주,105560,2018/09,,,,,,
(주)KB금융지주,105560,2019/09,,,,,,
(주)KB금융지주,105560,2020/09,,,,,,
(주)KB금융지주,105560,2021/09,,,,,,
(주)KB금융지주,105560,2022/09,,,,,,
(주)강원랜드,035250,2007/09,,,,,,
(주)강원랜드,035250,2008/09,,,,,,
(주)강원랜드,035250,2009/09,,,,,,
(주)강원랜드,035250,2010/09,,,,,,
(주)강원랜드,035250,2011/09,301663975,0,343132108,956343486,2177791837,392645640
(주)강원랜드,035250,2012/09,255900431,1260,465402716,985376464,2322533517,331707601
(주)강원랜드,035250,2013/09,269702381,1330,415152797,1025655456,2484934345,346611278
(주)강원랜드,035250,2014/09,311993794,1539,499873061,1122923901,2683504660,393962940
(주)강원랜드,035250,2015/09,348662467,0,602542354,1227829058,2888765250,475209075
(주)강원랜드,035250,2016/09,390827768,0,570671990,1286505337,3197570608,499785939
(주)강원랜드,035250,2017/09,359215009,0,632952245,1205030523,3412879130,435496413
(주)강원랜드,035250,2018/09,278269270,0,606896499,1086190985,3586920274,364928802
(주)강원랜드,035250,2019/09,282033223,0,478080928,1147242936,3691688108,437080569
(주)강원랜드,035250,2020/09,-242533474,0,455954163,347256664,3287480626,-355464195
(주)강원랜드,035250,2021/09,422220,0,477815637,546295566,3246466944,-32645490
(주)강원랜드,035250,2022/09,106397425,0,611351517,935944112,3357178021,199191697
(주)녹십자,006280,2007/09,,,,,,
(주)녹십자,006280,2008/09,,,,,,
(주)녹십자,006280,2009/09,,,,,,
(주)녹십자,006280,2010/09,,,,,,
(주)녹십자,006280,2011/09,58067073,0,238381548,576418612,616270981,77554478
(주)녹십자,006280,2012/09,61128374,0,266781693,617633518,680665327,81279281
(주)녹십자,006280,2013/09,70382419,0,268963605,645751605,836842118,73329325
(주)녹십자,006280,2014/09,87962470,0,405060480,717346979,911526274,84923344
