date,number
"Wednesday, Jan  1, 2003",-12.30
"Tuesday, Jan  7, 2003",-7.40
"Wednesday, Jan 15, 2003",1.50
"Thursday, Jan 23, 2003",7.40
"Friday, Jan 31, 2003",7.20
"Friday, Feb  7, 2003",6.90
"Monday, Feb 17, 2003",18.80
"Monday, Feb 24, 2003",-0.20
"Tuesday, Mar  4, 2003",5.30
"Wednesday, Mar 12, 2003",1.50
"Thursday, Mar 20, 2003",-5.80
"Friday, Mar 28, 2003",-7.40
"Friday, Apr  4, 2003",-21.60
"Monday, Apr 14, 2003",-10.10
"Monday, Apr 21, 2003",-18.00
"Tuesday, Apr 29, 2003",-17.80
"Wednesday, May  7, 2003",-27.30
"Thursday, May 15, 2003",-43.40
"Friday, May 23, 2003",-37.80
"Friday, May 30, 2003",-26.80
"Monday, Jun  9, 2003",-19.60
"Monday, Jun 16, 2003",-16.00
"Tuesday, Jun 24, 2003",-7.90
"Wednesday, Jul  2, 2003",-1.20
"Thursday, Jul 10, 2003",-4.20
"Friday, Jul 18, 2003",11.90
"Friday, Jul 25, 2003",11.00
"Monday, Aug  4, 2003",14.80
"Monday, Aug 11, 2003",25.80
"Tuesday, Aug 19, 2003",38.40
"Wednesday, Aug 27, 2003",42.50
"Thursday, Sep  4, 2003",46.60
"Friday, Sep 12, 2003",49.50
"Friday, Sep 19, 2003",46.80
"Monday, Sep 29, 2003",38.60
"Monday, Oct  6, 2003",34.00
"Tuesday, Oct 14, 2003",29.30
"Wednesday, Oct 22, 2003",35.80
"Thursday, Oct 30, 2003",55.90
"Friday, Nov  7, 2003",49.60
"Friday, Nov 14, 2003",40.50
"Monday, Nov 24, 2003",36.00
"Tuesday, Dec  2, 2003",64.40
"Wednesday, Dec 10, 2003",63.00
"Thursday, Dec 18, 2003",67.10
"Friday, Dec 26, 2003",57.40
"Friday, Jan  2, 2004",57.10
"Monday, Jan 12, 2004",44.40
"Monday, Jan 19, 2004",46.20
"Tuesday, Jan 27, 2004",37.20
"Wednesday, Feb  4, 2004",31.20
"Thursday, Feb 12, 2004",31.20
"Friday, Feb 20, 2004",16.10
"Friday, Feb 27, 2004",3.60
"Monday, Mar  8, 2004",-10.60
"Monday, Mar 15, 2004",-25.80
"Tuesday, Mar 23, 2004",-24.80
"Wednesday, Mar 31, 2004",-20.10
"Thursday, Apr  8, 2004",-4.90
"Friday, Apr 16, 2004",3.60
"Friday, Apr 23, 2004",-4.30
"Monday, May  3, 2004",8.90
"Monday, May 10, 2004",10.80
"Tuesday, May 18, 2004",8.90
"Wednesday, May 26, 2004",7.90
"Thursday, Jun  3, 2004",15.90
"Friday, Jun 11, 2004",27.70
"Friday, Jun 18, 2004",22.90
"Monday, Jun 28, 2004",1.80
"Monday, Jul  5, 2004",-9.70
"Tuesday, Jul 13, 2004",-7.30
"Wednesday, Jul 21, 2004",-10.60
"Thursday, Jul 29, 2004",3.40
"Friday, Aug  6, 2004",-15.50
"Friday, Aug 13, 2004",-37.30
"Monday, Aug 23, 2004",-41.60
"Monday, Aug 30, 2004",-43.00
"Tuesday, Sep  7, 2004",-52.00
"Wednesday, Sep 15, 2004",-57.00
"Thursday, Sep 23, 2004",-52.70
"Friday, Oct  1, 2004",-46.50
"Friday, Oct  8, 2004",-55.20
"Monday, Oct 18, 2004",-64.40
"Monday, Oct 25, 2004",-58.70
"Tuesday, Nov  2, 2004",-46.30
"Wednesday, Nov 10, 2004",-31.90
"Thursday, Nov 18, 2004",-24.60
"Friday, Nov 26, 2004",-23.20
"Monday, Dec  6, 2004",-21.20
"Monday, Dec 13, 2004",-11.60
"Tuesday, Dec 21, 2004",2.70
"Wednesday, Dec 29, 2004",1.80
"Thursday, Jan  6, 2005",6.30
"Friday, Jan 14, 2005",1.70
"Friday, Jan 21, 2005",0.10
"Monday, Jan 31, 2005",3.80
"Monday, Feb  7, 2005",10.20
"Tuesday, Feb 15, 2005",17.40
"Wednesday, Feb 23, 2005",12.50
"Thursday, Mar  3, 2005",8.50
"Friday, Mar 11, 2005",8.80
"Friday, Mar 18, 2005",8.00
"Monday, Mar 28, 2005",3.30
"Monday, Apr  4, 2005",-9.30
"Tuesday, Apr 12, 2005",-14.00
"Wednesday, Apr 20, 2005",-26.80
"Thursday, Apr 28, 2005",-32.10
"Friday, May  6, 2005",-25.30
"Friday, May 13, 2005",-8.30
"Monday, May 23, 2005",-13.70
"Monday, May 30, 2005",-22.00
"Tuesday, Jun  7, 2005",-29.80
"Wednesday, Jun 15, 2005",-32.10
"Thursday, Jun 23, 2005",-25.70
