DATE,WTISPLC
2003-05-01,28.140
2003-06-01,30.720
2003-07-01,30.760
2003-08-01,31.590
2003-09-01,28.290
2003-10-01,30.330
2003-11-01,31.090
2003-12-01,32.150
2004-01-01,34.270
2004-02-01,34.740
2004-03-01,36.760
2004-04-01,36.690
2004-05-01,40.280
2004-06-01,38.020
2004-07-01,40.690
2004-08-01,44.940
2004-09-01,45.950
2004-10-01,53.130
2004-11-01,48.460
2004-12-01,43.330
2005-01-01,46.840
2005-02-01,47.970
2005-03-01,54.310
2005-04-01,53.040
2005-05-01,49.830
2005-06-01,56.260
2005-07-01,58.700
2005-08-01,64.970
2005-09-01,65.570
2005-10-01,62.370
2005-11-01,58.300
2005-12-01,59.430
2006-01-01,65.510
2006-02-01,61.630
2006-03-01,62.900
2006-04-01,69.690
2006-05-01,70.940
2006-06-01,70.960
2006-07-01,74.410
2006-08-01,73.050
2006-09-01,63.870
2006-10-01,58.880
2006-11-01,59.370
2006-12-01,62.030
2007-01-01,54.570
2007-02-01,59.260
2007-03-01,60.560
2007-04-01,63.970
2007-05-01,63.460
2007-06-01,67.480
2007-07-01,74.180
2007-08-01,72.390
2007-09-01,79.930
2007-10-01,86.200
2007-11-01,94.620
2007-12-01,91.730
2008-01-01,92.950
2008-02-01,95.350
2008-03-01,105.560
2008-04-01,112.570
2008-05-01,125.390
2008-06-01,133.930
2008-07-01,133.440
2008-08-01,116.610
2008-09-01,103.900
2008-10-01,76.650
2008-11-01,57.440
2008-12-01,41.020
2009-01-01,41.740
2009-02-01,39.160
2009-03-01,47.980
2009-04-01,49.790
2009-05-01,59.160
2009-06-01,69.680
2009-07-01,64.090
2009-08-01,71.060
2009-09-01,69.460
2009-10-01,75.820
2009-11-01,78.080
2009-12-01,74.300
2010-01-01,78.220
2010-02-01,76.420
2010-03-01,81.240
2010-04-01,84.480
2010-05-01,73.840
2010-06-01,75.350
2010-07-01,76.370
2010-08-01,76.820
2010-09-01,75.310
2010-10-01,81.900
2010-11-01,84.140
2010-12-01,89.040
2011-01-01,89.420
2011-02-01,89.580
2011-03-01,102.940
2011-04-01,110.040
2011-05-01,101.330
2011-06-01,96.290
2011-07-01,97.190
2011-08-01,86.330
2011-09-01,85.610
2011-10-01,86.410
2011-11-01,97.210
2011-12-01,98.570
2012-01-01,100.240
2012-02-01,102.250
2012-03-01,106.190
2012-04-01,103.330
2012-05-01,94.700
2012-06-01,82.410
2012-07-01,87.930
2012-08-01,94.160
2012-09-01,94.720
2012-10-01,89.570
2012-11-01,86.660
2012-12-01,88.250
2013-01-01,94.690
2013-02-01,95.320
2013-03-01,93.050
2013-04-01,92.070
2013-05-01,94.800
2013-06-01,95.800
2013-07-01,104.61
2013-08-01,106.57
2013-09-01,106.29
2013-10-01,100.54
2013-11-01,93.86
2013-12-01,97.63
2014-01-01,94.62
2014-02-01,100.82
2014-03-01,100.80
2014-04-01,102.07
2014-05-01,102.18
2014-06-01,105.79
2014-07-01,103.59
2014-08-01,96.54
2014-09-01,93.21
2014-10-01,84.40
2014-11-01,75.79
2014-12-01,59.29
2015-01-01,47.22
2015-02-01,50.58
2015-03-01,47.82
2015-04-01,54.45
2015-05-01,59.27
2015-06-01,59.82
2015-07-01,50.90
2015-08-01,42.87
2015-09-01,45.48
2015-10-01,46.22
2015-11-01,42.44
2015-12-01,37.19
2016-01-01,31.68
2016-02-01,30.32
2016-03-01,37.55
2016-04-01,40.75
2016-05-01,46.71
2016-06-01,48.76
2016-07-01,44.65
2016-08-01,44.72
2016-09-01,45.18
2016-10-01,49.78
2016-11-01,45.6600
2016-12-01,51.9700
2017-01-01,52.5000
2017-02-01,53.4700
2017-03-01,49.3300
2017-04-01,51.0600
2017-05-01,48.4800
2017-06-01,45.1800
2017-07-01,46.6300
2017-08-01,48.0400
2017-09-01,49.8200
2017-10-01,51.5800
2017-11-01,56.6400
2017-12-01,57.8800
2018-01-01,63.7000
2018-02-01,62.2300
2018-03-01,62.7300
2018-04-01,66.2500
2018-05-01,69.9800
2018-06-01,67.8700
2018-07-01,70.9800
2018-08-01,68.0600
2018-09-01,70.2300
2018-10-01,70.75
2018-11-01,56.96
2018-12-01,49.52
2019-01-01,51.38
2019-02-01,54.95
2019-03-01,58.15
2019-04-01,63.86
2019-05-01,60.83
2019-06-01,54.66
2019-07-01,57.35
2019-08-01,54.81
2019-09-01,56.95
2019-10-01,53.96
2019-11-01,57.03
2019-12-01,59.88
2020-01-01,57.52
2020-02-01,50.54
2020-03-01,29.21
2020-04-01,16.55
2020-05-01,28.56
2020-06-01,38.31
2020-07-01,40.71
2020-08-01,42.34
2020-09-01,39.63
2020-10-01,39.4
2020-11-01,40.94
2020-12-01,47.02
2021-01-01,52.0
2021-02-01,59.04
2021-03-01,62.33
2021-04-01,61.72
2021-05-01,65.17
2021-06-01,71.38
2021-07-01,72.49
2021-08-01,67.73
2021-09-01,71.65
2021-10-01,81.48
2021-11-01,79.15
2021-12-01,71.71
2022-01-01,83.22
2022-02-01,91.64
2022-03-01,108.5
2022-04-01,101.78
2022-05-01,109.55
2022-06-01,114.84
2022-07-01,101.62
2022-08-01,93.67
2022-09-01,84.26
2022-10-01,87.55
2022-11-01,84.37
2022-12-01,76.44
2023-01-01,78.12
2023-02-01,76.83
2023-03-01,73.28
2023-04-01,79.45
2023-05-01,71.58
