회사명,거래소코드,회계년도,당기순이익(순손실)(천원),영업이익(손실)(천원),매출액(영업수익)(*)(천원)
(주)BNK금융지주,138930,2011/06,,,
(주)BNK금융지주,138930,2012/06,,,
(주)BNK금융지주,138930,2013/06,,,
(주)BNK금융지주,138930,2014/06,,,
(주)BNK금융지주,138930,2015/06,,,
(주)BNK금융지주,138930,2016/06,,,
(주)BNK금융지주,138930,2017/06,,,
(주)BNK금융지주,138930,2018/06,,,
(주)BNK금융지주,138930,2019/06,,,
(주)BNK금융지주,138930,2020/06,,,
(주)BNK금융지주,138930,2021/06,,,
(주)BNK금융지주,138930,2022/06,,,
(주)DB하이텍,000990,2006/06,16290858,29195836,597551402
(주)DB하이텍,000990,2007/06,-5807009,37033952,705572910
(주)DB하이텍,000990,2008/06,23436416,5269299,788676597
(주)DB하이텍,000990,2009/06,-101356401,-35221480,697356210
(주)DB하이텍,000990,2010/06,-43311362,-3066889,622839867
(주)DB하이텍,000990,2011/06,-10680758,5146652,296884152
(주)DB하이텍,000990,2012/06,-23647763,-1765428,300266751
(주)DB하이텍,000990,2013/06,-26093350,5086262,253691703
(주)DB하이텍,000990,2014/06,-18907684,10945135,262324448
(주)DB하이텍,000990,2015/06,88228109,45858672,296845775
(주)DB하이텍,000990,2016/06,56814102,84775866,373926909
(주)DB하이텍,000990,2017/06,55008968,96244544,365143771
(주)DB하이텍,000990,2018/06,46700317,46501501,312506014
(주)DB하이텍,000990,2019/06,49625283,71601785,373064769
(주)DB하이텍,000990,2020/06,109656599,141730846,467454113
(주)DB하이텍,000990,2021/06,106757720,141909814,518386729
(주)DB하이텍,000990,2022/06,295680059,394667321,830766626
(주)JB금융지주,175330,2014/06,,,
(주)JB금융지주,175330,2015/06,,,
(주)JB금융지주,175330,2016/06,,,
(주)JB금융지주,175330,2017/06,,,
(주)JB금융지주,175330,2018/06,,,
(주)JB금융지주,175330,2019/06,,,
(주)JB금융지주,175330,2020/06,,,
(주)JB금융지주,175330,2021/06,,,
(주)JB금융지주,175330,2022/06,,,
(주)KB금융지주,105560,2009/06,,,
(주)KB금융지주,105560,2010/06,,,
(주)KB금융지주,105560,2011/06,,,
(주)KB금융지주,105560,2012/06,,,
(주)KB금융지주,105560,2013/06,,,
(주)KB금융지주,105560,2014/06,,,
(주)KB금융지주,105560,2015/06,,,
(주)KB금융지주,105560,2016/06,,,
(주)KB금융지주,105560,2017/06,,,
(주)KB금융지주,105560,2018/06,,,
(주)KB금융지주,105560,2019/06,,,
(주)KB금융지주,105560,2020/06,,,
(주)KB금융지주,105560,2021/06,,,
(주)KB금융지주,105560,2022/06,,,
(주)강원랜드,035250,2006/06,114163232,153387840,385166702
(주)강원랜드,035250,2007/06,167383377,214656521,537183063
(주)강원랜드,035250,2008/06,184114256,242675936,577223234
(주)강원랜드,035250,2009/06,197024058,254511921,597286250
(주)강원랜드,035250,2010/06,222439773,297137338,648063304
(주)강원랜드,035250,2011/06,202173845,268448158,628456847
(주)강원랜드,035250,2012/06,181761470,231426797,651545270
(주)강원랜드,035250,2013/06,173541378,216067169,649352068
(주)강원랜드,035250,2014/06,212664423,267238910,727281648
(주)강원랜드,035250,2015/06,232706913,322742282,813238520
(주)강원랜드,035250,2016/06,266524858,341724091,847593842
(주)강원랜드,035250,2017/06,240024190,300574333,809232436
(주)강원랜드,035250,2018/06,185737172,242823895,716662328
(주)강원랜드,035250,2019/06,153390284,298687105,740142973
(주)강원랜드,035250,2020/06,-202417486,-290101034,270230465
(주)강원랜드,035250,2021/06,-18419439,-57138393,300735208
(주)강원랜드,035250,2022/06,30960107,80595760,537817391
(주)녹십자,006280,2006/06,16027226,23343773,176792858
(주)녹십자,006280,2007/06,23781996,29516898,209071069
(주)녹십자,006280,2008/06,29139407,31515754,235416276
(주)녹십자,006280,2009/06,22156897,33117353,258856072
(주)녹십자,006280,2010/06,81379730,109894088,447478576
(주)녹십자,006280,2011/06,22543721,26715964,314984439
(주)녹십자,006280,2012/06,25830814,31575870,327640301
(주)녹십자,006280,2013/06,32580099,22554626,341706219
(주)녹십자,006280,2014/06,21311371,27155022,378274302
(주)녹십자,006280,2015/06,37284514,37140013,417240534
(주)녹십자,006280,2016/06,23460012,27630270,468851300
(주)녹십자,006280,2017/06,28072472,37792149,513426340
(주)녹십자,006280,2018/06,21622900,21958061,539969298
(주)녹십자,006280,2019/06,2120761,18199664,537902914
(주)녹십자,006280,2020/06,13213933,15905500,547636781
(주)녹십자,006280,2021/06,17520696,6383452,504875825
(주)녹십자,006280,2022/06,23488296,24180877,586852389
(주)녹십자홀딩스,005250,2006/06,340983,5548223,17272593
(주)녹십자홀딩스,005250,2007/06,9380839,14983174,24071290
(주)녹십자홀딩스,005250,2008/06,12040437,15927669,25872527
(주)녹십자홀딩스,005250,2009/06,9178994,13797475,20800928
(주)녹십자홀딩스,005250,2010/06,50711062,57524018,64170272
(주)녹십자홀딩스,005250,2011/06,12429530,14621009,20482785
(주)녹십자홀딩스,005250,2012/06,81187612,11969846,18339830
(주)녹십자홀딩스,005250,2013/06,14574501,13275671,21033848
(주)녹십자홀딩스,005250,2014/06,10431314,12032945,20616454
(주)녹십자홀딩스,005250,2015/06,12180668,12627724,24013683
(주)녹십자홀딩스,005250,2016/06,13473641,17952683,47139670
(주)녹십자홀딩스,005250,2017/06,16012369,20672818,60628941
(주)녹십자홀딩스,005250,2018/06,19638361,20448817,74191454
(주)녹십자홀딩스,005250,2019/06,16790406,15567209,31133945
(주)녹십자홀딩스,005250,2020/06,24943411,19548468,33623940
(주)녹십자홀딩스,005250,2021/06,39041133,29966607,49111641
(주)녹십자홀딩스,005250,2022/06,11761727,23425842,42936828
(주)농심,004370,2006/06,64983787,75411461,777590731
(주)농심,004370,2007/06,52439524,58593130,769416714
(주)농심,004370,2008/06,46305044,53151436,806854607
(주)농심,004370,2009/06,74916337,58957265,920520197
(주)농심,004370,2010/06,63270352,58663860,946629003
(주)농심,004370,2011/06,59325880,62303100,997398219
(주)농심,004370,2012/06,-63910012,41649903,965294529
(주)농심,004370,2013/06,38482124,43003788,926927328
(주)농심,004370,2014/06,42906297,41934926,910293316
(주)농심,004370,2015/06,57903484,45962825,923469775
(주)농심,004370,2016/06,154378194,33618895,918787217
(주)농심,004370,2017/06,43951772,41962539,912879851
(주)농심,004370,2018/06,36626815,31270618,913421160
(주)농심,004370,2019/06,26977798,26542081,946427274
