,종목코드,종목명,회계년도,종가
0,5930,삼성전자,2007/06,566000
1,5490,POSCO,2007/06,443500
2,60000,국민은행,2007/06,81100
3,15760,한국전력,2007/06,41000
4,9540,현대중공업,2007/06,345000
5,55550,신한지주,2007/06,56200
6,53000,우리금융,2007/06,23400
7,17670,SK텔레콤,2007/06,213000
8,3600,SK,2007/06,134500
9,5380,현대차,2007/06,73000
10,660,하이닉스,2007/06,33350
11,34220,LG필립스LCD,2007/06,41100
12,30200,KT,2007/06,43200
13,4170,신세계,2007/06,602000
14,66570,LG전자,2007/06,76400
15,23530,롯데쇼핑,2007/06,360000
16,10140,삼성중공업,2007/06,45200
17,42660,대우조선해양,2007/06,52300
18,33780,KT&G,2007/06,65000
19,86790,하나금융지주,2007/06,45050
20,34020,두산중공업,2007/06,88600
21,47040,대우건설,2007/06,26500
22,4940,외환은행,2007/06,13750
23,810,삼성화재,2007/06,178000
24,10950,S-Oil,2007/06,71100
25,12330,현대모비스,2007/06,87800
26,24110,기업은행,2007/06,18850
27,720,현대건설,2007/06,67600
28,830,삼성물산,2007/06,45300
29,1740,SK네트웍스,2007/06,24500
30,6360,GS건설,2007/06,110500
31,32390,KTF,2007/06,28500
32,6800,대우증권,2007/06,28500
33,42670,두산인프라코어,2007/06,31000
34,10620,현대미포조선,2007/06,257000
35,51910,LG화학,2007/06,78100
36,16360,삼성증권,2007/06,74300
37,12630,현대산업,2007/06,65800
38,270,기아차,2007/06,14400
39,210,대림산업,2007/06,137500
40,11200,현대상선,2007/06,36000
41,36460,한국가스공사,2007/06,59800
42,35250,강원랜드,2007/06,21450
43,2380,KCC,2007/06,420000
44,4020,현대제철,2007/06,51000
45,3480,한진중공업,2007/06,65600
46,47050,대우인터내셔,2007/06,43700
47,78930,GS,2007/06,44900
48,880,한화,2007/06,53800
49,28050,삼성엔지니어링,2007/06,97600
50,9150,삼성전기,2007/06,50600
51,3490,대한항공,2007/06,52500
52,12450,삼성테크윈,2007/06,48700
53,5940,우리투자증권,2007/06,28300
54,150,두산,2007/06,144000
55,71050,한국금융지주,2007/06,63200
56,1040,CJ,2007/06,112000
57,3450,현대증권,2007/06,23050
58,67250,STX조선,2007/06,44100
59,37620,미래에셋증권,2007/06,83300
60,700,한진해운,2007/06,40700
61,11170,호남석유,2007/06,92300
62,10130,고려아연,2007/06,157000
63,6400,삼성SDI,2007/06,60000
64,140,하이트맥주,2007/06,120000
65,240,한국타이어,2007/06,16600
66,10060,동양제철화학,2007/06,125500
67,69960,현대백화점,2007/06,109000
68,21240,웅진코웨이,2007/06,31300
69,9830,한화석화,2007/06,22800
70,1300,제일모직,2007/06,44400
71,5270,대구은행,2007/06,16200
72,51900,LG생활건강,2007/06,134000
73,6260,LS전선,2007/06,64800
74,5280,부산은행,2007/06,13350
75,12750,에스원,2007/06,49850
76,36570,엔씨소프트,2007/06,88400
77,2990,금호산업,2007/06,44900
78,1230,동국제강,2007/06,30050
79,4800,효성,2007/06,49500
80,42100,현대오토넷,2007/06,7700
81,4990,롯데제과,2007/06,1230000
82,12990,LG석유화학,2007/06,36050
83,4370,농심,2007/06,263000
84,77970,STX엔진,2007/06,55400
85,1440,대한전선,2007/06,33500
86,1800,오리온,2007/06,276000
87,3690,코리안리,2007/06,14450
88,34120,SBS,2007/06,58900
89,100,유한양행,2007/06,173000
90,6120,SK케미칼,2007/06,75200
91,11780,금호석유,2007/06,59500
92,5300,롯데칠성,2007/06,1189000
93,2790,태평양,2007/06,171000
94,30000,제일기획,2007/06,284500
95,3240,태광산업,2007/06,1120000
96,10120,LS산전,2007/06,39050
97,8930,한미약품,2007/06,142000
98,1120,LG상사,2007/06,31100
