회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원)
(주)BNK금융지주,138930,2011/12,,,
(주)BNK금융지주,138930,2012/12,,,
(주)BNK금융지주,138930,2013/12,,,
(주)BNK금융지주,138930,2014/12,,,
(주)BNK금융지주,138930,2015/12,,,
(주)BNK금융지주,138930,2016/12,,,
(주)BNK금융지주,138930,2017/12,,,
(주)BNK금융지주,138930,2018/12,,,
(주)BNK금융지주,138930,2019/12,,,
(주)BNK금융지주,138930,2020/12,,,
(주)BNK금융지주,138930,2021/12,,,
(주)BNK금융지주,138930,2022/12,,,
(주)DB하이텍,000990,2006/12,,,
(주)DB하이텍,000990,2007/12,-16938761,-15283190,1372190425
(주)DB하이텍,000990,2008/12,-281570478,-88544577,1347649484
(주)DB하이텍,000990,2009/12,-176442539,-130420429,1152892773
(주)DB하이텍,000990,2010/12,-204814784,-362804081,593441908
(주)DB하이텍,000990,2011/12,-93084414,-39983672,534317238
(주)DB하이텍,000990,2012/12,-32121504,-14429657,583901597
(주)DB하이텍,000990,2013/12,-73243309,-9392980,493752028
(주)DB하이텍,000990,2014/12,-58319918,45310506,567718224
(주)DB하이텍,000990,2015/12,127469869,124372824,666594987
(주)DB하이텍,000990,2016/12,88002359,171787648,773140180
(주)DB하이텍,000990,2017/12,74401732,142353689,679737744
(주)DB하이텍,000990,2018/12,95087399,112884303,669279136
(주)DB하이텍,000990,2019/12,121159865,181155872,807416423
(주)DB하이텍,000990,2020/12,165657642,239188805,935919766
(주)DB하이텍,000990,2021/12,316919978,398950429,1214682040
(주)DB하이텍,000990,2022/12,558546974,768587460,1675287534
(주)JB금융지주,175330,2013/12,,,
(주)JB금융지주,175330,2014/12,,,
(주)JB금융지주,175330,2015/12,,,
(주)JB금융지주,175330,2016/12,,,
(주)JB금융지주,175330,2017/12,,,
(주)JB금융지주,175330,2018/12,,,
(주)JB금융지주,175330,2019/12,,,
(주)JB금융지주,175330,2020/12,,,
(주)JB금융지주,175330,2021/12,,,
(주)JB금융지주,175330,2022/12,,,
(주)KB금융지주,105560,2008/12,,,
(주)KB금융지주,105560,2009/12,,,
(주)KB금융지주,105560,2010/12,,,
(주)KB금융지주,105560,2011/12,,,
(주)KB금융지주,105560,2012/12,,,
(주)KB금융지주,105560,2013/12,,,
(주)KB금융지주,105560,2014/12,,,
(주)KB금융지주,105560,2015/12,,,
(주)KB금융지주,105560,2016/12,,,
(주)KB금융지주,105560,2017/12,,,
(주)KB금융지주,105560,2018/12,,,
(주)KB금융지주,105560,2019/12,,,
(주)KB금융지주,105560,2020/12,,,
(주)KB금융지주,105560,2021/12,,,
(주)KB금융지주,105560,2022/12,,,
(주)강원랜드,035250,2006/12,,,
(주)강원랜드,035250,2007/12,292776710,418174770,1066507237
(주)강원랜드,035250,2008/12,309254549,470761907,1149282882
(주)강원랜드,035250,2009/12,390000453,465031522,1206658712
(주)강원랜드,035250,2010/12,434447189,564053558,1313380414
(주)강원랜드,035250,2011/12,393401121,501039825,1263651213
(주)강원랜드,035250,2012/12,296503993,416789419,1292896121
(주)강원랜드,035250,2013/12,293129468,398563590,1356906162
(주)강원랜드,035250,2014/12,363815729,526317689,1492291312
(주)강원랜드,035250,2015/12,430459518,603884505,1630976696
(주)강원랜드,035250,2016/12,454998593,624885355,1694575212
(주)강원랜드,035250,2017/12,437096330,535824585,1602901764
(주)강원랜드,035250,2018/12,297320114,434851737,1436042435
(주)강원랜드,035250,2019/12,335609508,502725264,1517612252
(주)강원랜드,035250,2020/12,-278763195,-430879909,477474858
(주)강원랜드,035250,2021/12,-11910505,-52800541,787377362
(주)강원랜드,035250,2022/12,115887555,217938432,1269418094
(주)녹십자,006280,2006/12,,,
(주)녹십자,006280,2007/12,44357145,58445666,442299046
(주)녹십자,006280,2008/12,48872734,67931578,516096685
(주)녹십자,006280,2009/12,80524433,119388375,643208349
(주)녹십자,006280,2010/12,114513756,153037298,791015317
(주)녹십자,006280,2011/12,54075048,82232270,698866474
(주)녹십자,006280,2012/12,54533187,66269050,715596640
(주)녹십자,006280,2013/12,68451075,70623235,793754169
(주)녹십자,006280,2014/12,60660754,86810095,854258393
(주)녹십자,006280,2015/12,110601286,84905265,912910940
(주)녹십자,006280,2016/12,62902751,69391798,1033113771
(주)녹십자,006280,2017/12,54766059,78818223,1098478748
(주)녹십자,006280,2018/12,47932741,46310812,1141422783
(주)녹십자,006280,2019/12,11840904,41861116,1146093542
(주)녹십자,006280,2020/12,53297023,42023640,1227760622
(주)녹십자,006280,2021/12,141400531,60178108,1170305442
(주)녹십자,006280,2022/12,54307547,70305248,1244928840
(주)녹십자홀딩스,005250,2006/12,,,
(주)녹십자홀딩스,005250,2007/12,12925578,29059668,46573133
(주)녹십자홀딩스,005250,2008/12,21360397,29850305,51091654
(주)녹십자홀딩스,005250,2009/12,37606976,53437226,67842738
(주)녹십자홀딩스,005250,2010/12,14930802,21829192,32356429
(주)녹십자홀딩스,005250,2011/12,16025365,14023510,34013200
(주)녹십자홀딩스,005250,2012/12,37284191,16738221,30842528
(주)녹십자홀딩스,005250,2013/12,16195004,16808172,34467648
(주)녹십자홀딩스,005250,2014/12,19640775,18181150,36775636
(주)녹십자홀딩스,005250,2015/12,17801560,19051294,47791895
(주)녹십자홀딩스,005250,2016/12,26794034,30781807,98335182
(주)녹십자홀딩스,005250,2017/12,20576338,30964356,115366471
(주)녹십자홀딩스,005250,2018/12,19510510,35422080,140083966
(주)녹십자홀딩스,005250,2019/12,28053008,27494439,63553295
(주)녹십자홀딩스,005250,2020/12,50375737,41313292,78784539
(주)녹십자홀딩스,005250,2021/12,35663003,35601569,73934407
(주)녹십자홀딩스,005250,2022/12,16119638,26220626,66770118
(주)농심,004370,2006/12,,,
(주)농심,004370,2007/12,103385136,113824623,1510134952
(주)농심,004370,2008/12,78465442,101162064,1675847552
(주)농심,004370,2009/12,127456667,105087285,1845571543
(주)농심,004370,2010/12,138052325,155272541,1895168275
(주)농심,004370,2011/12,86173808,110123858,1970686353
(주)농심,004370,2012/12,207455,101754496,1958917740
(주)농심,004370,2013/12,92612241,92102849,1870807165
(주)농심,004370,2014/12,68061676,70932796,1801320197
(주)농심,004370,2015/12,115183233,105300063,1878665375
(주)농심,004370,2016/12,194243948,69096840,1862187459
(주)농심,004370,2017/12,80387196,76061851,1855364121
(주)농심,004370,2018/12,75665004,66943481,1857814054
(주)농심,004370,2019/12,56271705,49347259,1905694049
(주)농심,004370,2020/12,92786550,90365893,2105700159
(주)농심,004370,2021/12,71120815,62341126,2102582223
(주)농심,004370,2022/12,77166011,63302715,2395960802
(주)대우건설,047040,2006/12,,,
(주)대우건설,047040,2007/12,938029877,560916788,6066558685
(주)대우건설,047040,2008/12,247004264,343990655,6577701385
(주)대우건설,047040,2009/12,80003013,219473965,7097386791
(주)대우건설,047040,2010/12,-813601495,-987533793,6719062405
(주)대우건설,047040,2011/12,226757458,364866381,7031863672
(주)대우건설,047040,2012/12,159398692,365215794,8180269589
(주)대우건설,047040,2013/12,-743608176,-253099375,8417075007
(주)대우건설,047040,2014/12,107279926,415480372,9853092238
(주)대우건설,047040,2015/12,146232049,334561266,9877475175
(주)대우건설,047040,2016/12,-762005959,-466077989,10964615696
(주)대우건설,047040,2017/12,222793964,356929825,11332055896
(주)대우건설,047040,2018/12,247630799,569489656,10204674621
(주)대우건설,047040,2019/12,7779954,156152991,8091938554
(주)대우건설,047040,2020/12,176906546,377087261,7637255921
(주)대우건설,047040,2021/12,356917295,572905327,8085719645
(주)대우건설,047040,2022/12,254741243,433402928,9318914840
(주)대웅,003090,2006/03,,,
(주)대웅,003090,2007/03,24732359,23522044,47291832
(주)대웅,003090,2008/03,30325798,30515509,59360696
(주)대웅,003090,2009/03,15993461,1694118,89880983
(주)대웅,003090,2010/03,32338471,37019750,68111126
(주)대웅,003090,2011/12,9663166,11635369,45481287
(주)대웅,003090,2012/12,21783130,12043216,44303202
(주)대웅,003090,2013/12,9903903,10702531,43620683
