회사명,거래소코드,회계년도,당기순이익(순손실)(연결)(천원),영업이익(손실)(연결)(천원),매출액(영업수익)(*)(연결)(천원)
(주)BNK금융지주,138930,2011/12,,,
(주)BNK금융지주,138930,2012/12,,,
(주)BNK금융지주,138930,2013/12,,,
(주)BNK금융지주,138930,2014/12,,,
(주)BNK금융지주,138930,2015/12,,,
(주)BNK금융지주,138930,2016/12,,,
(주)BNK금융지주,138930,2017/12,,,
(주)BNK금융지주,138930,2018/12,,,
(주)BNK금융지주,138930,2019/12,,,
(주)BNK금융지주,138930,2020/12,,,
(주)BNK금융지주,138930,2021/12,,,
(주)BNK금융지주,138930,2022/12,,,
(주)DB하이텍,000990,2006/12,2276757,23646591,1144404300
(주)DB하이텍,000990,2007/12,-53586804,-38254428,1462818466
(주)DB하이텍,000990,2008/12,-299266983,33826453,1880810771
(주)DB하이텍,000990,2009/12,-183352446,-136195840,1236478565
(주)DB하이텍,000990,2010/12,-70971977,-279258370,700952114
(주)DB하이텍,000990,2011/12,-97946584,-35388322,552216245
(주)DB하이텍,000990,2012/12,-31341318,-15621631,590786488
(주)DB하이텍,000990,2013/12,-83046768,-9610612,493752028
(주)DB하이텍,000990,2014/12,-77008844,45560248,567718224
(주)DB하이텍,000990,2015/12,126733352,124968815,666594987
(주)DB하이텍,000990,2016/12,88344018,172427930,773140180
(주)DB하이텍,000990,2017/12,110175089,143195168,679737744
(주)DB하이텍,000990,2018/12,86828768,112993143,669279136
(주)DB하이텍,000990,2019/12,104637012,181292188,807416423
(주)DB하이텍,000990,2020/12,166025591,239335181,935919766
(주)DB하이텍,000990,2021/12,316891852,399106778,1214682040
(주)DB하이텍,000990,2022/12,558836662,768746686,1675287534
(주)JB금융지주,175330,2013/12,,,
(주)JB금융지주,175330,2014/12,,,
(주)JB금융지주,175330,2015/12,,,
(주)JB금융지주,175330,2016/12,,,
(주)JB금융지주,175330,2017/12,,,
(주)JB금융지주,175330,2018/12,,,
(주)JB금융지주,175330,2019/12,,,
(주)JB금융지주,175330,2020/12,,,
(주)JB금융지주,175330,2021/12,,,
(주)JB금융지주,175330,2022/12,,,
(주)KB금융지주,105560,2008/12,,,
(주)KB금융지주,105560,2009/12,,,
(주)KB금융지주,105560,2010/12,,,
(주)KB금융지주,105560,2011/12,,,
(주)KB금융지주,105560,2012/12,,,
(주)KB금융지주,105560,2013/12,,,
(주)KB금융지주,105560,2014/12,,,
(주)KB금융지주,105560,2015/12,,,
(주)KB금융지주,105560,2016/12,,,
(주)KB금융지주,105560,2017/12,,,
(주)KB금융지주,105560,2018/12,,,
(주)KB금융지주,105560,2019/12,,,
(주)KB금융지주,105560,2020/12,,,
(주)KB금융지주,105560,2021/12,,,
(주)KB금융지주,105560,2022/12,,,
(주)강원랜드,035250,2006/12,,,
(주)강원랜드,035250,2007/12,,,
(주)강원랜드,035250,2008/12,,,
(주)강원랜드,035250,2009/12,390000453,463657864,1206658712
(주)강원랜드,035250,2010/12,421119501,565893599,1314090565
(주)강원랜드,035250,2011/12,381175313,489646463,1265686425
(주)강원랜드,035250,2012/12,306228988,404867665,1296191223
(주)강원랜드,035250,2013/12,297596347,388041305,1361286598
(주)강원랜드,035250,2014/12,359348568,513172052,1496541441
(주)강원랜드,035250,2015/12,441629101,595400403,1633716839
(주)강원랜드,035250,2016/12,454533659,618616289,1696532511
(주)강원랜드,035250,2017/12,437540507,530897334,1604470055
(주)강원랜드,035250,2018/12,297236881,430699990,1438059299
(주)강원랜드,035250,2019/12,334653892,501153152,1520080449
(주)강원랜드,035250,2020/12,-275879104,-431583874,478578866
(주)강원랜드,035250,2021/12,-10582086,-52695286,788432830
(주)강원랜드,035250,2022/12,115612768,217565214,1270685819
(주)녹십자,006280,2006/12,34763353,54864115,405117677
(주)녹십자,006280,2007/12,,,
(주)녹십자,006280,2008/12,,,
(주)녹십자,006280,2009/12,,,
(주)녹십자,006280,2010/12,104688642,145628693,791015317
(주)녹십자,006280,2011/12,57600774,85386142,767911771
(주)녹십자,006280,2012/12,55611788,74355683,811774313
(주)녹십자,006280,2013/12,72027708,78808461,888168207
(주)녹십자,006280,2014/12,86789123,96965896,975327106
(주)녹십자,006280,2015/12,95687082,91680270,1047812247
(주)녹십자,006280,2016/12,65152451,78451576,1197903918
(주)녹십자,006280,2017/12,56711043,90297778,1287916286
(주)녹십자,006280,2018/12,34249900,50150708,1334877810
(주)녹십자,006280,2019/12,-11287400,40254540,1369709727
(주)녹십자,006280,2020/12,89270741,50252526,1504115279
(주)녹십자,006280,2021/12,136949879,73661621,1537825750
(주)녹십자,006280,2022/12,69414785,81263666,1711312740
(주)녹십자홀딩스,005250,2006/12,17835837,48783065,928417829
(주)녹십자홀딩스,005250,2007/12,41042947,69475304,1132916307
(주)녹십자홀딩스,005250,2008/12,36316890,62969194,1233147505
(주)녹십자홀딩스,005250,2009/12,75264340,131491079,1523878840
(주)녹십자홀딩스,005250,2010/12,118549436,154795038,1790987048
(주)녹십자홀딩스,005250,2011/12,57069439,105781013,817952804
(주)녹십자홀딩스,005250,2012/12,90112725,88978262,856575203
(주)녹십자홀딩스,005250,2013/12,80790983,94901863,938298393
(주)녹십자홀딩스,005250,2014/12,101469183,115192884,1044768160
(주)녹십자홀딩스,005250,2015/12,112848610,107609076,1132876997
(주)녹십자홀딩스,005250,2016/12,74263537,99255537,1354466206
(주)녹십자홀딩스,005250,2017/12,70728142,111971957,1465489007
(주)녹십자홀딩스,005250,2018/12,19378934,49332045,1548714795
(주)녹십자홀딩스,005250,2019/12,-30476552,30379583,1524799074
(주)녹십자홀딩스,005250,2020/12,179995784,70732030,1719325650
(주)녹십자홀딩스,005250,2021/12,127657537,86244224,1840558603
(주)녹십자홀딩스,005250,2022/12,58897359,71159596,2079559971
(주)농심,004370,2006/12,112900722,141391858,1671732377
(주)농심,004370,2007/12,103385136,115117833,1561684847
(주)농심,004370,2008/12,78652078,104601467,1760099644
(주)농심,004370,2009/12,127583646,114799754,2006931305
(주)농심,004370,2010/12,124293893,117393404,2069615167
(주)농심,004370,2011/12,83877581,102305653,2170883423
(주)농심,004370,2012/12,-9166417,96891951,2175710560
(주)농심,004370,2013/12,86896539,92602717,2086651379
(주)농심,004370,2014/12,64454972,73543113,2041702670
(주)농심,004370,2015/12,117412116,118287933,2181623581
(주)농심,004370,2016/12,199229661,89702884,2217015272
(주)농심,004370,2017/12,90685629,96383976,2208260640
(주)농심,004370,2018/12,84301647,88559996,2236436215
(주)농심,004370,2019/12,71068947,78816049,2343942952
(주)농심,004370,2020/12,149048288,160297492,2639795633
(주)농심,004370,2021/12,99637363,106139721,2662982988
(주)농심,004370,2022/12,116033570,112172857,3129065208
(주)대우건설,047040,2006/12,418827990,643667326,5807228759
(주)대우건설,047040,2007/12,991686927,581915884,6155423847
(주)대우건설,047040,2008/12,251267586,358005850,6591467489
(주)대우건설,047040,2009/12,104005325,239665947,7108206290
(주)대우건설,047040,2010/12,-761216275,-362240747,6780478137
(주)대우건설,047040,2011/12,173553923,328177440,7019591544
(주)대우건설,047040,2012/12,173028930,345686550,8223432761
(주)대우건설,047040,2013/12,-718036005,-244664406,8782195639
(주)대우건설,047040,2014/12,102110187,426972474,9995022699
(주)대우건설,047040,2015/12,142037371,343433751,9935734306
(주)대우건설,047040,2016/12,-754927284,-467242255,11105930098
(주)대우건설,047040,2017/12,257893627,429026367,11766840488
(주)대우건설,047040,2018/12,297330432,628733744,10605493845
(주)대우건설,047040,2019/12,201239572,364061075,8651852221
(주)대우건설,047040,2020/12,282603723,558257521,8136705737
(주)대우건설,047040,2021/12,484926502,738313485,8685207680
(주)대우건설,047040,2022/12,508010239,760006515,10419213132
(주)대웅,003090,2006/03,38448641,56276715,413135906
(주)대웅,003090,2007/03,55032900,77093081,500880459
(주)대웅,003090,2008/03,66999438,81512401,607247194
(주)대웅,003090,2009/03,47505256,30619693,695010620
(주)대웅,003090,2010/03,33573300,97710208,766644083
(주)대웅,003090,2011/12,44470947,51319479,294259306
(주)대웅,003090,2012/12,46344365,43504653,320770921
(주)대웅,003090,2013/12,74723609,97202104,843315008
