회사명,거래소코드,회계년도,영업이익증가율,순이익증가율,EPS(Earning Per Share)(원),부채비율,매출액영업이익률,PER(Price earnings ratio)(최고),PER(Price earnings ratio)(최저),PBR(Price book-value ratio)(최고),PBR(Price book-value ratio)(최저),PCR(Price cash-flow ratio)(최고),PCR(Price cash-flow ratio)(최저)
(주)DB하이텍,000990,2003/12,-21.03,-19.97,1363,173.16,5.21,,,,,,
(주)DB하이텍,000990,2004/12,116.51,213.98,4280,160.59,8.39,,,,,,
(주)DB하이텍,000990,2005/12,-63.29,-72.6,1180,180.68,2.86,,,,,,
(주)DB하이텍,000990,2006/12,-37.29,-81.32,221,166.92,1.92,,,,,,
(주)DB하이텍,000990,2007/12,0,0,-682,263.15,-1.11,0,0,1.22,0.44,0,0
(주)DB하이텍,000990,2008/12,0,0,-8646,287.47,-6.57,0,0,0.67,0.15,0,0
(주)DB하이텍,000990,2009/12,0,0,-5361,288.09,-11.31,0,0,0.81,0.2,5.02,1.24
(주)DB하이텍,000990,2010/12,0,0,-1753,217.19,-47.41,0,0,1.39,0.58,0,0
(주)DB하이텍,000990,2011/12,0,0,-2414,305.87,-6.64,0,0,3.66,1.21,13.09,4.32
(주)DB하이텍,000990,2012/12,0,0,-799,318.52,-2.47,0,0,2.49,1.35,7.23,3.92
(주)DB하이텍,000990,2013/12,0,0,-1823,431.96,-1.9,0,0,3.25,1.79,14.01,7.73
(주)DB하이텍,000990,2014/12,0,0,-1450,636.17,7.98,0,0,5.25,2.02,8.22,3.17
(주)DB하이텍,000990,2015/12,174.49,0,3131,262.19,18.66,6.74,1.47,3.53,0.77,5.71,1.25
(주)DB하이텍,000990,2016/12,38.12,-30.96,2034,176.13,22.22,10.6,5.92,2.75,1.54,3.78,2.11
(주)DB하이텍,000990,2017/12,-17.13,-15.45,1719,121.4,20.94,14.03,6.76,2.58,1.24,5.73,2.76
(주)DB하이텍,000990,2018/12,-20.7,27.8,2192,93.66,16.87,9.74,4.68,1.84,0.88,5.07,2.44
(주)DB하이텍,000990,2019/12,60.48,27.42,2790,68.82,22.44,10.6,3.67,2.12,0.73,7.99,2.76
(주)DB하이텍,000990,2020/12,32.03,36.73,3814,48.29,25.56,14.05,3.9,3.07,0.85,7.5,2.08
(주)DB하이텍,000990,2021/12,66.79,91.31,7293,39.99,32.84,11.12,6.84,3.3,2.03,9.01,5.54
(주)DB하이텍,000990,2022/12,92.65,76.24,12852,29.48,45.88,6.81,2.77,2.43,0.99,5.22,2.13
(주)HJ중공업,097230,2007/12,,,,,,,,,,,
(주)HJ중공업,097230,2008/12,0,0,1331,196.27,13.26,54.78,8.64,1.65,0.26,0,0
(주)HJ중공업,097230,2009/12,-9.69,-17.61,1086,231.29,14.28,39.7,18.84,1,0.47,0,0
(주)HJ중공업,097230,2010/12,-56.3,0,-1083,211.25,7.31,0,0,1.12,0.47,8.91,3.7
(주)HJ중공업,097230,2011/12,-80.92,0,-2409,212.4,1.66,0,0,1.13,0.38,0,0
(주)HJ중공업,097230,2012/12,-25.61,0,271,218.65,1.44,88.04,39.68,0.62,0.28,0,0
(주)HJ중공업,097230,2013/12,0,0,-3299,223.6,-5.66,0,0,0.52,0.26,0,0
(주)HJ중공업,097230,2014/12,0,0,-2771,210.45,-5.91,0,0,0.68,0.2,0,0
(주)HJ중공업,097230,2015/12,0,0,-2544,236.72,-4.79,0,0,0.55,0.26,6.86,3.27
(주)HJ중공업,097230,2016/12,0,0,-3215,333.73,2.56,0,0,0.55,0.33,6.28,3.81
(주)HJ중공업,097230,2017/12,75.76,0,-2820,487.9,4.99,0,0,0.99,0.54,1.5,0.82
(주)HJ중공업,097230,2018/12,0,0,-9087,0,-3.77,0,0,0,0,2.34,0.95
(주)HJ중공업,097230,2019/12,0,0,-1249,897.14,4.79,0,0,3.63,0.32,6.32,0.56
(주)HJ중공업,097230,2020/12,-33.7,0,919,583.21,3.01,11.15,3.91,2.68,0.94,3.38,1.18
(주)HJ중공업,097230,2021/12,0,0,-1681,450.92,-6.4,0,0,2.03,1.3,0,0
(주)HJ중공업,097230,2022/12,0,0,-603,565.7,0.36,0,0,1.84,0.7,8.4,3.22
(주)MH에탄올,023150,2003/12,63.95,228,3926,44.83,21.12,,,,,,
(주)MH에탄올,023150,2004/12,19.63,43.22,5622,44.12,22.51,,,,,,
(주)MH에탄올,023150,2005/12,-33.21,-24.66,468,44.76,13.89,,,,,,
(주)MH에탄올,023150,2006/12,-11.65,-50.07,266,64.31,11.3,,,,,,
(주)MH에탄올,023150,2007/12,64.41,86.02,496,71.65,18.07,19.13,7.83,2.01,0.82,22.49,9.21
(주)MH에탄올,023150,2008/12,-3.2,0,-923,151,16.27,0,0,1.87,0.8,5.98,2.56
(주)MH에탄올,023150,2009/12,5.92,0,188,146.41,16.98,40.34,26.84,1.19,0.79,9.04,6.02
(주)MH에탄올,023150,2010/12,-1.89,0,-173,169.15,16.86,0,0,0.96,0.43,14.7,6.59
(주)MH에탄올,023150,2011/12,-5.52,0,479,142.03,15.96,8.42,3.75,0.54,0.24,6.71,2.99
(주)MH에탄올,023150,2012/12,-5.47,-23.28,367,137.09,14.33,16.3,7.08,0.77,0.33,15.03,6.53
(주)MH에탄올,023150,2013/12,48.04,0,-1661,160.02,20.84,0,0,0.68,0.45,5.15,3.44
(주)MH에탄올,023150,2014/12,-9.36,0,640,62.36,17.86,17.89,4.54,1.78,0.45,16.12,4.09
(주)MH에탄올,023150,2015/12,26.84,67.7,1059,36.69,22.02,16.01,6.76,2.42,1.02,9.28,3.92
(주)MH에탄올,023150,2016/12,7.06,5.04,1128,13.86,24.29,7.94,5.99,1.14,0.86,5.28,3.98
(주)MH에탄올,023150,2017/12,-11.99,-27.43,824,66.06,21.65,10.39,7.36,1.06,0.75,5.7,4.04
(주)MH에탄올,023150,2018/12,-13.63,11.02,955,60.15,19.23,7.8,5.07,0.83,0.54,7.67,4.98
(주)MH에탄올,023150,2019/12,-13.29,0,-752,69.91,16.66,0,0,0.98,0.76,8.03,6.25
(주)MH에탄올,023150,2020/12,5.24,0,178,69.27,16.07,87.73,37.65,2,0.86,13.28,5.7
(주)MH에탄올,023150,2021/12,-55.39,327.07,759,70.07,8.01,29.13,11.35,2.84,1.11,70.86,27.62
(주)MH에탄올,023150,2022/12,-84.07,15.11,873,76.34,1.14,17.72,9.28,1.81,0.95,0,0
(주)SH에너지화학,002360,2003/06,5.52,0,-251,185.59,10.26,,,,,,
(주)SH에너지화학,002360,2004/06,-86.24,0,-884,205.08,1.34,,,,,,
(주)SH에너지화학,002360,2005/06,82.51,0,-712,55.39,1.96,,,,,,
(주)SH에너지화학,002360,2006/12,0,0,-178,47.81,0.53,,,,,,
(주)SH에너지화학,002360,2007/12,305.27,0,256,48.74,2,44.37,16.49,1.91,0.71,89.72,33.35
(주)SH에너지화학,002360,2008/12,-62.3,0,-104,44.62,0.73,0,0,15.04,0.56,155.52,5.78
(주)SH에너지화학,002360,2009/12,483.14,0,41,42.64,4.34,21.02,8.78,1.37,0.57,18.83,7.87
(주)SH에너지화학,002360,2010/12,-42.2,0,-34,42.68,2.28,0,0,1.09,0.65,162.47,97.75
(주)SH에너지화학,002360,2011/12,28.19,0,29,58.74,2.54,14.66,8.42,0.73,0.42,6.63,3.81
(주)SH에너지화학,002360,2012/12,-34.6,-65.88,10,57.95,1.5,162.25,31.83,2.74,0.54,481.86,94.54
(주)SH에너지화학,002360,2013/12,150.58,348.43,44,57.61,3.13,32.02,16.07,2.32,1.16,20.67,10.37
(주)SH에너지화학,002360,2014/12,181.47,221.57,140,30.81,8.93,15.13,5.05,3.07,1.02,9.73,3.25
(주)SH에너지화학,002360,2015/12,12.95,-18.82,114,25.69,10.71,22.07,10.6,3.3,1.59,11.36,5.45
(주)SH에너지화학,002360,2016/12,3.06,39.04,159,19.28,11.01,13.72,7.21,2.52,1.32,20.82,10.94
(주)SH에너지화학,002360,2017/12,-44.11,-49.33,80,16.59,7.14,22.84,16.66,2.03,1.48,12.48,9.11
(주)SH에너지화학,002360,2018/12,-78.68,-68.93,25,16.17,1.56,74.92,32.62,2.06,0.9,48.38,21.06
(주)SH에너지화학,002360,2019/12,0,0,-28.5,24.38,-1.71,0,0,1.75,1.02,11.61,6.75
(주)SH에너지화학,002360,2020/12,0,0,-65.4,29.79,-7.78,0,0,2.17,0.62,51.03,14.66
(주)SH에너지화학,002360,2021/12,0,0,6.9,29.78,0.52,213.18,122.6,1.79,1.03,0,0
(주)SH에너지화학,002360,2022/12,-23.94,63.47,11.2,33.11,0.34,160.64,74.09,2.17,1,0,0
(주)SIMPAC,009160,2003/12,62.98,3120.36,1366,159.28,7.09,,,,,,
(주)SIMPAC,009160,2004/12,4.82,53.37,218,121.51,6.88,,,,,,
(주)SIMPAC,009160,2005/12,25.16,39.36,343,118.94,8.01,,,,,,
(주)SIMPAC,009160,2006/12,66.02,14.36,371,97.48,11.16,,,,,,
(주)SIMPAC,009160,2007/12,-2.07,41.49,519,82.7,10.57,8.97,3.6,1.64,0.66,9.37,3.76
(주)SIMPAC,009160,2008/12,-23.8,108.08,1024,79.16,6.77,7.19,1.53,2.03,0.43,37.16,7.91
(주)SIMPAC,009160,2009/12,31.92,-46.32,555,69.88,9.6,7.99,4.54,1.07,0.61,8.5,4.83
(주)SIMPAC,009160,2010/12,98.09,46.95,761,90.06,12.9,7.5,3.77,1.19,0.6,6.51,3.27
(주)SIMPAC,009160,2011/12,24.07,5.34,785,90.56,13.52,11.05,5.59,1.54,0.78,12.88,6.52
(주)SIMPAC,009160,2012/12,-12.46,6.23,833,72.84,11.31,10.55,5.98,1.37,0.77,18.3,10.37
(주)SIMPAC,009160,2013/12,-6.2,-14.75,711,76.77,11.61,11.59,7.92,1.14,0.78,19,12.99
(주)SIMPAC,009160,2014/12,-21.08,-46.77,378,61.51,8.24,21.72,14.17,1.11,0.72,7.64,4.98
(주)SIMPAC,009160,2015/12,26.12,90.33,719,67.82,11.09,11.96,6.98,1.08,0.63,22.18,12.95
(주)SIMPAC,009160,2016/12,-9.41,-15.45,613,59.96,9.92,10.51,7.61,0.77,0.56,5.67,4.1
(주)SIMPAC,009160,2017/12,-34.73,-56.62,282,53.28,6.88,21.2,16.19,0.68,0.52,0,0
(주)SIMPAC,009160,2018/12,-48.35,774.43,1513,52.83,2.68,2.44,0.93,0.38,0.14,4.19,1.6
(주)SIMPAC,009160,2019/12,16.94,-81.55,190,45.2,2.15,23.11,13.08,0.64,0.36,5.89,3.33
(주)SIMPAC,009160,2020/12,-18.28,128.57,452,51.22,2.53,7.45,4.14,0.46,0.25,451.62,251.07
(주)SIMPAC,009160,2021/12,1062.71,148.33,1165,62.24,16.33,9.89,2.45,1.36,0.34,14.08,3.49
(주)SIMPAC,009160,2022/12,8.59,-27.24,862,51.63,17.26,12.87,6.07,1.21,0.57,26.7,12.6
(주)SNT에너지,100840,2008/12,,,,,,,,,,,
(주)SNT에너지,100840,2009/12,0,0,5273,72.09,24.09,7.7,2.42,1.64,0.51,7.9,2.48
(주)SNT에너지,100840,2010/12,-81.95,-92.16,420,51.48,3.72,104.32,41.62,1.82,0.72,0,0
(주)SNT에너지,100840,2011/12,0,0,-648,72.18,-3.44,0,0,0.99,0.54,0,0
(주)SNT에너지,100840,2012/12,0,0,1298,59.73,6.56,19.06,11.03,0.97,0.56,6.5,3.76
(주)SNT에너지,100840,2013/12,11.05,78.15,2285,57.28,8.37,9.04,6.39,0.76,0.54,7.27,5.14
(주)SNT에너지,100840,2014/12,-18.01,-30.42,1590,46.6,5.68,11.57,9.28,0.65,0.52,0,0
(주)SNT에너지,100840,2015/12,146.18,139.96,3815,36.64,13.04,8.58,3.96,1.03,0.48,105.23,48.52
(주)SNT에너지,100840,2016/12,-96.48,-93.86,234,51.45,0.47,126.99,71.71,0.93,0.52,6.02,3.4
(주)SNT에너지,100840,2017/12,1506.66,176.05,647,28.42,10.43,32.32,20.87,0.64,0.41,0,0
(주)SNT에너지,100840,2018/12,0,-60.16,257,21.5,-1.36,68.56,41.57,0.55,0.33,8.67,5.26
(주)SNT에너지,100840,2019/12,0,698.64,2027,34.96,7.24,10.43,5.41,0.64,0.33,0,0
(주)SNT에너지,100840,2020/12,54.72,-35.47,1360,40.37,9.88,15.88,8.18,0.64,0.33,2.25,1.16
(주)SNT에너지,100840,2021/12,-39.64,37.53,2025,31.22,8.29,16.42,8.76,0.88,0.47,7.6,4.05
(주)SNT에너지,100840,2022/12,-83.32,-49.67,988,56.02,1.25,31.13,16.14,0.84,0.44,10.48,5.43
(주)SNT홀딩스,036530,2003/12,-72.98,-23.35,2142,39.54,13.89,,,,,,
(주)SNT홀딩스,036530,2004/12,17.42,2.37,2193,42.66,12.92,,,,,,
(주)SNT홀딩스,036530,2005/12,8.75,8.45,2378,38.41,10.44,,,,,,
(주)SNT홀딩스,036530,2006/12,33.29,20.5,2866,38.07,10.02,,,,,,
