회사명,거래소코드,회계년도,정상영업이익증가율(IFRS),순이익증가율(IFRS),1주당순이익(IFRS)(원),부채비율(IFRS),매출액정상영업이익률(IFRS)
(주)DB하이텍,000990,2003/12,,,,,
(주)DB하이텍,000990,2004/12,,,,,
(주)DB하이텍,000990,2005/12,,,,,
(주)DB하이텍,000990,2006/12,,,,,
(주)DB하이텍,000990,2007/12,0,0,-682,263.15,-1.11
(주)DB하이텍,000990,2008/12,0,0,-8646,287.47,-6.57
(주)DB하이텍,000990,2009/12,0,0,-5361,288.09,-11.31
(주)DB하이텍,000990,2010/12,0,0,-5435,261.8,-61.14
(주)DB하이텍,000990,2011/12,0,0,-2414,305.87,-7.48
(주)DB하이텍,000990,2012/12,0,0,-799,318.52,-2.47
(주)DB하이텍,000990,2013/12,0,0,-1823,431.96,-1.9
(주)DB하이텍,000990,2014/12,0,0,-1450,636.17,7.98
(주)DB하이텍,000990,2015/12,174.49,0,3131,262.19,18.66
(주)DB하이텍,000990,2016/12,38.12,-30.96,2034,176.13,22.22
(주)DB하이텍,000990,2017/12,-17.13,-15.45,1719,121.4,20.94
(주)DB하이텍,000990,2018/12,-20.7,27.8,2192,93.66,16.87
(주)DB하이텍,000990,2019/12,60.48,27.42,2790,68.82,22.44
(주)DB하이텍,000990,2020/12,32.03,36.73,3814,48.29,25.56
(주)DB하이텍,000990,2021/12,66.79,91.31,7293,39.99,32.84
(주)DB하이텍,000990,2022/12,92.65,76.24,12852,29.48,45.88
(주)HJ중공업,097230,2007/12,,,,,
(주)HJ중공업,097230,2008/12,0,0,1331,196.27,13.26
(주)HJ중공업,097230,2009/12,-9.69,-17.61,1086,231.29,14.28
(주)HJ중공업,097230,2010/12,-77.89,0,-824,215.95,3.73
(주)HJ중공업,097230,2011/12,-41.65,0,-2409,212.4,2.57
(주)HJ중공업,097230,2012/12,-51.91,0,271,218.65,1.44
(주)HJ중공업,097230,2013/12,0,0,-3299,223.6,-5.66
(주)HJ중공업,097230,2014/12,0,0,-2771,210.45,-5.91
(주)HJ중공업,097230,2015/12,0,0,-2544,236.72,-4.79
(주)HJ중공업,097230,2016/12,0,0,-3215,333.73,2.56
(주)HJ중공업,097230,2017/12,75.76,0,-2820,487.9,4.99
(주)HJ중공업,097230,2018/12,0,0,-9087,0,-3.77
(주)HJ중공업,097230,2019/12,0,0,-1249,897.14,4.79
(주)HJ중공업,097230,2020/12,-33.7,0,919,583.21,3.01
(주)HJ중공업,097230,2021/12,0,0,-1681,450.92,-6.4
(주)HJ중공업,097230,2022/12,0,0,-603,565.7,0.36
(주)MH에탄올,023150,2003/12,,,,,
(주)MH에탄올,023150,2004/12,,,,,
(주)MH에탄올,023150,2005/12,,,,,
(주)MH에탄올,023150,2006/12,,,,,
(주)MH에탄올,023150,2007/12,0,0,496,71.65,18.07
(주)MH에탄올,023150,2008/12,-3.2,0,-923,151,16.27
(주)MH에탄올,023150,2009/12,5.92,0,188,146.41,16.98
(주)MH에탄올,023150,2010/12,23.78,247.91,655,140.84,21.27
(주)MH에탄올,023150,2011/12,-24.99,-26.85,479,142.03,15.99
(주)MH에탄올,023150,2012/12,-5.64,-23.28,367,137.09,14.33
(주)MH에탄올,023150,2013/12,48.04,0,-1661,160.02,20.84
(주)MH에탄올,023150,2014/12,-9.36,0,640,62.36,17.86
(주)MH에탄올,023150,2015/12,26.84,67.7,1059,36.69,22.02
(주)MH에탄올,023150,2016/12,7.06,5.04,1128,13.86,24.29
(주)MH에탄올,023150,2017/12,-11.99,-27.43,824,66.06,21.65
(주)MH에탄올,023150,2018/12,-13.63,11.02,955,60.15,19.23
(주)MH에탄올,023150,2019/12,-13.29,0,-752,69.91,16.66
(주)MH에탄올,023150,2020/12,5.24,0,178,69.27,16.07
(주)MH에탄올,023150,2021/12,-55.39,327.07,759,70.07,8.01
(주)MH에탄올,023150,2022/12,-84.07,15.11,873,76.34,1.14
(주)SH에너지화학,002360,2003/06,,,,,
(주)SH에너지화학,002360,2004/06,,,,,
(주)SH에너지화학,002360,2005/06,,,,,
(주)SH에너지화학,002360,2006/12,,,,,
(주)SH에너지화학,002360,2007/12,0,0,256,48.74,2
(주)SH에너지화학,002360,2008/12,-62.3,0,-104,44.62,0.73
(주)SH에너지화학,002360,2009/12,483.14,0,41,42.64,4.34
(주)SH에너지화학,002360,2010/12,0,0,-59.1,53.52,-4.92
(주)SH에너지화학,002360,2011/12,0,0,28.5,58.74,2.89
(주)SH에너지화학,002360,2012/12,-42.37,-65.88,9.7,57.95,1.5
(주)SH에너지화학,002360,2013/12,150.58,348.43,44,57.61,3.13
(주)SH에너지화학,002360,2014/12,181.47,221.57,140,30.81,8.93
(주)SH에너지화학,002360,2015/12,12.95,-18.82,114,25.69,10.71
(주)SH에너지화학,002360,2016/12,3.06,39.04,158.5,19.28,11.01
(주)SH에너지화학,002360,2017/12,-44.11,-49.33,80.3,16.59,7.14
(주)SH에너지화학,002360,2018/12,-78.68,-68.93,25,16.17,1.56
(주)SH에너지화학,002360,2019/12,0,0,-28.5,24.38,-1.71
(주)SH에너지화학,002360,2020/12,0,0,-65.4,29.79,-7.78
(주)SH에너지화학,002360,2021/12,0,0,6.9,29.78,0.52
(주)SH에너지화학,002360,2022/12,-23.94,63.47,11.2,33.11,0.34
(주)SIMPAC,009160,2003/12,,,,,
(주)SIMPAC,009160,2004/12,,,,,
(주)SIMPAC,009160,2005/12,,,,,
(주)SIMPAC,009160,2006/12,,,,,
(주)SIMPAC,009160,2007/12,0,0,519,82.7,10.57
(주)SIMPAC,009160,2008/12,-23.8,108.08,1024,79.16,6.77
(주)SIMPAC,009160,2009/12,31.92,-46.32,555,69.88,9.6
(주)SIMPAC,009160,2010/12,86.29,8.71,557,91.14,12.13
(주)SIMPAC,009160,2011/12,24.95,42.4,785,90.56,12.8
(주)SIMPAC,009160,2012/12,-7.57,6.23,833,72.84,11.31
(주)SIMPAC,009160,2013/12,-6.2,-14.75,711,76.77,11.61
(주)SIMPAC,009160,2014/12,-21.08,-46.77,378,61.51,8.24
(주)SIMPAC,009160,2015/12,26.12,90.33,719,67.82,11.09
(주)SIMPAC,009160,2016/12,-9.41,-15.45,613,59.96,9.92
(주)SIMPAC,009160,2017/12,-34.73,-56.62,282,53.28,6.88
(주)SIMPAC,009160,2018/12,-48.35,774.43,1513,52.83,2.68
(주)SIMPAC,009160,2019/12,16.94,-81.55,190,45.2,2.15
(주)SIMPAC,009160,2020/12,-18.28,128.57,452,51.22,2.53
(주)SIMPAC,009160,2021/12,1062.71,148.33,1165,62.24,16.33
(주)SIMPAC,009160,2022/12,8.59,-27.24,862,51.63,17.26
(주)SNT에너지,100840,2008/12,,,,,
(주)SNT에너지,100840,2009/12,0,0,5273,72.09,24.09
(주)SNT에너지,100840,2010/12,-90.64,-90.96,485,51.69,1.93
(주)SNT에너지,100840,2011/12,0,0,-648,72.18,-3.38
(주)SNT에너지,100840,2012/12,0,0,1298,59.73,6.56
(주)SNT에너지,100840,2013/12,11.05,78.15,2285,57.28,8.37
(주)SNT에너지,100840,2014/12,-18.01,-30.42,1590,46.6,5.68
(주)SNT에너지,100840,2015/12,146.18,139.96,3815,36.64,13.04
(주)SNT에너지,100840,2016/12,-96.48,-93.86,234,51.45,0.47
(주)SNT에너지,100840,2017/12,1506.66,176.05,647,28.42,10.43
(주)SNT에너지,100840,2018/12,0,-60.16,257,21.5,-1.36
(주)SNT에너지,100840,2019/12,0,698.64,2027,34.96,7.24
(주)SNT에너지,100840,2020/12,54.72,-35.47,1360,40.37,9.88
(주)SNT에너지,100840,2021/12,-39.64,37.53,2025,31.22,8.29
(주)SNT에너지,100840,2022/12,-83.32,-49.67,988,56.02,1.25
(주)SNT홀딩스,036530,2003/12,,,,,
(주)SNT홀딩스,036530,2004/12,,,,,
(주)SNT홀딩스,036530,2005/12,,,,,
(주)SNT홀딩스,036530,2006/12,,,,,
(주)SNT홀딩스,036530,2007/12,0,0,1705,33.34,11.06
(주)SNT홀딩스,036530,2008/12,-15.8,20.13,2000,9.59,44.29
(주)SNT홀딩스,036530,2009/12,47.1,-18.98,1117,10.12,67.9
(주)SNT홀딩스,036530,2010/12,-99.15,-72.09,312,0.16,8.89
(주)SNT홀딩스,036530,2011/12,0,20.71,385,0.07,-187.79
(주)SNT홀딩스,036530,2012/12,0,56.27,619,0.09,76.8
(주)SNT홀딩스,036530,2013/12,3.4,-11.02,543,0.12,78.44
(주)SNT홀딩스,036530,2014/12,-13.83,-14.05,462,0.1,77.46
(주)SNT홀딩스,036530,2015/12,12.63,302.89,1811,2.05,79.29
(주)SNT홀딩스,036530,2016/12,19.05,-75.07,438,0.07,81.48
(주)SNT홀딩스,036530,2017/12,-32.48,-39.73,264,0.07,72.82
(주)SNT홀딩스,036530,2018/12,-0.18,49.03,386,0.05,73.94
(주)SNT홀딩스,036530,2019/12,66.76,48.67,602,0.06,81.62
(주)SNT홀딩스,036530,2020/12,155.5,148.28,1543,0.07,90.77
(주)SNT홀딩스,036530,2021/12,-28.17,-27.93,1141,0.16,87.32
(주)SNT홀딩스,036530,2022/12,13.57,15.03,1316,0.2,88.5
(주)STX,011810,2003/12,,,,,
(주)STX,011810,2004/12,,,,,
(주)STX,011810,2005/12,,,,,
(주)STX,011810,2006/12,,,,,
(주)STX,011810,2007/12,0,0,2456,210.37,10.76
(주)STX,011810,2008/12,-45.49,-71.97,648,134.54,3.04
(주)STX,011810,2009/12,0,0,-4312,198.73,-4.29
(주)STX,011810,2010/12,0,0,182,202.02,2.27
(주)STX,011810,2011/12,-14.85,843.67,1557,183.54,1.48
(주)STX,011810,2012/12,-71.26,0,-408,187.21,0.43
(주)STX,011810,2013/12,0,0,-27673,0,-3.55
(주)STX,011810,2014/12,0,0,13720,1850,1.81
(주)STX,011810,2015/12,0,0,-1791,1362.39,-1.2
(주)STX,011810,2016/12,0,0,-14556,0,-7.22
(주)STX,011810,2017/12,0,0,21097,1063.93,1.89
(주)STX,011810,2018/12,0,-98.51,260,618.11,-0.52
(주)STX,011810,2019/12,0,0,-1884,814.2,-1.11
(주)STX,011810,2020/12,0,0,-841,1303.36,-0.94
(주)STX,011810,2021/12,0,0,-733,547.76,1.19
(주)STX,011810,2022/12,-74.42,0,-541,784.41,0.22
(주)TCC스틸,002710,2003/12,,,,,
(주)TCC스틸,002710,2004/12,,,,,
(주)TCC스틸,002710,2005/12,,,,,
(주)TCC스틸,002710,2006/12,,,,,
(주)TCC스틸,002710,2007/12,0,0,457,101.46,2.86
(주)TCC스틸,002710,2008/12,579.55,-42.26,249,106.44,12.75
(주)TCC스틸,002710,2009/12,-69.69,1926.8,935,75.47,4.6
(주)TCC스틸,002710,2010/12,24.13,13.93,963,80.33,4.75
(주)TCC스틸,002710,2011/12,-35.7,-50.1,468,98.3,2.75
(주)TCC스틸,002710,2012/12,-7.16,-38.4,269,109.12,2.65
(주)TCC스틸,002710,2013/12,-28.5,-90.69,24,111.44,1.99
(주)TCC스틸,002710,2014/12,30.19,161.02,58,119.57,2.71
(주)TCC스틸,002710,2015/12,34.06,0,-6539,331.91,4.16
(주)TCC스틸,002710,2016/12,-8.78,0,737,170.86,4.19
(주)TCC스틸,002710,2017/12,-49.14,0,-111,177.7,2.03
(주)TCC스틸,002710,2018/12,141.22,0,360,172.63,4.64
(주)TCC스틸,002710,2019/12,-22.38,-73.61,94,177.19,3.73
(주)TCC스틸,002710,2020/12,-80.93,0,-143,165.86,0.75
(주)TCC스틸,002710,2021/12,859.31,0,1248,142.17,5.68
(주)TCC스틸,002710,2022/12,85.29,-19.89,979,149.87,8.14
(주)강원랜드,035250,2003/12,,,,,
(주)강원랜드,035250,2004/12,,,,,
(주)강원랜드,035250,2005/12,,,,,
(주)강원랜드,035250,2006/12,,,,,
(주)강원랜드,035250,2007/12,0,0,1383,28.85,39.21
(주)강원랜드,035250,2008/12,12.58,5.63,1472,27.28,40.96
(주)강원랜드,035250,2009/12,-1.22,26.11,1902,26.29,38.54
(주)강원랜드,035250,2010/12,21.29,11.4,2128,24.12,42.95
(주)강원랜드,035250,2011/12,-11.17,-9.45,1935,19.84,39.65
(주)강원랜드,035250,2012/12,-16.82,-24.63,1461,22.33,32.24
(주)강원랜드,035250,2013/12,-4.37,-1.14,1446,23.04,29.37
(주)강원랜드,035250,2014/12,32.05,24.11,1795,24.46,35.27
(주)강원랜드,035250,2015/12,14.74,18.32,2123,23.04,37.03
(주)강원랜드,035250,2016/12,3.48,5.7,2244,22.23,36.88
(주)강원랜드,035250,2017/12,-14.25,-3.93,2156,19.47,33.43
(주)강원랜드,035250,2018/12,-18.84,-31.98,1467,17.93,30.28
(주)강원랜드,035250,2019/12,15.61,12.88,1655,19.31,33.13
(주)강원랜드,035250,2020/12,0,0,-1375,12.06,-90.24
(주)강원랜드,035250,2021/12,0,0,-59,17.49,-6.71
(주)강원랜드,035250,2022/12,0,0,572,21.86,17.17
(주)갤럭시아에스엠,011420,2003/12,,,,,
(주)갤럭시아에스엠,011420,2004/12,,,,,
(주)갤럭시아에스엠,011420,2005/12,,,,,
(주)갤럭시아에스엠,011420,2006/12,,,,,
(주)갤럭시아에스엠,011420,2007/12,0,0,226,434.08,14.02
