회사명,거래소코드,회계년도,정상영업이익증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),부채비율(IFRS연결),매출액정상영업이익률(IFRS연결),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS)
(주)DB하이텍,000990,2003/12,,,,,,,,,,,
(주)DB하이텍,000990,2004/12,,,,,,,,,,,
(주)DB하이텍,000990,2005/12,,,,,,,,,,,
(주)DB하이텍,000990,2006/12,,,,,,,,,,,
(주)DB하이텍,000990,2007/12,0,0,-1151,319.3,-2.62,0,0,1.11,0.39,0,0
(주)DB하이텍,000990,2008/12,0,0,-8904,342.61,1.8,0,0,0.57,0.13,0,0
(주)DB하이텍,000990,2009/12,0,0,-5481,348.79,-11.01,0,0,0.81,0.2,5.02,1.24
(주)DB하이텍,000990,2010/12,0,0,-5072,247.03,-61.04,0,0,1.71,0.72,9.28,3.88
(주)DB하이텍,000990,2011/12,0,0,-2541,289.22,-7.81,0,0,3.66,1.21,13.09,4.32
(주)DB하이텍,000990,2012/12,0,0,-780,298,-2.64,0,0,2.49,1.35,7.23,3.92
(주)DB하이텍,000990,2013/12,0,0,-2066,416.9,-1.95,0,0,3.25,1.79,14.01,7.73
(주)DB하이텍,000990,2014/12,0,0,-1915,715.95,8.03,0,0,5.25,2.02,8.22,3.17
(주)DB하이텍,000990,2015/12,174.29,0,3112,287.57,18.75,6.74,1.47,3.53,0.77,5.71,1.25
(주)DB하이텍,000990,2016/12,37.98,-30.29,2042,188.6,22.3,10.6,5.92,2.75,1.54,3.78,2.11
(주)DB하이텍,000990,2017/12,-16.95,24.71,2546,118.07,21.07,14.03,6.76,2.58,1.24,5.73,2.76
(주)DB하이텍,000990,2018/12,-21.09,-21.19,2002,91,16.88,9.74,4.68,1.84,0.88,5.07,2.44
(주)DB하이텍,000990,2019/12,60.45,20.51,2410,68.91,22.45,10.6,3.67,2.12,0.73,7.99,2.76
(주)DB하이텍,000990,2020/12,32.02,58.67,3822,48.33,25.57,14.05,3.9,3.07,0.85,7.5,2.08
(주)DB하이텍,000990,2021/12,66.76,90.87,7292,40.13,32.86,11.12,6.84,3.3,2.03,9.01,5.54
(주)DB하이텍,000990,2022/12,92.62,76.35,12858,29.57,45.89,6.81,2.77,2.43,0.99,5.22,2.13
(주)HJ중공업,097230,2007/12,,,,,,,,,,,
(주)HJ중공업,097230,2008/12,0,0,1331,282.03,10.75,54.78,8.64,1.65,0.26,0,0
(주)HJ중공업,097230,2009/12,6.7,-18.02,1081,292.8,10.61,39.7,18.84,1,0.47,0,0
(주)HJ중공업,097230,2010/12,-69.33,0,-1512,284.77,3.78,0,0,1.19,0.49,9.47,3.92
(주)HJ중공업,097230,2011/12,-9.82,0,-2007,276.93,3.73,0,0,1.13,0.38,0,0
(주)HJ중공업,097230,2012/12,-50.99,0,-1095,283.85,2.08,88.04,39.68,0.62,0.28,0,0
(주)HJ중공업,097230,2013/12,0,0,-2931,307.77,-2.75,0,0,0.52,0.26,0,0
(주)HJ중공업,097230,2014/12,0,0,-3674,311.31,-5.75,0,0,0.68,0.2,0,0
(주)HJ중공업,097230,2015/12,0,0,-2551,332.17,-2.55,0,0,0.55,0.26,6.86,3.27
(주)HJ중공업,097230,2016/12,0,0,-3216,487.19,-2.82,0,0,0.55,0.33,6.28,3.81
(주)HJ중공업,097230,2017/12,0,0,-2622,628.81,-4.76,0,0,0.99,0.54,1.5,0.82
(주)HJ중공업,097230,2018/12,0,0,0,0,3.63,0,0,0,0,2.34,0.95
(주)HJ중공업,097230,2019/12,35.93,0,5185,908.28,5.15,0,0,3.63,0.32,6.32,0.56
(주)HJ중공업,097230,2020/12,-38.42,-74.39,940,585.57,3.04,11.15,3.91,2.68,0.94,3.38,1.18
(주)HJ중공업,097230,2021/12,0,0,-1679,452.13,-6.39,0,0,2.03,1.3,0,0
(주)HJ중공업,097230,2022/12,0,0,-602,566.95,0.37,0,0,1.84,0.7,8.4,3.22
(주)MH에탄올,023150,2003/12,,,,,,,,,,,
(주)MH에탄올,023150,2004/12,,,,,,,,,,,
(주)MH에탄올,023150,2005/12,,,,,,,,,,,
(주)MH에탄올,023150,2006/12,,,,,,,,,,,
(주)MH에탄올,023150,2007/12,,,,,,19.13,7.83,2.01,0.82,22.49,9.21
(주)MH에탄올,023150,2008/12,0,0,-923,226.64,-3.44,0,0,1.8,0.77,5.98,2.56
(주)MH에탄올,023150,2009/12,0,0,188,191.56,7.63,40.34,26.84,1.18,0.79,9.04,6.02
(주)MH에탄올,023150,2010/12,-29.87,0,-225,189.26,6.26,8.86,3.97,0.77,0.34,6.82,3.06
(주)MH에탄올,023150,2011/12,-82.51,0,-611,214.54,1.35,8.42,3.75,0.5,0.22,6.71,2.99
(주)MH에탄올,023150,2012/12,803.71,0,59,238.69,9.12,16.3,7.08,0.71,0.31,15.03,6.53
(주)MH에탄올,023150,2013/12,-44.79,1640.29,1022,182.66,4.84,0,0,0.62,0.41,5.15,3.44
(주)MH에탄올,023150,2014/12,190.55,0,-26,62.03,17.85,17.89,4.54,1.63,0.41,16.12,4.09
(주)MH에탄올,023150,2015/12,26.84,0,1063,36.47,22.01,16.01,6.76,2.24,0.95,9.28,3.92
(주)MH에탄올,023150,2016/12,7.05,4.71,1129,13.77,24.28,7.94,5.99,1.06,0.8,5.28,3.98
(주)MH에탄올,023150,2017/12,-31.65,-17.16,942,368.17,15.62,10.39,7.36,0.99,0.7,5.7,4.04
(주)MH에탄올,023150,2018/12,-84.87,-108.83,-87,380.62,1.69,7.8,5.07,0.78,0.51,7.67,4.98
(주)MH에탄올,023150,2019/12,537.44,0,-79,468.69,9.68,0,0,0.91,0.71,8.03,6.25
(주)MH에탄올,023150,2020/12,101.58,0,1049,459.13,16.67,87.73,37.65,1.85,0.79,13.28,5.7
(주)MH에탄올,023150,2021/12,47.86,-13.4,908,432.99,22.86,29.13,11.35,2.62,1.02,70.86,27.62
(주)MH에탄올,023150,2022/12,-6.04,-15.66,766,369.03,19.8,17.72,9.28,1.68,0.88,0,0
(주)SH에너지화학,002360,2003/06,,,,,,,,,,,
(주)SH에너지화학,002360,2004/06,,,,,,,,,,,
(주)SH에너지화학,002360,2005/06,,,,,,,,,,,
(주)SH에너지화학,002360,2006/12,,,,,,,,,,,
(주)SH에너지화학,002360,2007/12,0,0,256,87.68,1.46,44.81,16.66,1.93,0.72,90.62,33.68
(주)SH에너지화학,002360,2008/12,0,0,-104,81.23,-5.69,0,0,15.04,0.56,155.52,5.78
(주)SH에너지화학,002360,2009/12,0,0,41,43.21,4.21,21.02,8.78,1.37,0.57,18.83,7.87
(주)SH에너지화학,002360,2010/12,0,0,-58.6,55.41,-4.51,0,0,1.13,0.68,112.84,67.89
(주)SH에너지화학,002360,2011/12,0,0,18.6,60.5,2.41,14.66,8.42,0.73,0.42,6.63,3.81
(주)SH에너지화학,002360,2012/12,-47.6,-81.28,3.5,59.82,1.13,162.25,31.83,2.74,0.54,481.86,94.54
(주)SH에너지화학,002360,2013/12,194.26,1146.78,43.5,58.75,2.77,32.02,16.07,2.32,1.16,20.67,10.37
(주)SH에너지화학,002360,2014/12,231.12,238.32,147.2,31.46,9.21,15.13,5.05,3.07,1.02,9.73,3.25
(주)SH에너지화학,002360,2015/12,7.89,-22.92,113.4,26.05,10.6,22.07,10.6,3.3,1.59,11.36,5.45
(주)SH에너지화학,002360,2016/12,5.02,42.44,161.6,19.6,11.04,13.72,7.21,2.52,1.32,20.82,10.94
(주)SH에너지화학,002360,2017/12,-41.16,-46.61,86.3,16.36,7.54,22.84,16.66,2.03,1.48,12.48,9.11
(주)SH에너지화학,002360,2018/12,-85.19,-75.89,20.8,16.17,1.14,74.92,32.62,2.06,0.9,48.38,21.06
(주)SH에너지화학,002360,2019/12,-249.05,-223.7,-25.8,24.66,-2.22,0,0,1.75,1.02,11.61,6.75
(주)SH에너지화학,002360,2020/12,0,0,-61.9,30.38,-8.39,0,0,2.17,0.62,51.03,14.66
(주)SH에너지화학,002360,2021/12,0,0,5.7,30.4,0.25,213.18,122.6,1.79,1.03,0,0
(주)SH에너지화학,002360,2022/12,134.88,196.29,16.8,31.94,0.48,160.64,74.09,2.17,1,0,0
(주)SIMPAC,009160,2003/12,,,,,,,,,,,
(주)SIMPAC,009160,2004/12,,,,,,,,,,,
(주)SIMPAC,009160,2005/12,,,,,,,,,,,
(주)SIMPAC,009160,2006/12,,,,,,,,,,,
(주)SIMPAC,009160,2007/12,,,,,,9.42,3.78,1.72,0.69,9.84,3.94
(주)SIMPAC,009160,2008/12,,,,,,7.19,1.53,2.03,0.43,37.16,7.91
(주)SIMPAC,009160,2009/12,0,0,555,69.88,9.55,7.99,4.54,1.07,0.61,8.5,4.83
(주)SIMPAC,009160,2010/12,83.91,49.82,768,85.41,11.85,10.14,5.1,1.14,0.57,6.43,3.23
(주)SIMPAC,009160,2011/12,26.96,21.75,925,84.02,12.7,11.05,5.59,1.54,0.78,12.88,6.52
(주)SIMPAC,009160,2012/12,-7.88,-22.78,714,69.63,11.18,10.55,5.98,1.37,0.77,18.3,10.37
(주)SIMPAC,009160,2013/12,-6.32,3.93,742,73.34,11.47,11.59,7.92,1.14,0.78,19,12.99
(주)SIMPAC,009160,2014/12,-26.52,-28.56,530,74.3,6.59,21.72,14.17,1.11,0.72,7.64,4.98
(주)SIMPAC,009160,2015/12,22.48,14.79,608,82.25,7.88,11.96,6.98,1.08,0.63,22.18,12.95
(주)SIMPAC,009160,2016/12,10.95,-1.54,603,73.81,8.82,10.51,7.61,0.77,0.56,5.67,4.1
(주)SIMPAC,009160,2017/12,-50.36,-20.32,509,58.27,5.07,21.2,16.19,0.68,0.52,0,0
(주)SIMPAC,009160,2018/12,-12.89,436.6,1678,56.71,3.33,2.44,0.93,0.38,0.14,4.19,1.6
(주)SIMPAC,009160,2019/12,9.33,-86.29,157,53.93,2.59,23.11,13.08,0.64,0.36,5.89,3.33
(주)SIMPAC,009160,2020/12,-30.1,259.84,586,58.9,2.13,7.45,4.14,0.46,0.25,451.62,251.07
(주)SIMPAC,009160,2021/12,1266.33,166.06,1621,65.23,17.36,9.89,2.45,1.36,0.34,14.08,3.49
(주)SIMPAC,009160,2022/12,11.79,-16.18,1381,60.93,17.69,12.87,6.07,1.21,0.57,26.7,12.6
(주)SNT에너지,100840,2008/12,,,,,,,,,,,
(주)SNT에너지,100840,2009/12,,,,,,7.7,2.42,1.64,0.51,7.9,2.48
(주)SNT에너지,100840,2010/12,,,,,,90.41,36.08,1.81,0.72,0,0
(주)SNT에너지,100840,2011/12,,,,,,0,0,0.99,0.54,0,0
(주)SNT에너지,100840,2012/12,,,,,,19.06,11.03,0.97,0.56,6.5,3.76
(주)SNT에너지,100840,2013/12,,,,,,9.04,6.39,0.76,0.54,7.27,5.14
(주)SNT에너지,100840,2014/12,,,,,,11.57,9.28,0.65,0.52,0,0
(주)SNT에너지,100840,2015/12,,,,,,8.58,3.96,1.03,0.48,105.23,48.52
(주)SNT에너지,100840,2016/12,,,,,,126.99,71.71,0.93,0.52,6.02,3.4
(주)SNT에너지,100840,2017/12,,,,,,32.32,20.87,0.64,0.41,0,0
(주)SNT에너지,100840,2018/12,,,,,,68.56,41.57,0.55,0.33,8.67,5.26
(주)SNT에너지,100840,2019/12,0,0,2148,36.31,8.19,10.43,5.41,0.64,0.33,0,0
(주)SNT에너지,100840,2020/12,32.35,-36.66,1414,42.24,9.74,15.88,8.18,0.64,0.33,2.25,1.16
(주)SNT에너지,100840,2021/12,0,0,1957,35.65,7.76,16.42,8.76,0.88,0.47,7.6,4.05
(주)SNT에너지,100840,2022/12,-73.18,20.76,2292,68.25,1.76,31.13,16.14,0.84,0.44,10.48,5.43
(주)SNT홀딩스,036530,2003/12,,,,,,,,,,,
(주)SNT홀딩스,036530,2004/12,,,,,,,,,,,
(주)SNT홀딩스,036530,2005/12,,,,,,,,,,,
(주)SNT홀딩스,036530,2006/12,,,,,,,,,,,
(주)SNT홀딩스,036530,2007/12,0,0,1603,106.4,6.58,40.81,13.43,3.25,1.07,0,0
(주)SNT홀딩스,036530,2008/12,-21.89,24.31,1946,72.68,5.87,18.43,1.93,1.06,0.11,34.65,3.62
(주)SNT홀딩스,036530,2009/12,59.24,-14.76,1659,78.78,8.67,14.95,4.55,0.71,0.22,88.59,26.95
(주)SNT홀딩스,036530,2010/12,18.46,60.29,1833,59.55,8.05,59.67,35.93,0.73,0.44,287.9,173.36
(주)SNT홀딩스,036530,2011/12,-0.27,13.66,2132,62.08,7.24,42.06,25.88,0.64,0.39,25.93,15.96
(주)SNT홀딩스,036530,2012/12,-28.89,-14.76,1870,57.43,5.14,23.68,14.51,0.56,0.34,24.61,15.08
(주)SNT홀딩스,036530,2013/12,-1.04,-16.31,1542,56.38,5.38,37.69,17.76,0.77,0.36,37.92,17.86
(주)SNT홀딩스,036530,2014/12,-22.75,30.84,1999,50.39,4.22,47.42,31.29,0.83,0.55,47.73,31.49
(주)SNT홀딩스,036530,2015/12,146.6,10.19,2141,41.85,10.02,17.69,10.55,1.18,0.7,61.71,36.79
