,종목코드,종목명,회계년도,종가
0,5930,삼성전자,2007/12,556000
1,5490,POSCO,2007/12,575000
2,9540,현대중공업,2007/12,442500
3,15760,한국전력,2007/12,39650
4,60000,국민은행,2007/12,69000
5,55550,신한지주,2007/12,53500
6,17670,SK텔레콤,2007/12,249000
7,34220,LG필립스LCD,2007/12,49500
8,96770,SK에너지,2007/12,181000
9,5380,현대차,2007/12,71600
10,53000,우리금융,2007/12,18850
11,66570,LG전자,2007/12,100000
12,4170,신세계,2007/12,726000
13,30200,KT,2007/12,48900
14,34020,두산중공업,2007/12,126000
15,3550,LG,2007/12,69900
16,23530,롯데쇼핑,2007/12,413000
17,660,하이닉스,2007/12,25950
18,810,삼성화재,2007/12,253000
19,33780,KT&G,2007/12,79700
20,830,삼성물산,2007/12,72000
21,86790,하나금융지주,2007/12,50400
22,42660,대우조선해양,2007/12,51600
23,720,현대건설,2007/12,88200
24,4940,외환은행,2007/12,14500
25,10140,삼성중공업,2007/12,40200
26,3600,SK,2007/12,198000
27,10950,S-Oil,2007/12,79000
28,47040,대우건설,2007/12,24700
29,6360,GS건설,2007/12,156000
30,12330,현대모비스,2007/12,87200
31,24110,기업은행,2007/12,17600
32,12630,현대산업,2007/12,91500
33,37620,미래에셋증권,2007/12,172000
34,4020,현대제철,2007/12,79000
35,51910,LG화학,2007/12,89600
36,210,대림산업,2007/12,179000
37,16360,삼성증권,2007/12,90800
38,6800,대우증권,2007/12,30600
39,32390,KTF,2007/12,30350
40,10620,현대미포조선,2007/12,288500
41,11200,현대상선,2007/12,43000
42,3490,대한항공,2007/12,76800
43,2380,KCC,2007/12,527000
44,78930,GS,2007/12,58100
45,1740,SK네트웍스,2007/12,22450
46,880,한화,2007/12,70800
47,35250,강원랜드,2007/12,24600
48,36460,한국가스공사,2007/12,64800
49,10060,동양제철화학,2007/12,251000
50,42670,두산인프라코어,2007/12,29900
51,150,두산,2007/12,181500
52,71050,한국금융지주,2007/12,79900
53,3450,현대증권,2007/12,23000
54,47050,대우인터내셔,2007/12,39600
55,28050,삼성엔지니어링,2007/12,93800
56,9150,삼성전기,2007/12,49150
57,67250,STX조선,2007/12,50000
58,270,기아차,2007/12,10100
59,5940,우리투자증권,2007/12,26350
60,11170,호남석유,2007/12,105500
61,12450,삼성테크윈,2007/12,42150
62,700,한진해운,2007/12,39800
63,51900,LG생활건강,2007/12,194000
64,6400,삼성SDI,2007/12,66500
65,140,하이트맥주,2007/12,142500
66,6260,LS전선,2007/12,90100
67,1230,동국제강,2007/12,47550
68,240,한국타이어,2007/12,17900
69,69960,현대백화점,2007/12,119000
70,1300,제일모직,2007/12,52300
71,10130,고려아연,2007/12,130500
72,4990,롯데제과,2007/12,1690000
73,1440,대한전선,2007/12,49000
74,21240,웅진코웨이,2007/12,30500
