회사명,거래소코드,회계년도,[제조]정상영업이익증가율(IFRS),[제조]순이익증가율(IFRS),[제조]1주당순이익(IFRS),[제조]부채비율(IFRS),[제조]매출액정상영업이익률(IFRS),[제조]매출액증가율(IFRS),[제조]1주당 CASH FLOW(IFRS),[제조]1주당순자산(IFRS),[제조]PER(최고)(IFRS),[제조]PER(최저)(IFRS),[제조]PBR(최고)(IFRS),[제조]PBR(최저)(IFRS),[제조]PCR(최고)(IFRS),[제조]PCR(최저)(IFRS)
(주)BNK금융지주,138930,2011/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2012/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2021/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2022/06,,,,,,,,,,,,,,
(주)DB하이텍,000990,2007/06,0,0,-343,268.98,5.25,0,-1443.64,,0,0,,,0,0
(주)DB하이텍,000990,2008/06,-85.77,0,719,268.88,0.67,11.78,-3139.87,,33.7,10.83,,,0,0
(주)DB하이텍,000990,2009/06,0,0,-3062,304.32,-5.05,-11.58,1903.44,,0,0,,,6.7,1.65
(주)DB하이텍,000990,2010/06,0,0,-1280,245.39,-0.49,-10.69,-230.8,,0,0,,,0,0
(주)DB하이텍,000990,2011/06,0,0,-274,260.67,2.97,-52.33,1418.12,,0,0,,,13.26,5.94
(주)DB하이텍,000990,2012/06,-91.8,0,-589,325.27,0.24,1.14,518.83,,0,0,,,24.57,11.95
(주)DB하이텍,000990,2013/06,602.64,0,-649,368.47,2,-15.51,282.69,,0,0,,,31.77,17.83
(주)DB하이텍,000990,2014/06,115.19,0,-470,485.13,4.17,3.4,370.81,,0,0,,,23.6,9.09
(주)DB하이텍,000990,2015/06,318.99,0,2144,329.28,15.45,13.16,1002.04,,8.35,1.82,,,16.52,3.59
(주)DB하이텍,000990,2016/06,84.86,-35.61,1313,194.92,22.67,25.97,2263.77,,16.41,7.66,,,9.25,4.32
(주)DB하이텍,000990,2017/06,13.53,-3.18,1272,136.41,26.36,-2.35,2290.19,,18.97,11.94,,,10.24,6.44
(주)DB하이텍,000990,2018/06,-51.68,-15.1,1077,109.81,14.88,-14.42,1229.75,,21.49,10.77,,,18.34,9.19
(주)DB하이텍,000990,2019/06,53.98,6.26,1143,94.16,19.19,19.38,864.59,,17.76,8.95,,,22.9,11.54
(주)DB하이텍,000990,2020/06,97.94,120.97,2525,51.79,30.32,25.3,2472.3,,13.44,4.85,,,13.39,4.83
(주)DB하이텍,000990,2021/06,0.13,-2.64,2457,40.59,27.38,10.9,2710.01,,30.98,11.78,,,27.42,10.42
(주)DB하이텍,000990,2022/06,178.11,176.96,6803,31.12,47.51,60.26,6146.32,,12.86,7.41,,,13.89,8
(주)JB금융지주,175330,2014/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2015/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2016/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2017/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2018/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2019/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2020/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2021/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2022/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2009/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2010/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2011/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2012/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2013/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2014/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2015/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2016/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2017/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2018/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2019/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2020/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2021/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2022/06,,,,,,,,,,,,,,
(주)강원랜드,035250,2007/06,0,0,791,27.65,39.96,0,1198.88,,29.01,19.81,,,18.93,12.93
(주)강원랜드,035250,2008/06,13.05,10,873,28.1,42.04,7.45,915.6,,32.77,22.25,,,30.8,20.92
(주)강원랜드,035250,2009/06,4.88,7.01,961,22.39,42.61,3.48,773.37,,27.15,9.88,,,32.33,11.77
(주)강원랜드,035250,2010/06,16.75,12.9,1088,16.63,45.85,8.5,496.78,,18.61,14.52,,,38.95,30.4
(주)강원랜드,035250,2011/06,-11.37,-9.11,993,15.25,41.9,-3.03,505.91,,33.23,18.73,,,62.07,34.99
(주)강원랜드,035250,2012/06,-11.68,-10.1,895,15.92,35.7,3.67,722.58,,37.49,27.54,,,44.08,32.38
(주)강원랜드,035250,2013/06,-7.11,-4.52,856,18.74,33.27,-0.34,659.97,,45.61,27.49,,,56.06,33.79
(주)강원랜드,035250,2014/06,23.68,22.54,1049,20.58,36.74,12,971.85,,35.21,25.9,,,36.01,26.5
(주)강원랜드,035250,2015/06,20.77,9.42,1148,23.36,39.69,11.82,1231.89,,38.38,26.66,,,33.89,23.54
(주)강원랜드,035250,2016/06,5.88,14.53,1315,21.65,40.32,4.22,1374.98,,36.84,29.54,,,33.38,26.76
(주)강원랜드,035250,2017/06,-12.04,-9.94,1184,16.1,37.14,-4.53,518.7,,37.66,28.88,,,81.45,62.46
(주)강원랜드,035250,2018/06,-19.21,-22.62,916,16.64,33.88,-11.44,506.37,,45.56,29.66,,,78.1,50.85
(주)강원랜드,035250,2019/06,23.01,-17.42,757,17.32,40.36,3.28,952.43,,48.19,35.29,,,36.28,26.56
(주)강원랜드,035250,2020/06,0,0,-998,17.64,-107.35,-63.49,-1756.89,,0,0,,,0,0
