회사명,거래소코드,회계년도,[제조]정상영업이익증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]부채비율(IFRS연결),[제조]매출액정상영업이익률(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]1주당 CASH FLOW(IFRS연결),[제조]1주당순자산(IFRS연결),[제조]PER(최고)(IFRS),[제조]PER(최저)(IFRS),[제조]PBR(최고)(IFRS),[제조]PBR(최저)(IFRS),[제조]PCR(최고)(IFRS),[제조]PCR(최저)(IFRS)
(주)BNK금융지주,138930,2011/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2012/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2021/06,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2022/06,,,,,,,,,,,,,,
(주)DB하이텍,000990,2007/06,,,,,,,,,0,0,,,0,0
(주)DB하이텍,000990,2008/06,,,,,,,,,33.7,10.83,,,0,0
(주)DB하이텍,000990,2009/06,,,,,,,,,0,0,,,6.7,1.65
(주)DB하이텍,000990,2010/06,,,,,,,,,0,0,,,0,0
(주)DB하이텍,000990,2011/06,,,,,,,,,0,0,,,13.26,5.94
(주)DB하이텍,000990,2012/06,,,,,,,,,0,0,,,24.57,11.95
(주)DB하이텍,000990,2013/06,0,0,-792,350.23,1.9,0,275.44,,0,0,,,31.77,17.83
(주)DB하이텍,000990,2014/06,130.82,0,-708,501.15,4.23,3.38,379.08,,0,0,,,23.6,9.09
(주)DB하이텍,000990,2015/06,315.41,0,2102,354.16,15.53,13.16,1021.25,,8.35,1.82,,,16.52,3.59
(주)DB하이텍,000990,2016/06,84.2,-45.64,1087,218.26,22.71,25.97,2266.9,,16.41,7.66,,,9.25,4.32
(주)DB하이텍,000990,2017/06,13.99,15.27,1253,144.92,26.51,-2.35,2267.01,,18.97,11.94,,,10.24,6.44
(주)DB하이텍,000990,2018/06,-51.9,-33.04,837,106.42,14.9,-14.42,1186.89,,21.49,10.77,,,18.34,9.19
(주)DB하이텍,000990,2019/06,53.92,30.86,1094,91.96,19.21,19.38,864.93,,17.76,8.95,,,22.9,11.54
(주)DB하이텍,000990,2020/06,97.85,121.96,2427,52.24,30.34,25.3,2491.67,,13.44,4.85,,,13.39,4.83
(주)DB하이텍,000990,2021/06,0.12,1.36,2459,40.69,27.39,10.9,2738.29,,30.98,11.78,,,27.42,10.42
(주)DB하이텍,000990,2022/06,178.03,199.13,7354,30.68,47.52,60.26,6159.75,,12.86,7.41,,,13.89,8
(주)JB금융지주,175330,2014/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2015/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2016/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2017/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2018/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2019/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2020/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2021/06,,,,,,,,,,,,,,
(주)JB금융지주,175330,2022/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2009/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2010/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2011/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2012/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2013/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2014/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2015/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2016/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2017/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2018/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2019/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2020/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2021/06,,,,,,,,,,,,,,
(주)KB금융지주,105560,2022/06,,,,,,,,,,,,,,
(주)강원랜드,035250,2007/06,,,,,,,,,29.01,19.81,,,18.93,12.93
(주)강원랜드,035250,2008/06,,,,,,,,,32.77,22.25,,,30.8,20.92
(주)강원랜드,035250,2009/06,,,,,,,,,27.15,9.88,,,32.33,11.77
(주)강원랜드,035250,2010/06,,,,,,,,,18.61,14.52,,,38.95,30.4
(주)강원랜드,035250,2011/06,0,0,970,15.43,41.1,0,481.32,,33.23,18.73,,,62.07,34.99
(주)강원랜드,035250,2012/06,-12.66,-11.78,857,16.18,34.61,3.73,684.25,,37.49,27.54,,,44.08,32.38
(주)강원랜드,035250,2013/06,-6.43,-5.19,814,19.03,32.45,-0.22,648.32,,45.61,27.49,,,56.06,33.79
(주)강원랜드,035250,2014/06,23.58,25.09,1019,20.75,35.83,11.92,944.83,,35.21,25.9,,,36.01,26.5
(주)강원랜드,035250,2015/06,21.49,11.22,1133,23.65,38.97,11.71,1216.37,,38.38,26.66,,,33.89,23.54
(주)강원랜드,035250,2016/06,6.55,16.02,1314,21.7,39.86,4.18,1363.17,,36.84,29.54,,,33.38,26.76
(주)강원랜드,035250,2017/06,-11.91,-9.86,1185,16.19,36.77,-4.53,509.63,,37.66,28.88,,,81.45,62.46
(주)강원랜드,035250,2018/06,-19.09,-22.98,913,16.68,33.61,-11.46,499.79,,45.56,29.66,,,78.1,50.85
(주)강원랜드,035250,2019/06,23.6,-17.09,757,17.39,40.16,3.43,950.49,,48.19,35.29,,,36.28,26.56
(주)강원랜드,035250,2020/06,-197.56,-231.48,-995,17.73,-107.37,-63.51,-1755.03,,0,0,,,0,0
(주)강원랜드,035250,2021/06,0,0,-99,13.46,-18.91,11.24,78.69,,0,0,,,325.73,219.91
(주)강원랜드,035250,2022/06,0,0,156,16.12,14.95,78.83,346.5,,204.89,149.61,,,86.47,63.14
(주)녹십자,006280,2007/06,,,,,,,,,29.14,15.01,,,51.92,26.74
