회사명,거래소코드,회계년도,[제조]정상영업이익증가율(IFRS),[제조]순이익증가율(IFRS),[제조]1주당순이익(IFRS),[제조]부채비율(IFRS),[제조]매출액정상영업이익률(IFRS),[제조]매출액증가율(IFRS),[제조]1주당 CASH FLOW(IFRS),[제조]1주당순자산(IFRS),[제조]PER(최고)(IFRS),[제조]PER(최저)(IFRS),[제조]PBR(최고)(IFRS),[제조]PBR(최저)(IFRS),[제조]PCR(최고)(IFRS),[제조]PCR(최저)(IFRS)
(주)BNK금융지주,138930,2011/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2012/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2021/12,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2022/12,,,,,,,,,,,,,,
(주)DB하이텍,000990,2007/12,0,0,-682,263.15,-1.11,0,-376.97,15591.62,0,0,1.11,0.39,0,0
(주)DB하이텍,000990,2008/12,0,0,-8646,287.47,-6.57,-1.79,-184.46,18914.45,0,0,0.57,0.13,0,0
(주)DB하이텍,000990,2009/12,0,0,-5361,288.09,-11.31,-14.45,2540.9,15802.81,0,0,0.81,0.2,5.02,1.24
(주)DB하이텍,000990,2010/12,0,0,-5435,261.8,-61.14,-48.53,1422.4,7704.8,0,0,1.71,0.72,9.28,3.88
(주)DB하이텍,000990,2011/12,0,0,-2414,305.87,-7.48,-9.96,1436.1,5132.76,0,0,3.66,1.21,13.09,4.32
(주)DB하이텍,000990,2012/12,0,0,-799,318.52,-2.47,9.28,1528.78,4444.95,0,0,2.49,1.35,7.23,3.92
(주)DB하이텍,000990,2013/12,0,0,-1823,431.96,-1.9,-15.44,640.94,2764.35,0,0,3.25,1.79,14.01,7.73
(주)DB하이텍,000990,2014/12,0,0,-1450,636.17,7.98,14.98,1064.06,1668.22,0,0,5.25,2.02,8.22,3.17
(주)DB하이텍,000990,2015/12,174.49,0,3131,262.19,18.66,17.42,3381.41,5469.77,6.74,1.47,3.53,0.77,5.71,1.25
(주)DB하이텍,000990,2016/12,38.12,-30.96,2034,176.13,22.22,15.98,5549.59,7611.25,10.6,5.92,2.75,1.54,3.78,2.11
(주)DB하이텍,000990,2017/12,-17.13,-15.45,1719,121.4,20.94,-12.08,4094.34,9093.33,14.03,6.76,2.58,1.24,5.73,2.76
(주)DB하이텍,000990,2018/12,-20.7,27.8,2192,93.66,16.87,-1.54,4106.39,11312.2,9.74,4.68,1.84,0.88,5.07,2.44
(주)DB하이텍,000990,2019/12,60.48,27.42,2790,68.82,22.44,20.64,3612.51,13629.91,10.6,3.67,2.12,0.73,7.99,2.76
(주)DB하이텍,000990,2020/12,32.03,36.73,3814,48.29,25.56,15.92,6975.04,17041.33,14.05,3.9,3.07,0.85,7.5,2.08
(주)DB하이텍,000990,2021/12,66.79,91.31,7293,39.99,32.84,29.78,8791.13,23974.62,11.12,6.84,3.3,2.03,9.01,5.54
(주)DB하이텍,000990,2022/12,92.65,76.24,12852,29.48,45.88,37.92,16366.95,35102.15,6.81,2.77,2.43,0.99,5.22,2.13
(주)JB금융지주,175330,2013/12,,,,,,,,,,,,,,
(주)JB금융지주,175330,2014/12,,,,,,,,,,,,,,
(주)JB금융지주,175330,2015/12,,,,,,,,,,,,,,
(주)JB금융지주,175330,2016/12,,,,,,,,,,,,,,
(주)JB금융지주,175330,2017/12,,,,,,,,,,,,,,
(주)JB금융지주,175330,2018/12,,,,,,,,,,,,,,
(주)JB금융지주,175330,2019/12,,,,,,,,,,,,,,
(주)JB금융지주,175330,2020/12,,,,,,,,,,,,,,
(주)JB금융지주,175330,2021/12,,,,,,,,,,,,,,
(주)JB금융지주,175330,2022/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2008/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2009/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2010/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2011/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2012/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2013/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2014/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2015/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2016/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2017/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2018/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2019/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2020/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2021/12,,,,,,,,,,,,,,
(주)KB금융지주,105560,2022/12,,,,,,,,,,,,,,
(주)강원랜드,035250,2007/12,0,0,1383,28.85,39.21,0,2025.49,6711.91,20.61,11.84,4.2,2.41,13.92,8
(주)강원랜드,035250,2008/12,12.58,5.63,1472,27.28,40.96,7.76,1774.78,6930.47,17.33,6.3,3.61,1.31,14.11,5.13
(주)강원랜드,035250,2009/12,-1.22,26.11,1902,26.29,38.54,4.99,2299.46,7931.7,9.87,5.98,2.27,1.37,7.83,4.74
(주)강원랜드,035250,2010/12,21.29,11.4,2128,24.12,42.95,8.84,2297.11,8927.03,15.46,7.44,3.52,1.69,13.67,6.57
(주)강원랜드,035250,2011/12,-11.17,-9.45,1935,19.84,39.65,-3.79,2004.82,9785.09,17.32,12.62,3.25,2.37,15.89,11.57
(주)강원랜드,035250,2012/12,-16.82,-24.63,1461,22.33,32.24,2.31,2142.71,10423.59,23.02,16.09,3.06,2.14,14.89,10.41
(주)강원랜드,035250,2013/12,-4.37,-1.14,1446,23.04,29.37,4.95,2019.91,11105.43,27,18.79,3.33,2.32,18.32,12.75
(주)강원랜드,035250,2014/12,32.05,24.11,1795,24.46,35.27,9.98,2415.29,11890.24,21.64,16.41,3.09,2.35,15.24,11.55
(주)강원랜드,035250,2015/12,14.74,18.32,2123,23.04,37.03,9.29,2719.47,13081.8,22.81,14.81,3.51,2.28,16.88,10.96
(주)강원랜드,035250,2016/12,3.48,5.7,2244,22.23,36.88,3.9,2807.73,14265.66,20.97,16.62,3.13,2.48,15.88,12.59
(주)강원랜드,035250,2017/12,-14.25,-3.93,2156,19.47,33.43,-5.41,2178.03,15425.13,19.36,15.86,2.56,2.1,18.16,14.88
(주)강원랜드,035250,2018/12,-18.84,-31.98,1467,17.93,30.28,-10.41,1711.07,15908.84,24.65,18.2,2.15,1.59,20.02,14.79
(주)강원랜드,035250,2019/12,15.61,12.88,1655,19.31,33.13,5.68,1911.72,16511.7,22.02,17.63,2.09,1.67,18.07,14.46
(주)강원랜드,035250,2020/12,0,0,-1375,12.06,-90.24,-68.54,-3074.23,15149.84,0,0,1.96,1.06,0,0
(주)강원랜드,035250,2021/12,0,0,-59,17.49,-6.71,64.9,1005.49,15174.29,0,0,1.95,1.43,29.49,21.53
(주)강원랜드,035250,2022/12,0,0,572,21.86,17.17,61.22,1962.58,15602.98,52.89,41.72,1.84,1.45,14.6,11.52
(주)녹십자,006280,2007/12,0,0,5041,80.35,13.21,0,3908.79,24175.94,20.42,9.91,4.16,2.02,25.71,12.48
(주)녹십자,006280,2008/12,16.23,10.18,5525,105.62,13.16,16.69,-2300.3,27091.54,18.36,12.89,3.68,2.58,0,0
(주)녹십자,006280,2009/12,75.75,64.76,9021,98.71,18.56,24.63,12429.28,37081.84,24.68,8.63,5.95,2.08,17.74,6.2
(주)녹십자,006280,2010/12,28.18,42.21,12127,38.93,19.35,22.98,8707.02,52460.26,13.91,8.5,3.09,1.89,18.66,11.4
