회사명,거래소코드,회계년도,정상영업이익증가율(IFRS),순이익증가율(IFRS),1주당순이익(IFRS)(원),부채비율(IFRS),매출액정상영업이익률(IFRS),매출액증가율(IFRS)
(주)BNK금융지주,138930,2011/06,,,,,,
(주)BNK금융지주,138930,2012/06,,,,,,
(주)BNK금융지주,138930,2013/06,,,,,,
(주)BNK금융지주,138930,2014/06,,,,,,
(주)BNK금융지주,138930,2015/06,,,,,,
(주)BNK금융지주,138930,2016/06,,,,,,
(주)BNK금융지주,138930,2017/06,,,,,,
(주)BNK금융지주,138930,2018/06,,,,,,
(주)BNK금융지주,138930,2019/06,,,,,,
(주)BNK금융지주,138930,2020/06,,,,,,
(주)BNK금융지주,138930,2021/06,,,,,,
(주)BNK금융지주,138930,2022/06,,,,,,
(주)DB하이텍,000990,2007/06,0,0,-343,268.98,5.25,0
(주)DB하이텍,000990,2008/06,-85.77,0,719,268.88,0.67,11.78
(주)DB하이텍,000990,2009/06,0,0,-3062,304.32,-5.05,-11.58
(주)DB하이텍,000990,2010/06,0,0,-1280,245.39,-0.49,-10.69
(주)DB하이텍,000990,2011/06,0,0,-274,260.67,2.97,-52.33
(주)DB하이텍,000990,2012/06,-91.8,0,-589,325.27,0.24,1.14
(주)DB하이텍,000990,2013/06,602.64,0,-649,368.47,2,-15.51
(주)DB하이텍,000990,2014/06,115.19,0,-470,485.13,4.17,3.4
(주)DB하이텍,000990,2015/06,318.99,0,2144,329.28,15.45,13.16
(주)DB하이텍,000990,2016/06,84.86,-35.61,1313,194.92,22.67,25.97
(주)DB하이텍,000990,2017/06,13.53,-3.18,1272,136.41,26.36,-2.35
(주)DB하이텍,000990,2018/06,-51.68,-15.1,1077,109.81,14.88,-14.42
(주)DB하이텍,000990,2019/06,53.98,6.26,1143,94.16,19.19,19.38
(주)DB하이텍,000990,2020/06,97.94,120.97,2525,51.79,30.32,25.3
(주)DB하이텍,000990,2021/06,0.13,-2.64,2457,40.59,27.38,10.9
(주)DB하이텍,000990,2022/06,178.11,176.96,6803,31.12,47.51,60.26
(주)JB금융지주,175330,2014/06,,,,,,
(주)JB금융지주,175330,2015/06,,,,,,
(주)JB금융지주,175330,2016/06,,,,,,
(주)JB금융지주,175330,2017/06,,,,,,
(주)JB금융지주,175330,2018/06,,,,,,
(주)JB금융지주,175330,2019/06,,,,,,
(주)JB금융지주,175330,2020/06,,,,,,
(주)JB금융지주,175330,2021/06,,,,,,
(주)JB금융지주,175330,2022/06,,,,,,
(주)KB금융지주,105560,2009/06,,,,,,
(주)KB금융지주,105560,2010/06,,,,,,
(주)KB금융지주,105560,2011/06,,,,,,
(주)KB금융지주,105560,2012/06,,,,,,
(주)KB금융지주,105560,2013/06,,,,,,
(주)KB금융지주,105560,2014/06,,,,,,
(주)KB금융지주,105560,2015/06,,,,,,
(주)KB금융지주,105560,2016/06,,,,,,
(주)KB금융지주,105560,2017/06,,,,,,
(주)KB금융지주,105560,2018/06,,,,,,
(주)KB금융지주,105560,2019/06,,,,,,
(주)KB금융지주,105560,2020/06,,,,,,
(주)KB금융지주,105560,2021/06,,,,,,
(주)KB금융지주,105560,2022/06,,,,,,
(주)강원랜드,035250,2007/06,0,0,791,27.65,39.96,0
(주)강원랜드,035250,2008/06,13.05,10,873,28.1,42.04,7.45
(주)강원랜드,035250,2009/06,4.88,7.01,961,22.39,42.61,3.48
(주)강원랜드,035250,2010/06,16.75,12.9,1088,16.63,45.85,8.5
(주)강원랜드,035250,2011/06,-11.37,-9.11,993,15.25,41.9,-3.03
(주)강원랜드,035250,2012/06,-11.68,-10.1,895,15.92,35.7,3.67
(주)강원랜드,035250,2013/06,-7.11,-4.52,856,18.74,33.27,-0.34
(주)강원랜드,035250,2014/06,23.68,22.54,1049,20.58,36.74,12
(주)강원랜드,035250,2015/06,20.77,9.42,1148,23.36,39.69,11.82
(주)강원랜드,035250,2016/06,5.88,14.53,1315,21.65,40.32,4.22
(주)강원랜드,035250,2017/06,-12.04,-9.94,1184,16.1,37.14,-4.53
(주)강원랜드,035250,2018/06,-19.21,-22.62,916,16.64,33.88,-11.44
(주)강원랜드,035250,2019/06,23.01,-17.42,757,17.32,40.36,3.28
(주)강원랜드,035250,2020/06,0,0,-998,17.64,-107.35,-63.49
(주)강원랜드,035250,2021/06,0,0,-91,13.27,-19,11.29
(주)강원랜드,035250,2022/06,0,0,153,15.93,14.99,78.83
(주)녹십자,006280,2007/06,0,0,2709,86.5,14.12,0
(주)녹십자,006280,2008/06,6.77,22.53,3294,84.89,13.39,12.6
(주)녹십자,006280,2009/06,5.08,-23.96,2496,105.26,12.79,9.96
(주)녹십자,006280,2010/06,231.83,267.29,9051,59.31,24.56,72.87
(주)녹십자,006280,2011/06,-74,-72.3,2283,34.37,9.07,-29.61
(주)녹십자,006280,2012/06,16.48,14.58,2555,30.03,10.16,4.02
(주)녹십자,006280,2013/06,-32.23,26.13,2971,27.89,6.6,4.29
(주)녹십자,006280,2014/06,20.4,-34.59,1843,36.75,7.18,10.7
(주)녹십자,006280,2015/06,36.77,74.95,3224,46.95,8.9,10.3
(주)녹십자,006280,2016/06,-25.61,-37.08,2029,47.53,5.89,12.37
(주)녹십자,006280,2017/06,36.78,19.66,2460,52.11,7.36,9.51
(주)녹십자,006280,2018/06,-41.9,-22.97,1895,50.99,4.07,5.17
(주)녹십자,006280,2019/06,-17.12,-90.19,186,58.84,3.38,-0.38
(주)녹십자,006280,2020/06,-12.61,523.08,1158,75.03,2.9,1.81
(주)녹십자,006280,2021/06,-59.87,32.59,1535,71.41,1.26,-7.81
(주)녹십자,006280,2022/06,278.81,34.06,2058,56.97,4.12,16.24
(주)녹십자홀딩스,005250,2007/06,0,0,2645,129.45,62.24,0
(주)녹십자홀딩스,005250,2008/06,6.3,28.35,3372,80.42,61.56,7.48
(주)녹십자홀딩스,005250,2009/06,-13.37,-23.77,2564,82.48,66.33,-19.6
(주)녹십자홀딩스,005250,2010/06,316.92,452.47,14287,72.52,89.64,208.5
(주)녹십자홀딩스,005250,2011/06,-70.15,-75.49,286,69.39,83.84,-68.08
(주)녹십자홀딩스,005250,2012/06,-36.1,553.18,1889,31.09,59.83,-10.46
(주)녹십자홀딩스,005250,2013/06,20.98,-82.05,329,30.2,63.12,14.69
(주)녹십자홀딩스,005250,2014/06,-9.36,-28.43,230,37.33,58.37,-1.98
(주)녹십자홀딩스,005250,2015/06,4.94,16.77,268,36.12,52.59,16.48
