회사명,거래소코드,회계년도,정상영업이익증가율(IFRS),순이익증가율(IFRS),1주당순이익(IFRS)(원),부채비율(IFRS),매출액정상영업이익률(IFRS),매출액증가율(IFRS)
(주)BNK금융지주,138930,2011/12,,,,,,
(주)BNK금융지주,138930,2012/12,,,,,,
(주)BNK금융지주,138930,2013/12,,,,,,
(주)BNK금융지주,138930,2014/12,,,,,,
(주)BNK금융지주,138930,2015/12,,,,,,
(주)BNK금융지주,138930,2016/12,,,,,,
(주)BNK금융지주,138930,2017/12,,,,,,
(주)BNK금융지주,138930,2018/12,,,,,,
(주)BNK금융지주,138930,2019/12,,,,,,
(주)BNK금융지주,138930,2020/12,,,,,,
(주)BNK금융지주,138930,2021/12,,,,,,
(주)BNK금융지주,138930,2022/12,,,,,,
(주)DB하이텍,000990,2007/12,0,0,-682,263.15,-1.11,0
(주)DB하이텍,000990,2008/12,0,0,-8646,287.47,-6.57,-1.79
(주)DB하이텍,000990,2009/12,0,0,-5361,288.09,-11.31,-14.45
(주)DB하이텍,000990,2010/12,0,0,-5435,261.8,-61.14,-48.53
(주)DB하이텍,000990,2011/12,0,0,-2414,305.87,-7.48,-9.96
(주)DB하이텍,000990,2012/12,0,0,-799,318.52,-2.47,9.28
(주)DB하이텍,000990,2013/12,0,0,-1823,431.96,-1.9,-15.44
(주)DB하이텍,000990,2014/12,0,0,-1450,636.17,7.98,14.98
(주)DB하이텍,000990,2015/12,174.49,0,3131,262.19,18.66,17.42
(주)DB하이텍,000990,2016/12,38.12,-30.96,2034,176.13,22.22,15.98
(주)DB하이텍,000990,2017/12,-17.13,-15.45,1719,121.4,20.94,-12.08
(주)DB하이텍,000990,2018/12,-20.7,27.8,2192,93.66,16.87,-1.54
(주)DB하이텍,000990,2019/12,60.48,27.42,2790,68.82,22.44,20.64
(주)DB하이텍,000990,2020/12,32.03,36.73,3814,48.29,25.56,15.92
(주)DB하이텍,000990,2021/12,66.79,91.31,7293,39.99,32.84,29.78
(주)DB하이텍,000990,2022/12,92.65,76.24,12852,29.48,45.88,37.92
(주)JB금융지주,175330,2013/12,,,,,,
(주)JB금융지주,175330,2014/12,,,,,,
(주)JB금융지주,175330,2015/12,,,,,,
(주)JB금융지주,175330,2016/12,,,,,,
(주)JB금융지주,175330,2017/12,,,,,,
(주)JB금융지주,175330,2018/12,,,,,,
(주)JB금융지주,175330,2019/12,,,,,,
(주)JB금융지주,175330,2020/12,,,,,,
(주)JB금융지주,175330,2021/12,,,,,,
(주)JB금융지주,175330,2022/12,,,,,,
(주)KB금융지주,105560,2008/12,,,,,,
(주)KB금융지주,105560,2009/12,,,,,,
(주)KB금융지주,105560,2010/12,,,,,,
(주)KB금융지주,105560,2011/12,,,,,,
(주)KB금융지주,105560,2012/12,,,,,,
(주)KB금융지주,105560,2013/12,,,,,,
(주)KB금융지주,105560,2014/12,,,,,,
(주)KB금융지주,105560,2015/12,,,,,,
(주)KB금융지주,105560,2016/12,,,,,,
(주)KB금융지주,105560,2017/12,,,,,,
(주)KB금융지주,105560,2018/12,,,,,,
(주)KB금융지주,105560,2019/12,,,,,,
(주)KB금융지주,105560,2020/12,,,,,,
(주)KB금융지주,105560,2021/12,,,,,,
(주)KB금융지주,105560,2022/12,,,,,,
(주)강원랜드,035250,2007/12,0,0,1383,28.85,39.21,0
(주)강원랜드,035250,2008/12,12.58,5.63,1472,27.28,40.96,7.76
(주)강원랜드,035250,2009/12,-1.22,26.11,1902,26.29,38.54,4.99
(주)강원랜드,035250,2010/12,21.29,11.4,2128,24.12,42.95,8.84
(주)강원랜드,035250,2011/12,-11.17,-9.45,1935,19.84,39.65,-3.79
(주)강원랜드,035250,2012/12,-16.82,-24.63,1461,22.33,32.24,2.31
(주)강원랜드,035250,2013/12,-4.37,-1.14,1446,23.04,29.37,4.95
(주)강원랜드,035250,2014/12,32.05,24.11,1795,24.46,35.27,9.98
(주)강원랜드,035250,2015/12,14.74,18.32,2123,23.04,37.03,9.29
(주)강원랜드,035250,2016/12,3.48,5.7,2244,22.23,36.88,3.9
(주)강원랜드,035250,2017/12,-14.25,-3.93,2156,19.47,33.43,-5.41
(주)강원랜드,035250,2018/12,-18.84,-31.98,1467,17.93,30.28,-10.41
(주)강원랜드,035250,2019/12,15.61,12.88,1655,19.31,33.13,5.68
(주)강원랜드,035250,2020/12,0,0,-1375,12.06,-90.24,-68.54
(주)강원랜드,035250,2021/12,0,0,-59,17.49,-6.71,64.9
(주)강원랜드,035250,2022/12,0,0,572,21.86,17.17,61.22
(주)녹십자,006280,2007/12,0,0,5041,80.35,13.21,0
(주)녹십자,006280,2008/12,16.23,10.18,5525,105.62,13.16,16.69
(주)녹십자,006280,2009/12,75.75,64.76,9021,98.71,18.56,24.63
(주)녹십자,006280,2010/12,28.18,42.21,12127,38.93,19.35,22.98
(주)녹십자,006280,2011/12,-46.27,-52.78,5415,31.61,11.77,-11.65
(주)녹십자,006280,2012/12,-19.41,0.85,5393,34.1,9.26,2.39
(주)녹십자,006280,2013/12,6.57,25.52,5999,26.43,8.9,10.92
(주)녹십자,006280,2014/12,22.92,-11.38,5246,42.01,10.16,7.62
(주)녹십자,006280,2015/12,-2.19,82.33,9565,37.54,9.3,6.87
(주)녹십자,006280,2016/12,-18.27,-43.13,5445,44.88,6.72,13.17
(주)녹십자,006280,2017/12,13.58,-12.94,4798,52.6,7.18,6.33
(주)녹십자,006280,2018/12,-41.24,-12.48,4200,49.63,4.06,3.91
(주)녹십자,006280,2019/12,-9.61,-75.3,1037,66.05,3.65,0.41
(주)녹십자,006280,2020/12,0.39,350.11,4670,69.3,3.42,7.13
(주)녹십자,006280,2021/12,43.2,165.31,12389,57.14,5.14,-4.68
(주)녹십자,006280,2022/12,16.83,-61.59,4758,55.41,5.65,6.38
(주)녹십자홀딩스,005250,2007/12,0,0,3594,120.88,62.4,0
(주)녹십자홀딩스,005250,2008/12,2.72,65.26,5975,108.86,58.43,9.7
(주)녹십자홀딩스,005250,2009/12,79.02,76.06,10549,67.25,78.77,32.79
(주)녹십자홀딩스,005250,2010/12,-59.15,-60.3,373,71.7,67.46,-52.31
(주)녹십자홀딩스,005250,2011/12,-35.76,7.33,368,71.74,41.23,5.12
(주)녹십자홀딩스,005250,2012/12,19.36,132.66,861,29.71,54.27,-9.32
(주)녹십자홀딩스,005250,2013/12,0.42,-56.56,372,35.09,48.77,11.75
(주)녹십자홀딩스,005250,2014/12,8.17,21.28,433,28.8,49.44,6.7
(주)녹십자홀딩스,005250,2015/12,4.79,-9.36,392,48.84,39.86,29.96
(주)녹십자홀딩스,005250,2016/12,61.57,50.52,590,48.54,31.3,105.76
(주)녹십자홀딩스,005250,2017/12,0.59,-23.21,453,62.88,26.84,17.32
(주)녹십자홀딩스,005250,2018/12,14.4,-5.18,430,70.23,25.29,21.43
(주)녹십자홀딩스,005250,2019/12,-22.38,43.78,618,55.87,43.26,-54.63
(주)녹십자홀딩스,005250,2020/12,50.26,79.57,1110,71.31,52.44,23.97
(주)녹십자홀딩스,005250,2021/12,-13.83,-29.21,785,63.09,48.15,-6.16
(주)녹십자홀딩스,005250,2022/12,-26.35,-54.8,355,66.02,39.27,-9.69
(주)농심,004370,2007/12,0,0,17870,52.08,7.54,0
(주)농심,004370,2008/12,-11.12,-24.1,13569,55.46,6.04,10.97
(주)농심,004370,2009/12,3.88,62.44,22041,50.09,5.69,10.13
(주)농심,004370,2010/12,47.76,8.31,23874,46.95,8.19,2.69
(주)농심,004370,2011/12,-29.08,-37.58,14902,46.81,5.59,3.98
(주)농심,004370,2012/12,-7.6,-99.76,36,44.02,5.19,-0.6
(주)농심,004370,2013/12,-9.49,44542.04,16016,41.32,4.92,-4.5
(주)농심,004370,2014/12,-22.99,-26.51,11770,37.31,3.94,-3.71
(주)농심,004370,2015/12,48.45,69.23,19919,38.54,5.61,4.29
(주)농심,004370,2016/12,-34.38,68.64,33591,30.06,3.71,-0.88
(주)농심,004370,2017/12,10.08,-58.62,13902,25.46,4.1,-0.37
(주)농심,004370,2018/12,-11.99,-5.87,13085,27.05,3.6,0.13
