회사명,거래소코드,회계년도,정상영업이익증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),부채비율(IFRS연결),매출액정상영업이익률(IFRS연결),매출액증가율(IFRS연결),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS)
(주)BNK금융지주,138930,2011/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2012/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2021/12,,,,,,,,,,,,
(주)BNK금융지주,138930,2022/12,,,,,,,,,,,,
(주)DB하이텍,000990,2007/12,0,0,-1151,319.3,-2.62,0,0,0,1.11,0.39,0,0
(주)DB하이텍,000990,2008/12,0,0,-8904,342.61,1.8,28.57,0,0,0.57,0.13,0,0
(주)DB하이텍,000990,2009/12,0,0,-5481,348.79,-11.01,-34.26,0,0,0.81,0.2,5.02,1.24
(주)DB하이텍,000990,2010/12,0,0,-5072,247.03,-61.04,-49.85,0,0,1.71,0.72,9.28,3.88
(주)DB하이텍,000990,2011/12,0,0,-2541,289.22,-7.81,-10.94,0,0,3.66,1.21,13.09,4.32
(주)DB하이텍,000990,2012/12,0,0,-780,298,-2.64,6.98,0,0,2.49,1.35,7.23,3.92
(주)DB하이텍,000990,2013/12,0,0,-2066,416.9,-1.95,-16.42,0,0,3.25,1.79,14.01,7.73
(주)DB하이텍,000990,2014/12,0,0,-1915,715.95,8.03,14.98,0,0,5.25,2.02,8.22,3.17
(주)DB하이텍,000990,2015/12,174.29,0,3112,287.57,18.75,17.42,6.74,1.47,3.53,0.77,5.71,1.25
(주)DB하이텍,000990,2016/12,37.98,-30.29,2042,188.6,22.3,15.98,10.6,5.92,2.75,1.54,3.78,2.11
(주)DB하이텍,000990,2017/12,-16.95,24.71,2546,118.07,21.07,-12.08,14.03,6.76,2.58,1.24,5.73,2.76
(주)DB하이텍,000990,2018/12,-21.09,-21.19,2002,91,16.88,-1.54,9.74,4.68,1.84,0.88,5.07,2.44
(주)DB하이텍,000990,2019/12,60.45,20.51,2410,68.91,22.45,20.64,10.6,3.67,2.12,0.73,7.99,2.76
(주)DB하이텍,000990,2020/12,32.02,58.67,3822,48.33,25.57,15.92,14.05,3.9,3.07,0.85,7.5,2.08
(주)DB하이텍,000990,2021/12,66.76,90.87,7292,40.13,32.86,29.78,11.12,6.84,3.3,2.03,9.01,5.54
(주)DB하이텍,000990,2022/12,92.62,76.35,12858,29.57,45.89,37.92,6.81,2.77,2.43,0.99,5.22,2.13
(주)JB금융지주,175330,2013/12,,,,,,,,,,,,
(주)JB금융지주,175330,2014/12,,,,,,,,,,,,
(주)JB금융지주,175330,2015/12,,,,,,,,,,,,
(주)JB금융지주,175330,2016/12,,,,,,,,,,,,
(주)JB금융지주,175330,2017/12,,,,,,,,,,,,
(주)JB금융지주,175330,2018/12,,,,,,,,,,,,
(주)JB금융지주,175330,2019/12,,,,,,,,,,,,
(주)JB금융지주,175330,2020/12,,,,,,,,,,,,
(주)JB금융지주,175330,2021/12,,,,,,,,,,,,
(주)JB금융지주,175330,2022/12,,,,,,,,,,,,
(주)KB금융지주,105560,2008/12,,,,,,,,,,,,
(주)KB금융지주,105560,2009/12,,,,,,,,,,,,
(주)KB금융지주,105560,2010/12,,,,,,,,,,,,
(주)KB금융지주,105560,2011/12,,,,,,,,,,,,
(주)KB금융지주,105560,2012/12,,,,,,,,,,,,
(주)KB금융지주,105560,2013/12,,,,,,,,,,,,
(주)KB금융지주,105560,2014/12,,,,,,,,,,,,
(주)KB금융지주,105560,2015/12,,,,,,,,,,,,
(주)KB금융지주,105560,2016/12,,,,,,,,,,,,
(주)KB금융지주,105560,2017/12,,,,,,,,,,,,
(주)KB금융지주,105560,2018/12,,,,,,,,,,,,
(주)KB금융지주,105560,2019/12,,,,,,,,,,,,
(주)KB금융지주,105560,2020/12,,,,,,,,,,,,
(주)KB금융지주,105560,2021/12,,,,,,,,,,,,
(주)KB금융지주,105560,2022/12,,,,,,,,,,,,
(주)강원랜드,035250,2007/12,,,,,,,20.61,11.84,4.2,2.41,13.92,8
(주)강원랜드,035250,2008/12,,,,,,,17.33,6.3,3.61,1.31,14.11,5.13
(주)강원랜드,035250,2009/12,0,0,1902,26.31,38.42,0,9.87,5.98,2.27,1.37,7.83,4.74
(주)강원랜드,035250,2010/12,19.84,9.28,2088,24.29,42.29,8.88,15.46,7.44,3.52,1.69,13.67,6.57
(주)강원랜드,035250,2011/12,-12.08,-10.57,1875,20.11,38.6,-3.66,17.32,12.62,3.25,2.37,15.89,11.57
(주)강원랜드,035250,2012/12,-17.13,-19.66,1509,22.54,31.24,2.41,23.02,16.09,3.06,2.14,14.89,10.41
(주)강원랜드,035250,2013/12,-4.16,-2.82,1468,23.21,28.51,5.02,27,18.79,3.33,2.32,18.32,12.75
(주)강원랜드,035250,2014/12,32.25,20.75,1772,24.76,34.29,9.94,21.64,16.41,3.09,2.35,15.24,11.55
(주)강원랜드,035250,2015/12,16.02,22.9,2178,23.12,36.44,9.17,22.81,14.81,3.51,2.28,16.88,10.96
(주)강원랜드,035250,2016/12,3.9,2.93,2242,22.33,36.46,3.84,20.97,16.62,3.13,2.48,15.88,12.59
(주)강원랜드,035250,2017/12,-14.18,-3.73,2159,19.55,33.09,-5.43,19.36,15.86,2.56,2.1,18.16,14.88
(주)강원랜드,035250,2018/12,-18.87,-32.06,1467,17.97,29.95,-10.37,24.65,18.2,2.15,1.59,20.02,14.79
(주)강원랜드,035250,2019/12,16.36,12.56,1651,19.38,32.97,5.7,22.02,17.63,2.09,1.67,18.07,14.46
(주)강원랜드,035250,2020/12,0,0,-1361,12.15,-90.18,-68.52,0,0,1.96,1.06,0,0
(주)강원랜드,035250,2021/12,0,0,-52,17.66,-6.68,64.74,0,0,1.95,1.43,29.49,21.53
(주)강원랜드,035250,2022/12,0,0,570,22.03,17.12,61.17,52.89,41.72,1.84,1.45,14.6,11.52
(주)녹십자,006280,2007/12,,,,,,,20.42,9.91,4.16,2.02,25.71,12.48
(주)녹십자,006280,2008/12,,,,,,,18.36,12.89,3.68,2.58,0,0
(주)녹십자,006280,2009/12,,,,,,,24.68,8.63,5.95,2.08,17.74,6.2
(주)녹십자,006280,2010/12,0,0,12040,39.98,19.21,0,13.91,8.5,3.09,1.89,18.66,11.4
(주)녹십자,006280,2011/12,0,0,5544,36.5,11.5,0,34.85,21.08,3.22,1.95,35.4,21.41
(주)녹십자,006280,2012/12,-15.83,-3.11,5305,39.28,9.16,5.71,32.79,21.18,2.81,1.82,35.9,23.19
(주)녹십자,006280,2013/12,5.99,30.62,6140,31.55,8.87,9.41,26.28,18.97,2.31,1.67,75.1,54.21
(주)녹십자,006280,2014/12,23.04,19.81,7260,44.5,9.94,9.81,28.51,22.44,2.12,1.67,32.42,25.52
(주)녹십자,006280,2015/12,-5.45,13.13,8213,41.84,8.75,7.43,29.59,13.37,3.62,1.64,53.72,24.27
(주)녹십자,006280,2016/12,-14.43,-33.69,5451,46.42,6.55,14.32,47.65,24.8,3.27,1.7,0,0
(주)녹십자,006280,2017/12,15.1,-15.44,4665,53.65,7.01,7.51,52.28,29.23,3.02,1.69,61.65,34.47
(주)녹십자,006280,2018/12,-44.46,-35.34,3017,53.03,3.76,3.65,63.39,29.14,3.17,1.45,248.74,114.33
(주)녹십자,006280,2019/12,-19.73,-110.57,-319,65.47,2.94,2.61,156.93,95.64,1.95,1.19,43.51,26.52
(주)녹십자,006280,2020/12,24.84,0,7101,69.49,3.34,9.81,99.66,21.36,5.36,1.15,108.47,23.25
