,날짜,종목,종목코드,종가,수익률
0,2013-04-01,DB하이텍,000990,6440.0,
1,2014-04-01,DB하이텍,000990,6640.0,0.3105590062111796
2,2015-04-01,DB하이텍,000990,5880.0,-1.1445783132530118
3,2016-04-01,DB하이텍,000990,18100.0,20.782312925170068
4,2017-04-03,DB하이텍,000990,20350.0,1.2430939226519344
5,2018-04-02,DB하이텍,000990,14150.0,-3.0466830466830466
6,2019-04-01,DB하이텍,000990,13000.0,-0.8127208480565373
7,2020-04-01,DB하이텍,000990,20900.0,6.0769230769230775
8,2021-04-01,DB하이텍,000990,57700.0,17.607655502392344
9,2022-04-01,DB하이텍,000990,73400.0,2.7209705372616977
10,2013-04-01,강원랜드,035250,30400.0,
11,2014-04-01,강원랜드,035250,30850.0,0.14802631578947345
12,2015-04-01,강원랜드,035250,34750.0,1.2641815235008114
13,2016-04-01,강원랜드,035250,41100.0,1.827338129496403
14,2017-04-03,강원랜드,035250,37400.0,-0.9002433090024331
15,2018-04-02,강원랜드,035250,28500.0,-2.379679144385026
16,2019-04-01,강원랜드,035250,31650.0,1.1052631578947358
17,2020-04-01,강원랜드,035250,18450.0,-4.170616113744075
18,2021-04-01,강원랜드,035250,25400.0,3.766937669376693
19,2022-04-01,강원랜드,035250,28000.0,1.023622047244095
20,2013-04-01,녹십자,006280,143569.0,
21,2014-04-01,녹십자,006280,127500.0,-1.1192527634795812
22,2015-04-01,녹십자,006280,173000.0,3.568627450980393
23,2016-04-01,녹십자,006280,178000.0,0.28901734104046284
24,2017-04-03,녹십자,006280,162000.0,-0.898876404494382
25,2018-04-02,녹십자,006280,208000.0,2.8395061728395055
26,2019-04-01,녹십자,006280,144500.0,-3.052884615384616
27,2020-04-01,녹십자,006280,142500.0,-0.1384083044982698
28,2021-04-01,녹십자,006280,352500.0,14.73684210526316
29,2022-04-01,녹십자,006280,199500.0,-4.340425531914893
30,2013-04-01,녹십자홀딩스,005250,17700.0,
31,2014-04-01,녹십자홀딩스,005250,16250.0,-0.8192090395480223
32,2015-04-01,녹십자홀딩스,005250,27450.0,6.892307692307693
33,2016-04-01,녹십자홀딩스,005250,35700.0,3.005464480874316
34,2017-04-03,녹십자홀딩스,005250,29150.0,-1.8347338935574231
35,2018-04-02,녹십자홀딩스,005250,39900.0,3.6878216123499152
36,2019-04-01,녹십자홀딩스,005250,24050.0,-3.9724310776942353
37,2020-04-01,녹십자홀딩스,005250,21000.0,-1.2681912681912677
38,2021-04-01,녹십자홀딩스,005250,34700.0,6.523809523809523
