회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS)
(주)BNK금융지주,138930,2013/12,16000,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,14500,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,8420,,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/12,8680,,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/12,9420,,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/12,7330,,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/12,7660,,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/12,5680,,,,,,,,,,,,,
(주)BNK금융지주,138930,2021/12,8400,,,,,,,,,,,,,
(주)BNK금융지주,138930,2022/12,6500,,,,,,,,,,,,,
(주)DB하이텍,000990,2013/12,7530,0,0,3.25,1.79,14.01,7.73,0.81,0.45,12.36,-31.05,1049494642,-73243309,98644291
(주)DB하이텍,000990,2014/12,4615,0,0,5.25,2.02,8.22,3.17,0.69,0.26,6.5,-34.99,1001959816,-58319918,91594343
(주)DB하이텍,000990,2015/12,14300,6.74,1.47,3.53,0.77,5.71,1.25,1.29,0.28,5.11,61.61,1005673854,127469869,105306648
(주)DB하이텍,000990,2016/12,15900,10.6,5.92,2.75,1.54,3.78,2.11,1.21,0.67,4.06,27.41,1006370876,88002359,118222593
(주)DB하이텍,000990,2017/12,12000,14.03,6.76,2.58,1.24,5.73,2.76,1.54,0.74,3.71,18.46,977575054,74401732,111213462
(주)DB하이텍,000990,2018/12,10850,9.74,4.68,1.84,0.88,5.07,2.44,1.38,0.67,3.73,19.32,1050696487,95087399,102452079
(주)DB하이텍,000990,2019/12,27600,10.6,3.67,2.12,0.73,7.99,2.76,1.59,0.55,5.36,20.4,1089400761,121159865,112967914
(주)DB하이텍,000990,2020/12,51000,14.05,3.9,3.07,0.85,7.5,2.08,2.49,0.69,6.85,23,1179256936,165657642,119696018
(주)DB하이텍,000990,2021/12,72700,11.12,6.84,3.3,2.03,9.01,5.54,2.9,1.78,5.94,33.34,1548223597,316919978,136246175
(주)DB하이텍,000990,2022/12,37150,6.81,2.77,2.43,0.99,5.22,2.13,2.27,0.92,1.84,40.72,2120023184,558546974,164630309
(주)JB금융지주,175330,2013/12,6360,,,,,,,,,,,,,
(주)JB금융지주,175330,2014/12,6090,,,,,,,,,,,,,
(주)JB금융지주,175330,2015/12,5500,,,,,,,,,,,,,
(주)JB금융지주,175330,2016/12,5780,,,,,,,,,,,,,
(주)JB금융지주,175330,2017/12,6070,,,,,,,,,,,,,
(주)JB금융지주,175330,2018/12,5700,,,,,,,,,,,,,
(주)JB금융지주,175330,2019/12,5490,,,,,,,,,,,,,
(주)JB금융지주,175330,2020/12,5640,,,,,,,,,,,,,
(주)JB금융지주,175330,2021/12,8350,,,,,,,,,,,,,
(주)JB금융지주,175330,2022/12,7890,,,,,,,,,,,,,
(주)KB금융지주,105560,2013/12,42250,,,,,,,,,,,,,
(주)KB금융지주,105560,2014/12,36150,,,,,,,,,,,,,
(주)KB금융지주,105560,2015/12,33150,,,,,,,,,,,,,
(주)KB금융지주,105560,2016/12,42800,,,,,,,,,,,,,
(주)KB금융지주,105560,2017/12,63400,,,,,,,,,,,,,
(주)KB금융지주,105560,2018/12,46500,,,,,,,,,,,,,
(주)KB금융지주,105560,2019/12,47650,,,,,,,,,,,,,
(주)KB금융지주,105560,2020/12,43400,,,,,,,,,,,,,
(주)KB금융지주,105560,2021/12,55000,,,,,,,,,,,,,
(주)KB금융지주,105560,2022/12,48500,,,,,,,,,,,,,
(주)강원랜드,035250,2013/12,30950,27,18.79,3.33,2.32,18.32,12.75,5.83,4.06,13.7,11.95,3105430200,293129468,240055756
(주)강원랜드,035250,2014/12,30400,21.64,16.41,3.09,2.35,15.24,11.55,5.28,4,10.69,13.89,3380461682,363815729,252649920
(주)강원랜드,035250,2015/12,38400,22.81,14.81,3.51,2.28,16.88,10.96,6.02,3.91,12.02,15.07,3688060027,430459518,272340184
(주)강원랜드,035250,2016/12,35750,20.97,16.62,3.13,2.48,15.88,12.59,5.63,4.46,10.83,14.56,3975979890,454998593,287586131
(주)강원랜드,035250,2017/12,34800,19.36,15.86,2.56,2.1,18.16,14.88,5.28,4.32,12.07,12.94,4182527382,437096330,281945764
(주)강원랜드,035250,2018/12,32000,24.65,18.2,2.15,1.59,20.02,14.79,5.1,3.77,13.61,8.39,4229630541,297320114,274005028
(주)강원랜드,035250,2019/12,29600,22.02,17.63,2.09,1.67,18.07,14.46,4.87,3.9,11.04,9.19,4436461953,335609508,280523986
(주)강원랜드,035250,2020/12,23500,0,0,1.96,1.06,0,0,13.33,7.17,0,-8.01,3635973900,-278763195,363985953
(주)강원랜드,035250,2021/12,24050,0,0,1.95,1.43,29.49,21.53,8.06,5.88,191.74,-0.37,3817618525,-11910505,113415715
(주)강원랜드,035250,2022/12,23200,52.89,41.72,1.84,1.45,14.6,11.52,4.83,3.81,16.67,3.48,4157624144,115887555,130753710
(주)녹십자,006280,2013/12,124500,26.28,18.97,2.31,1.67,75.1,54.21,2.27,1.64,16.77,9.14,1040802954,68451075,182538922
(주)녹십자,006280,2014/12,137000,28.51,22.44,2.12,1.67,32.42,25.52,2.02,1.59,16.02,7.17,1232228382,60660754,197283478
(주)녹십자,006280,2015/12,183000,29.59,13.37,3.62,1.64,53.72,24.27,3.58,1.62,20.19,12.09,1323117870,110601286,224667132
(주)녹십자,006280,2016/12,157000,47.65,24.8,3.27,1.7,0,0,2.9,1.51,21.13,6.47,1422757264,62902751,236126942
(주)녹십자,006280,2017/12,226000,52.28,29.23,3.02,1.69,61.65,34.47,2.61,1.46,25.59,5.44,1575759046,54766059,235455613
(주)녹십자,006280,2018/12,136000,63.39,29.14,3.17,1.45,248.74,114.33,2.66,1.22,22.78,4.59,1580579529,47932741,246252646
(주)녹십자,006280,2019/12,132500,156.93,95.64,1.95,1.19,43.51,26.52,1.62,0.99,24.85,1.12,1742374171,11840904,267807744
(주)녹십자,006280,2020/12,406000,99.66,21.36,5.36,1.15,108.47,23.25,4.33,0.93,63.52,4.96,1862558929,53297023,316430000
(주)녹십자,006280,2021/12,218000,44.46,17.56,5.73,2.26,53.42,21.1,5.37,2.12,29.05,12.16,1925626161,141400531,338928394
(주)녹십자,006280,2022/12,129500,48.31,24.42,2.4,1.21,31.77,16.06,2.11,1.07,17.22,4.39,1943161484,54307547,339939469
(주)녹십자홀딩스,005250,2013/12,12450,55.52,35.95,1.62,1.05,0,0,26.09,16.89,40.59,2.93,766055042,16195004,17659476
(주)녹십자홀딩스,005250,2014/12,20900,63.19,30.52,2.28,1.1,241.73,116.76,33.75,16.3,55.88,3.48,722616440,19640775,18594486
(주)녹십자홀딩스,005250,2015/12,41950,172.55,53.85,5.68,1.77,0,0,64.27,20.06,108.31,3.18,829703432,17801560,28740600
(주)녹십자홀딩스,005250,2016/12,23800,95.96,36.15,4.65,1.75,46.39,17.48,26.15,9.85,42.18,4.75,846282314,26794034,67553375
(주)녹십자홀딩스,005250,2017/12,39250,105.34,51.04,3.79,1.83,35.4,17.15,18.79,9.1,64.85,3.55,958660032,20576338,84402115
(주)녹십자홀딩스,005250,2018/12,25100,111.48,52.56,3.82,1.8,36.41,17.17,15.53,7.32,39.11,3.33,993043941,19510510,104661886
(주)녹십자홀딩스,005250,2019/12,22250,48.04,30.99,2.33,1.51,39.41,25.43,21.2,13.68,42.38,4.76,928991658,28053008,36058856
(주)녹십자홀딩스,005250,2020/12,41500,48.68,14.36,4.06,1.2,52.2,15.4,31.13,9.18,51.81,8.21,1080663927,50375737,37471246
(주)녹십자홀딩스,005250,2021/12,27150,78.21,33.55,4.43,1.9,78.83,33.81,37.73,16.18,40.98,5.55,1066673355,35663003,38332838
(주)녹십자홀딩스,005250,2022/12,17000,90.36,45.95,2.31,1.17,126.92,64.54,21.81,11.09,39.28,2.47,1082659486,16119638,40549493
(주)농심,004370,2013/12,251000,23.78,15.07,1.5,0.95,14.57,9.23,1.18,0.75,9.49,6.28,2129920031,92612241,421248624
(주)농심,004370,2014/12,252500,28.42,21.81,1.29,0.99,23.79,18.25,1.07,0.82,11.27,4.46,2116774394,68061676,425766422
(주)농심,004370,2015/12,439500,23.92,11.99,1.73,0.87,14.78,7.41,1.47,0.73,15.55,7.26,2257471088,115183233,442413701
(주)농심,004370,2016/12,332500,16.91,8.83,1.88,0.98,15.68,8.19,1.76,0.92,14.77,11.36,2330097985,194243948,474501473
(주)농심,004370,2017/12,354000,28.75,21.91,1.28,0.98,27.79,21.17,1.25,0.95,15.12,4.42,2317377704,80387196,494147220
(주)농심,004370,2018/12,254500,28.9,17,1.18,0.69,20.64,12.14,1.18,0.69,11.65,4.04,2406700249,75665004,428868833
(주)농심,004370,2019/12,240500,34.54,23.46,1.04,0.7,14.61,9.92,1.02,0.69,12.27,2.95,2496940454,56271705,447262864
(주)농심,004370,2020/12,300000,26.32,14.59,1.26,0.7,13.3,7.37,1.16,0.64,10.75,4.76,2494167664,92786550,468952196
(주)농심,004370,2021/12,318500,29.46,23.13,1.05,0.83,15.15,11.9,1,0.78,14.43,3.54,2544772941,71120815,487001573
(주)농심,004370,2022/12,357000,28.69,20.69,1.07,0.77,17.39,12.54,0.92,0.67,16.23,3.72,2687384597,77166011,522674657
(주)대우건설,047040,2013/12,7370,0,0,1.69,1.1,0,0,0.51,0.33,0,-24.72,9721382818,-743608176,551195185
(주)대우건설,047040,2014/12,5890,40.1,21,1.68,0.88,11.94,6.25,0.44,0.23,10.03,4.07,9889839840,107279926,305857260
(주)대우건설,047040,2015/12,5600,26.52,14.52,1.44,0.79,5.46,2.99,0.39,0.22,10.44,5.38,9650768538,146232049,353443830
(주)대우건설,047040,2016/12,5080,0,0,1.61,1.07,13.95,9.27,0.29,0.19,0,-31.76,9367312840,-762005959,536013175
(주)대우건설,047040,2017/12,5920,15.52,9.5,1.6,0.98,21.11,12.91,0.31,0.19,8.61,10.54,8247700980,222793964,373556277
(주)대우건설,047040,2018/12,5390,12.49,7.22,1.43,0.83,44.92,25.96,0.3,0.18,5.38,11.21,8137774312,247630799,378888072
(주)대우건설,047040,2019/12,4740,327.48,201.13,1.19,0.73,0,0,0.31,0.19,14.3,0.36,8734473025,7779954,464996768
(주)대우건설,047040,2020/12,4985,12.8,5.29,0.98,0.41,8.45,3.49,0.3,0.12,7.45,7.78,8399269137,176906546,411839826
(주)대우건설,047040,2021/12,5770,11.11,5.89,1.49,0.79,2.68,1.42,0.49,0.26,5.17,14.01,9192699187,356917295,468631839
(주)대우건설,047040,2022/12,4180,12.25,6.44,1.06,0.56,0,0,0.33,0.18,5.77,8.91,9668849513,254741243,462002324
(주)대웅,003090,2013/12,40000,48.61,25.89,1.67,0.89,65.82,35.06,11.04,5.88,40.64,3.42,309791451,9903903,29057278
(주)대웅,003090,2014/12,45150,58.31,37.54,2.28,1.47,59.21,38.12,14.38,9.26,42.32,3.84,315970433,11367794,31853239
(주)대웅,003090,2015/12,56600,173.12,54.9,5.16,1.64,128.66,40.8,30.49,9.67,46.25,2.93,329324956,8832823,31471111
(주)대웅,003090,2016/12,44050,144.62,78.46,2.84,1.54,92.5,50.18,17.51,9.5,89.51,1.94,330037143,5958016,35200694
(주)대웅,003090,2017/12,19350,67.56,12.07,2.45,0.44,86.74,15.49,13.92,2.49,78.43,3.58,337100220,11274209,32951454
(주)대웅,003090,2018/12,17800,116.87,64.93,4.5,2.5,219.91,122.17,30.05,16.69,79.77,3.82,344459714,12312560,35926833
(주)대웅,003090,2019/12,12950,202.38,109.01,4.04,2.17,122.7,66.09,25.99,14,54.87,1.92,348607411,6320466,37214452
(주)대웅,003090,2020/12,50300,109.78,8.19,14.93,1.11,121.42,9.06,57.54,4.29,58.59,13.49,371342389,45918663,39809301
(주)대웅,003090,2021/12,31050,85.37,35.07,10.8,4.44,83.87,34.45,43.02,17.67,34.04,13,415669425,48492800,45314494
(주)대웅,003090,2022/12,20350,39.1,19.63,4.87,2.44,46.44,23.32,20.58,10.33,20.67,12.83,467020461,53906527,47922982
(주)대웅제약,069620,2013/12,76200,17.69,9.02,2.59,1.32,18.63,9.5,1.54,0.78,9.62,14.28,572053856,58673001,214398094
(주)대웅제약,069620,2014/12,67200,29.96,19.86,2.32,1.54,35.53,23.56,1.31,0.87,12.59,7.18,678153979,31792910,211111356
(주)대웅제약,069620,2015/12,71100,35.65,13.04,3.86,1.41,46.69,17.07,2.19,0.8,13.74,10.46,819336096,49232912,229026094
(주)대웅제약,069620,2016/12,68700,42.17,22,2.99,1.56,101.41,52.9,1.75,0.91,20.04,6.53,1015246927,32974251,293852577
(주)대웅제약,069620,2017/12,164500,56.16,20.95,4.44,1.66,32.58,12.15,2.38,0.89,29.39,6.9,1053517341,36724783,313501380
(주)대웅제약,069620,2018/12,188500,1779.52,1032.51,5.72,3.32,49.03,28.45,2.79,1.62,34.67,0.27,1076308746,1481271,326932215
(주)대웅제약,069620,2019/12,137500,124.3,73.32,5.53,3.26,66.19,39.04,2.5,1.48,31.03,3.71,1099982039,20228348,382179962
(주)대웅제약,069620,2020/12,165000,1057.6,233.3,7.11,1.57,33.75,7.44,3.51,0.78,50.37,0.56,1186735400,3138751,377405863
(주)대웅제약,069620,2021/12,148000,67,38.2,5.21,2.97,50.02,28.51,2.27,1.3,16.51,6.01,1259655414,35795056,391468932
(주)대웅제약,069620,2022/12,158500,46.65,30.3,4.76,3.09,24.49,15.91,1.95,1.27,16.27,7.62,1374022214,48561673,461310831
(주)대한항공,003490,2013/12,31200,0,0,1.73,0.95,1.89,1.04,0.28,0.16,9.12,-12.51,20964254228,-290459634,1123911312
(주)대한항공,003490,2014/12,47450,0,0,1.83,1.09,1.65,0.99,0.26,0.16,8.71,-9.67,21420446969,-205476811,1136822618
(주)대한항공,003490,2015/12,27700,0,0,1.92,0.95,1.45,0.72,0.34,0.17,6.7,-19.07,23048939945,-407682308,1162726285
(주)대한항공,003490,2016/12,27350,0,0,2.08,1.33,0.96,0.61,0.23,0.15,5.92,-29.95,22706038038,-591360924,1205861351
(주)대한항공,003490,2017/12,33850,3.96,2.55,1.09,0.7,1.28,0.82,0.3,0.2,6.34,34.1,23423066865,907879962,1186479441
(주)대한항공,003490,2018/12,33050,0,0,1.47,0.93,1.47,0.93,0.3,0.19,7.21,-3.67,24368468723,-120399329,1348942151
(주)대한항공,003490,2019/12,28500,0,0,1.57,0.82,1.74,0.91,0.33,0.17,7.86,-19.48,25758375652,-568732636,1254319555
(주)대한항공,003490,2020/12,27200,0,0,0.93,0.39,2.01,0.85,0.39,0.17,8.96,-6.29,24747289887,-194631399,624318430
(주)대한항공,003490,2021/12,29350,17.44,12.54,1.66,1.19,3.18,2.29,1.27,0.91,6.92,12.34,26193031955,638690221,661590161
