회사명,거래소코드,회계년도,거래월(*),종가,자산(*)(IFRS연결),부채(*)(IFRS연결),당기순이익(손실)(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),매출액(수익)(*)(IFRS연결),비유동자산(*)(IFRS연결),매출총이익(손실)(IFRS연결),법인세비용(IFRS연결),이자비용(IFRS연결),감가상각비(IFRS연결),유동자산(*)(IFRS연결),유동부채(*)(IFRS연결),현금및현금성자산(*)(IFRS연결)
(주)BNK금융지주,138930,2013/12,12,16000,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,12,14500,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,12,8420,,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/12,12,8680,,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/12,12,9420,,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/12,12,7330,,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/12,12,7660,,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/12,12,5680,,,,,,,,,,,,,
(주)BNK금융지주,138930,2021/12,12,8400,,,,,,,,,,,,,
(주)BNK금융지주,138930,2022/12,12,6500,,,,,,,,,,,,,
(주)DB하이텍,000990,2013/12,12,7530,1058391832,853635085,-83046768,28380938,493752028,835431132,89251311,1665074,0,1572000,222960700,476867874,35222233
(주)DB하이텍,000990,2014/12,12,4615,984876636,864173902,-77008844,48078139,567718224,737294265,136904849,-11960980,0,983000,247582371,376436760,40369011
(주)DB하이텍,000990,2015/12,12,14300,984643712,730586221,126733352,152722221,666594987,646886446,229679471,-10909224,0,975000,337757266,244044785,108132861
(주)DB하이텍,000990,2016/12,12,15900,986788572,644871257,88344018,248312191,773140180,617864361,290010241,-2850482,0,805000,368924211,274231115,115579823
(주)DB하이텍,000990,2017/12,12,12000,993950720,538152775,110175089,183124083,679737744,640287880,253567151,-5213489,0,854000,353662841,145225195,107494652
(주)DB하이텍,000990,2018/12,12,10850,1066533840,508142309,86828768,180343534,669279136,683154903,215336382,9285232,0,1086000,383378937,156796450,119106293
(주)DB하이텍,000990,2019/12,12,27600,1088889810,444239080,104637012,161078351,807416423,662626388,294123786,39328428,0,1893000,426263421,219715556,84776807
(주)DB하이텍,000990,2020/12,12,51000,1178581197,383996685,166025591,309982630,935919766,719373070,358884823,43629661,0,1706000,459208127,261704001,48293560
(주)DB하이텍,000990,2021/12,12,72700,1549937896,443888190,316891852,393129115,1214682040,734775996,535196604,103547897,0,1941000,815161899,335336853,183017846
(주)DB하이텍,000990,2022/12,12,37150,2122700475,484416396,558836662,730063434,1675287534,794976355,933217769,188301676,0,2714000,1327724120,404353962,151311290
(주)JB금융지주,175330,2013/12,12,6360,,,,,,,,,,,,,
(주)JB금융지주,175330,2014/12,12,6090,,,,,,,,,,,,,
(주)JB금융지주,175330,2015/12,12,5500,,,,,,,,,,,,,
(주)JB금융지주,175330,2016/12,12,5780,,,,,,,,,,,,,
(주)JB금융지주,175330,2017/12,12,6070,,,,,,,,,,,,,
(주)JB금융지주,175330,2018/12,12,5700,,,,,,,,,,,,,
(주)JB금융지주,175330,2019/12,12,5490,,,,,,,,,,,,,
(주)JB금융지주,175330,2020/12,12,5640,,,,,,,,,,,,,
(주)JB금융지주,175330,2021/12,12,8350,,,,,,,,,,,,,
(주)JB금융지주,175330,2022/12,12,7890,,,,,,,,,,,,,
(주)KB금융지주,105560,2013/12,12,42250,,,,,,,,,,,,,
(주)KB금융지주,105560,2014/12,12,36150,,,,,,,,,,,,,
(주)KB금융지주,105560,2015/12,12,33150,,,,,,,,,,,,,
(주)KB금융지주,105560,2016/12,12,42800,,,,,,,,,,,,,
(주)KB금융지주,105560,2017/12,12,63400,,,,,,,,,,,,,
(주)KB금융지주,105560,2018/12,12,46500,,,,,,,,,,,,,
(주)KB금융지주,105560,2019/12,12,47650,,,,,,,,,,,,,
(주)KB금융지주,105560,2020/12,12,43400,,,,,,,,,,,,,
(주)KB금융지주,105560,2021/12,12,55000,,,,,,,,,,,,,
(주)KB금융지주,105560,2022/12,12,48500,,,,,,,,,,,,,
(주)강원랜드,035250,2013/12,12,30950,3102036846,584340350,297596347,424407127,1361286598,2021634938,635194822,96216786,0,12427514,1080401909,570217325,166942949
(주)강원랜드,035250,2014/12,12,30400,3375127289,669769805,359348568,510413141,1496541441,2003301702,774243561,136586390,0,10785331,1371825587,624516570,101994727
(주)강원랜드,035250,2015/12,12,38400,3690791830,693036625,441629101,574981576,1633716839,1940371514,874070869,152254279,0,12162242,1750420316,664599978,105718151
(주)강원랜드,035250,2016/12,12,35750,3978987574,726260115,454533659,596486851,1696532511,2169474115,911355420,142326882,0,12665162,1809513458,718893173,92998434
(주)강원랜드,035250,2017/12,12,34800,4185657487,684421554,437540507,463050000,1604470055,2021361436,816936206,128653718,0,13458113,2164296051,681337932,105573030
(주)강원랜드,035250,2018/12,12,32000,4231241354,644464265,297236881,363918692,1438059299,2472208249,708465839,113451001,0,13540989,1759033105,636028473,48854127
(주)강원랜드,035250,2019/12,12,29600,4438119306,720360229,334653892,407868874,1520080449,2559928144,783421395,154271032,0,16091408,1878191161,651342607,60665205
(주)강원랜드,035250,2020/12,12,23500,3641632201,394603621,-275879104,-655676332,478578866,2143453910,-65920771,-128621634,0,17140286,1498178291,329969961,66052963
(주)강원랜드,035250,2021/12,12,24050,3827273464,574480852,-10582086,210874269,788432830,2170239467,61649605,-3577132,0,17495969,1657033997,506759505,206399109
(주)강원랜드,035250,2022/12,12,23200,4167752671,752374770,115612768,420172246,1270685819,2961350384,348895092,52239058,0,16484150,1206402286,687658757,101060567
(주)녹십자,006280,2013/12,12,124500,1104264801,264856232,72027708,29689475,888168207,543313701,274893816,19002134,0,2338000,560951100,208983825,27647790
(주)녹십자,006280,2014/12,12,137000,1330351374,409724547,86789123,56763006,975327106,667470047,310499555,29861956,0,2620000,662881327,334370391,32001574
(주)녹십자,006280,2015/12,12,183000,1415128446,417424433,95687082,45243778,1047812247,671666919,338996684,33200287,0,2906000,743461526,307735421,57736365
(주)녹십자,006280,2016/12,12,157000,1550614664,491603630,65152451,-1742285,1197903918,749237212,352078338,14358273,0,2870000,801377452,303297155,56920251
(주)녹십자,006280,2017/12,12,226000,1703581525,594868624,56711043,57879006,1287916286,777044552,366803859,15440672,0,2646000,926536973,260055247,170978987
(주)녹십자,006280,2018/12,12,136000,1723409866,597203089,34249900,14410216,1334877810,829979458,345867684,15901358,0,2640000,893430409,303482276,96635651
(주)녹십자,006280,2019/12,12,132500,1959299528,775222803,-11287400,40291382,1369709727,997519423,372315308,5145885,0,4474000,961780105,401422956,98461664
(주)녹십자,006280,2020/12,12,406000,2151399594,882093850,89270741,35973501,1504115279,1019356275,440626609,15365726,0,5101000,1132043319,589402990,232288414
(주)녹십자,006280,2021/12,12,218000,2462144732,962387715,136949879,125978949,1537825750,1366523898,520593272,35609407,0,6043000,1095620834,552882863,186060277
(주)녹십자,006280,2022/12,12,129500,2525537081,958895150,69414785,119154311,1711312740,1545099192,581804463,16313075,0,6601000,980437889,540738447,105365808
(주)녹십자홀딩스,005250,2013/12,12,12450,1624124363,524457217,80790983,17568308,938298393,1000385090,299035048,27915554,0,3263000,623739273,326345229,39188604
(주)녹십자홀딩스,005250,2014/12,12,20900,1790874896,609807797,101469183,54542863,1044768160,955745766,337320618,38603925,0,3701000,835129130,433012692,47622345
(주)녹십자홀딩스,005250,2015/12,12,41950,2058661120,751282335,112848610,7035743,1132876997,969037961,369603674,44124188,0,3992000,1089623159,503329013,163231260
(주)녹십자홀딩스,005250,2016/12,12,23800,2249277259,872266114,74263537,-805470,1354466206,1129778690,392767841,25700480,0,4166000,1119498569,503698348,113580392
(주)녹십자홀딩스,005250,2017/12,12,39250,2560695918,1121028362,70728142,144482444,1465489007,1369328751,412287475,25417628,0,4547000,1191367167,569086836,268838855
(주)녹십자홀딩스,005250,2018/12,12,25100,2628599972,1175483426,19378934,37643839,1548714795,1484007738,406554168,23809637,0,6240000,1144592235,661788716,250793373
(주)녹십자홀딩스,005250,2019/12,12,22250,2773868507,1267272303,-30476552,7650392,1524799074,1650217892,429787502,16716143,0,10957000,1123650615,676336262,176459896
(주)녹십자홀딩스,005250,2020/12,12,41500,3241202077,1567701359,179995784,38138269,1719325650,1705397765,530290892,37558189,0,5710000,1535804313,1102777531,447571704
(주)녹십자홀딩스,005250,2021/12,12,27150,3496833927,1586104973,127657537,103769151,1840558603,2071969595,628541184,52355324,0,6933000,1424864332,925912757,335568961
(주)녹십자홀딩스,005250,2022/12,12,17000,3592060735,1625017216,58897359,97156791,2079559971,2330082504,698336717,-29267887,0,9167000,1261978231,1052354394,208636861
(주)농심,004370,2013/12,12,251000,2215391017,698717861,86896539,162221442,2086651379,1297050909,586115961,31163649,0,28384190,918340108,587440730,111567192
(주)농심,004370,2014/12,12,252500,2224132075,670659167,64454972,98665546,2041702670,1324487586,585347641,32874828,0,27852687,899644489,553719336,115370645
(주)농심,004370,2015/12,12,439500,2418707598,772235674,117412116,201851914,2181623581,1420884507,672000673,36112828,0,27800185,997823091,634365756,168848965
(주)농심,004370,2016/12,12,332500,2481287284,678899069,199229661,220960821,2217015272,1424336033,713304746,34063538,0,28472635,1056951251,549356596,179380604
(주)농심,004370,2017/12,12,354000,2449898373,608800458,90685629,103437685,2208260640,1464045310,734369195,28748081,0,28752077,985853063,489271081,155384212
(주)농심,004370,2018/12,12,254500,2532286535,634536236,84301647,146872696,2236436215,1478533653,671743356,28020670,0,29166094,1053752882,522231432,167718554
(주)농심,004370,2019/12,12,240500,2653049875,712306478,71068947,162459540,2343942952,1574469193,717908499,32422991,0,32404470,1078580682,584986896,317796185
(주)농심,004370,2020/12,12,300000,2725528185,676564197,149048288,231491674,2639795633,1651092099,837195761,41503996,0,37153771,1074436086,522145640,321541825
(주)농심,004370,2021/12,12,318500,2899907794,699140508,99637363,162684342,2662982988,1811216285,818112081,37179555,0,38321709,1088691509,537328993,157475656
(주)농심,004370,2022/12,12,357000,3034718536,719378357,116033570,159650440,3129065208,1826193921,899562575,42807029,0,39287696,1208524615,616485544,127900573
(주)대우건설,047040,2013/12,12,7370,10122312287,7468717738,-718036005,-505453533,8782195639,3173473153,340001478,-121688653,0,0,6948839134,4757060360,409596263
(주)대우건설,047040,2014/12,12,5890,10260218124,7534623220,102110187,264409212,9995022699,3272302667,763637316,54073077,0,0,6987915457,4233701439,325689623
(주)대우건설,047040,2015/12,12,5600,10152059203,7321377915,142037371,685041769,9935734306,3452193242,728017640,26752162,0,10581000,6699865961,4671530004,539046023
(주)대우건설,047040,2016/12,12,5080,9970246457,7900336457,-754927284,358834067,11105930098,3611245178,95055769,-256209614,0,9904000,6359001278,6608468330,816784210
