회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),연구개발비(IFRS연결),매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결)
(주)BNK금융지주,138930,2015/12,8420,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/12,8680,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/12,9420,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/12,7330,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/12,7660,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/12,5680,,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2015/12,14300,6.74,1.47,3.53,0.77,5.71,1.25,1.29,0.28,5.11,67.63,984643712,126733352,104710656,49406000,666594987,124968815
(주)DB하이텍,000990,2016/12,15900,10.6,5.92,2.75,1.54,3.78,2.11,1.21,0.67,4.06,29.65,986788572,88344018,117582311,53738000,773140180,172427930
(주)DB하이텍,000990,2017/12,12000,14.03,6.76,2.58,1.24,5.73,2.76,1.54,0.74,3.71,27.62,993950720,110175089,110371984,54428000,679737744,143195168
(주)DB하이텍,000990,2018/12,10850,9.74,4.68,1.84,0.88,5.07,2.44,1.38,0.67,3.73,17.12,1066533840,86828768,102343239,52810000,669279136,112993143
(주)DB하이텍,000990,2019/12,27600,10.6,3.67,2.12,0.73,7.99,2.76,1.59,0.55,5.36,17.4,1088889810,104637012,112831598,55296000,807416423,181292188
(주)DB하이텍,000990,2020/12,51000,14.05,3.9,3.07,0.85,7.5,2.08,2.49,0.69,6.85,23.07,1178581197,166025591,119549642,58511000,935919766,239335181
(주)JB금융지주,175330,2015/12,5500,,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2016/12,5780,,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2017/12,6070,,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2018/12,5700,,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2019/12,5490,,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2020/12,5640,,,,,,,,,,,,,,,,
(주)KB금융지주,105560,2015/12,33150,,,,,,,,,,,,,,,,
(주)KB금융지주,105560,2016/12,42800,,,,,,,,,,,,,,,,
(주)KB금융지주,105560,2017/12,63400,,,,,,,,,,,,,,,,
(주)KB금융지주,105560,2018/12,46500,,,,,,,,,,,,,,,,
(주)KB금융지주,105560,2019/12,47650,,,,,,,,,,,,,,,,
(주)KB금융지주,105560,2020/12,43400,,,,,,,,,,,,,,,,
(주)강원랜드,035250,2015/12,38400,22.81,14.81,3.51,2.28,16.88,10.96,6.02,3.91,12.02,15.49,3690791830,441629101,278670466,108201,1633716839,595400402
(주)강원랜드,035250,2016/12,35750,20.97,16.62,3.13,2.48,15.88,12.59,5.63,4.46,10.83,14.55,3978987574,454533659,292739131,114514,1696532511,618616288
(주)강원랜드,035250,2017/12,34800,19.36,15.86,2.56,2.1,18.16,14.88,5.28,4.32,12.07,12.96,4185657487,437540507,286038872,64234,1604470055,530897334
(주)강원랜드,035250,2018/12,32000,24.65,18.2,2.15,1.59,20.02,14.79,5.1,3.77,13.61,8.39,4231241354,297236881,277765849,49171,1438059299,430699991
(주)강원랜드,035250,2019/12,29600,22.02,17.63,2.09,1.67,18.07,14.46,4.87,3.9,11.04,9.16,4438119306,334653892,282268243,60061,1520080449,501153152
(주)강원랜드,035250,2020/12,23500,0,0,1.96,1.06,0,0,13.33,7.17,0,-7.92,3641632201,-275879104,365663102,8215,478578866,-431583874
(주)녹십자,006280,2015/12,183000,29.59,13.37,3.62,1.64,53.72,24.27,3.58,1.62,20.19,10.27,1415128446,95687082,247316413,98210000,1047812247,91680270
(주)녹십자,006280,2016/12,157000,47.65,24.8,3.27,1.7,0,0,2.9,1.51,21.13,6.46,1550614664,65152451,273626761,112283000,1197903918,78451576
(주)녹십자,006280,2017/12,226000,52.28,29.23,3.02,1.69,61.65,34.47,2.61,1.46,25.59,5.24,1703581525,56711043,276506081,108639000,1287916286,90297778
(주)녹십자,006280,2018/12,136000,63.39,29.14,3.17,1.45,248.74,114.33,2.66,1.22,22.78,3.28,1723409866,34249900,295716976,122029000,1334877810,50150708
(주)녹십자,006280,2019/12,132500,156.93,95.64,1.95,1.19,43.51,26.52,1.62,0.99,24.85,-0.35,1959299528,-11287400,332060768,126673000,1369709727,40254540
(주)녹십자,006280,2020/12,406000,99.66,21.36,5.36,1.15,108.47,23.25,4.33,0.93,63.52,7.48,2151399594,89270741,390374084,137987000,1504115279,50252526
(주)녹십자홀딩스,005250,2015/12,41950,172.55,53.85,5.68,1.77,0,0,64.27,20.06,108.31,9.11,2058661120,112848610,261994598,95507000,1132876997,107609076
(주)녹십자홀딩스,005250,2016/12,23800,95.96,36.15,4.65,1.75,46.39,17.48,26.15,9.85,42.18,6.27,2249277259,74263537,293512304,109210000,1354466206,99255538
(주)녹십자홀딩스,005250,2017/12,39250,105.34,51.04,3.79,1.83,35.4,17.15,18.79,9.1,64.85,5.47,2560695918,70728142,300315518,103749000,1465489007,111971957
(주)녹십자홀딩스,005250,2018/12,25100,111.48,52.56,3.82,1.8,36.41,17.17,15.53,7.32,39.11,2.28,2628599972,19378934,357222123,122405000,1548714795,49332045
(주)녹십자홀딩스,005250,2019/12,22250,48.04,30.99,2.33,1.51,39.41,25.43,21.2,13.68,42.38,0.37,2773868507,-30476552,399407919,126347000,1524799074,30379584
(주)녹십자홀딩스,005250,2020/12,41500,48.68,14.36,4.06,1.2,52.2,15.4,31.13,9.18,51.81,19.74,3241202077,179995784,459558862,143311000,1719325650,70732030
(주)농심,004370,2015/12,439500,23.92,11.99,1.73,0.87,14.78,7.41,1.47,0.73,15.55,7.4,2418707598,117412116,553712740,5775392,2181623581,118287933
(주)농심,004370,2016/12,332500,16.91,8.83,1.88,0.98,15.68,8.19,1.76,0.92,14.77,11.64,2481287284,199229661,623601862,5896940,2217015272,89702884
(주)농심,004370,2017/12,354000,28.75,21.91,1.28,0.98,27.79,21.17,1.25,0.95,15.12,5.01,2449898373,90685629,637985219,5842671,2208260640,96383976
(주)농심,004370,2018/12,254500,28.9,17,1.18,0.69,20.64,12.14,1.18,0.69,11.65,4.54,2532286535,84301647,583183360,5250348,2236436215,88559996
(주)농심,004370,2019/12,240500,34.54,23.46,1.04,0.7,14.61,9.92,1.02,0.69,12.27,3.72,2653049875,71068947,639092450,5521787,2343942952,78816049
(주)농심,004370,2020/12,300000,26.32,14.59,1.26,0.7,13.3,7.37,1.16,0.64,10.75,7.5,2725528185,149048288,676898269,4994752,2639795633,160297492
(주)대우건설,047040,2015/12,5600,26.52,14.52,1.44,0.79,5.46,2.99,0.39,0.22,10.44,5.3,10152059203,142037371,384583889,14357000,9935734306,343433751
(주)대우건설,047040,2016/12,5080,0,0,1.61,1.07,13.95,9.27,0.29,0.19,0,-30.63,9970246457,-754927284,562298024,13958000,11105930098,-467242255
(주)대우건설,047040,2017/12,5920,15.52,9.5,1.6,0.98,21.11,12.91,0.31,0.19,8.61,12.12,8776332436,257893627,402700327,11102000,11766840488,429026367
(주)대우건설,047040,2018/12,5390,12.49,7.22,1.43,0.83,44.92,25.96,0.3,0.18,5.38,13.2,8733846010,297330432,401374062,12667000,10605493845,628733744
(주)대우건설,047040,2019/12,4740,327.48,201.13,1.19,0.73,0,0,0.31,0.19,14.3,8.8,9697696817,201239572,490992720,13768000,8651852221,364061075
(주)대우건설,047040,2020/12,4985,12.8,5.29,0.98,0.41,8.45,3.49,0.3,0.12,7.45,11.06,9305916434,282603723,442033540,13905000,8136705737,558257521
(주)대웅,003090,2015/12,56600,173.12,54.9,5.16,1.64,128.66,40.8,30.49,9.67,46.25,8.62,1242301736,54590416,309867542,40865077,996816140,79718754
(주)대웅,003090,2016/12,44050,144.62,78.46,2.84,1.54,92.5,50.18,17.51,9.5,89.51,4.17,1467286018,34573862,399571064,112694144,1014965932,60994092
(주)대웅,003090,2017/12,19350,67.56,12.07,2.45,0.44,86.74,15.49,13.92,2.49,78.43,12.86,1549153182,85706875,430286903,120546019,1123956914,84543011
(주)대웅,003090,2018/12,17800,116.87,64.93,4.5,2.5,219.91,122.17,30.05,16.69,79.77,5.36,1592170452,32736376,461916501,131468641,1231290089,85774627
(주)대웅,003090,2019/12,12950,202.38,109.01,4.04,2.17,122.7,66.09,25.99,14,54.87,10.43,1668172837,71342383,525842927,123954805,1365679369,107543718
(주)대웅,003090,2020/12,50300,109.78,8.19,14.93,1.11,121.42,9.06,57.54,4.29,58.59,14.99,1837532868,118379527,528401871,118851445,1355337387,98055318
