회사명,거래소코드,회계년도,거래월(*),종가,자산(*)(IFRS연결),부채(*)(IFRS연결),당기순이익(손실)(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),매출액(수익)(*)(IFRS연결),비유동자산(*)(IFRS연결),매출총이익(손실)(IFRS연결),법인세비용(IFRS연결),이자비용(IFRS연결),감가상각비(IFRS연결),유동자산(*)(IFRS연결),유동부채(*)(IFRS연결),현금및현금성자산(*)(IFRS연결)
(주)BNK금융지주,138930,2013/12,01,14400,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,02,15650,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,03,15300,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,04,14500,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,05,15700,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,06,14450,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,07,16050,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,08,14250,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,09,16050,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,10,17050,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,11,16300,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,12,16000,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,01,15850,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,02,15900,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,03,15050,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,04,15800,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,05,15550,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,06,14900,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,07,16550,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,08,16800,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,09,16900,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,10,16650,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,11,15700,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,12,14500,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,01,13850,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,02,14900,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,03,15200,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,04,16050,,,,,,,,,,,,,
