회사명,거래소코드,회계년도,거래월(*),종가,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)
(주)BNK금융지주,138930,2013/12,01,14400,193379899
(주)BNK금융지주,138930,2013/12,01,14400,193379899
(주)BNK금융지주,138930,2013/12,02,15650,193379899
(주)BNK금융지주,138930,2013/12,02,15650,193379899
(주)BNK금융지주,138930,2013/12,03,15300,193379899
(주)BNK금융지주,138930,2013/12,03,15300,193379899
(주)BNK금융지주,138930,2013/12,04,14500,193379899
(주)BNK금융지주,138930,2013/12,04,14500,193379899
(주)BNK금융지주,138930,2013/12,05,15700,193379899
(주)BNK금융지주,138930,2013/12,05,15700,193379899
(주)BNK금융지주,138930,2013/12,06,14450,193379899
(주)BNK금융지주,138930,2013/12,06,14450,193379899
(주)BNK금융지주,138930,2013/12,07,16050,193379899
(주)BNK금융지주,138930,2013/12,07,16050,193379899
(주)BNK금융지주,138930,2013/12,08,14250,193379899
(주)BNK금융지주,138930,2013/12,08,14250,193379899
(주)BNK금융지주,138930,2013/12,09,16050,193379899
(주)BNK금융지주,138930,2013/12,09,16050,193379899
(주)BNK금융지주,138930,2013/12,10,17050,193379899
(주)BNK금융지주,138930,2013/12,10,17050,193379899
(주)BNK금융지주,138930,2013/12,11,16300,193379899
(주)BNK금융지주,138930,2013/12,11,16300,193379899
(주)BNK금융지주,138930,2013/12,12,16000,193379899
(주)BNK금융지주,138930,2013/12,12,16000,193379899
(주)BNK금융지주,138930,2014/12,01,15850,234379899
(주)BNK금융지주,138930,2014/12,01,15850,234379899
(주)BNK금융지주,138930,2014/12,02,15900,234379899
(주)BNK금융지주,138930,2014/12,02,15900,234379899
(주)BNK금융지주,138930,2014/12,03,15050,234379899
(주)BNK금융지주,138930,2014/12,03,15050,234379899
(주)BNK금융지주,138930,2014/12,04,15800,234379899
(주)BNK금융지주,138930,2014/12,04,15800,234379899
(주)BNK금융지주,138930,2014/12,05,15550,234379899
(주)BNK금융지주,138930,2014/12,05,15550,234379899
(주)BNK금융지주,138930,2014/12,06,14900,234379899
(주)BNK금융지주,138930,2014/12,06,14900,234379899
(주)BNK금융지주,138930,2014/12,07,16550,234379899
(주)BNK금융지주,138930,2014/12,07,16550,234379899
(주)BNK금융지주,138930,2014/12,08,16800,234379899
(주)BNK금융지주,138930,2014/12,08,16800,234379899
(주)BNK금융지주,138930,2014/12,09,16900,234379899
(주)BNK금융지주,138930,2014/12,09,16900,234379899
(주)BNK금융지주,138930,2014/12,10,16650,234379899
(주)BNK금융지주,138930,2014/12,10,16650,234379899
(주)BNK금융지주,138930,2014/12,11,15700,234379899
(주)BNK금융지주,138930,2014/12,11,15700,234379899
(주)BNK금융지주,138930,2014/12,12,14500,234379899
(주)BNK금융지주,138930,2014/12,12,14500,234379899
(주)BNK금융지주,138930,2015/12,01,13850,255935246
(주)BNK금융지주,138930,2015/12,01,13850,255935246
(주)BNK금융지주,138930,2015/12,02,14900,255935246
(주)BNK금융지주,138930,2015/12,02,14900,255935246
(주)BNK금융지주,138930,2015/12,03,15200,255935246
(주)BNK금융지주,138930,2015/12,03,15200,255935246
(주)BNK금융지주,138930,2015/12,04,16050,255935246
(주)BNK금융지주,138930,2015/12,04,16050,255935246
(주)BNK금융지주,138930,2015/12,05,15700,255935246
(주)BNK금융지주,138930,2015/12,05,15700,255935246
(주)BNK금융지주,138930,2015/12,06,14200,255935246
(주)BNK금융지주,138930,2015/12,06,14200,255935246
(주)BNK금융지주,138930,2015/12,07,13750,255935246
(주)BNK금융지주,138930,2015/12,07,13750,255935246
(주)BNK금융지주,138930,2015/12,08,13900,255935246
(주)BNK금융지주,138930,2015/12,08,13900,255935246
(주)BNK금융지주,138930,2015/12,09,13700,255935246
(주)BNK금융지주,138930,2015/12,09,13700,255935246
(주)BNK금융지주,138930,2015/12,10,14000,255935246
(주)BNK금융지주,138930,2015/12,10,14000,255935246
(주)BNK금융지주,138930,2015/12,11,9730,255935246
(주)BNK금융지주,138930,2015/12,11,9730,255935246
(주)BNK금융지주,138930,2015/12,12,8420,255935246
(주)BNK금융지주,138930,2015/12,12,8420,255935246
(주)BNK금융지주,138930,2016/12,01,8990,325935246
(주)BNK금융지주,138930,2016/12,01,8990,325935246
(주)BNK금융지주,138930,2016/12,02,8610,325935246
(주)BNK금융지주,138930,2016/12,02,8610,325935246
(주)BNK금융지주,138930,2016/12,03,9700,325935246
(주)BNK금융지주,138930,2016/12,03,9700,325935246
(주)BNK금융지주,138930,2016/12,04,9290,325935246
(주)BNK금융지주,138930,2016/12,04,9290,325935246
(주)BNK금융지주,138930,2016/12,05,8750,325935246
