회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
(주)DB하이텍,000990,2015/12,14300,6.74,1.47,3.53,0.77,5.71,1.25,1.29,0.28,5.11,61.61,1005673854,127469869,105306648,49406000,666594987,124372824
(주)DB하이텍,000990,2016/12,15900,10.6,5.92,2.75,1.54,3.78,2.11,1.21,0.67,4.06,27.41,1006370876,88002359,118222593,53738000,773140180,171787648
(주)DB하이텍,000990,2017/12,12000,14.03,6.76,2.58,1.24,5.73,2.76,1.54,0.74,3.71,18.46,977575054,74401732,111213462,54428000,679737744,142353689
(주)DB하이텍,000990,2018/12,10850,9.74,4.68,1.84,0.88,5.07,2.44,1.38,0.67,3.73,19.32,1050696487,95087399,102452079,52810000,669279136,112884303
(주)DB하이텍,000990,2019/12,27600,10.6,3.67,2.12,0.73,7.99,2.76,1.59,0.55,5.36,20.4,1089400761,121159865,112967914,55296000,807416423,181155872
(주)DB하이텍,000990,2020/12,51000,14.05,3.9,3.07,0.85,7.5,2.08,2.49,0.69,6.85,23,1179256936,165657642,119696018,58511000,935919766,239188805
(주)HJ중공업,097230,2015/12,3900,0,0,0.55,0.26,6.86,3.27,0.37,0.18,0,-16.57,4638381000,-260118000,166799000,3055000,2041347000,-97810000
(주)HJ중공업,097230,2016/12,3365,0,0,0.55,0.33,6.28,3.81,0.26,0.16,31.37,-29.31,3921561000,-334429000,102807000,2144000,1928591000,49319000
(주)HJ중공업,097230,2017/12,3310,0,0,0.99,0.54,1.5,0.82,0.32,0.17,19.3,-40.75,3312303000,-299028000,105733000,1854000,1737428000,86683000
(주)HJ중공업,097230,2018/12,1655,0,0,0,0,2.34,0.95,0.24,0.1,0,0,2388369000,-963474000,265827000,2209000,1750954000,-66005000
(주)HJ중공업,097230,2019/12,4985,0,0,3.63,0.32,6.32,0.56,0.55,0.05,14.52,0,2465650000,-73654000,93343000,1734000,1609530000,77055000
(주)HJ중공업,097230,2020/12,7320,11.15,3.91,2.68,0.94,3.38,1.18,0.5,0.18,18.1,26.97,2189125000,76553000,78734000,2034000,1694634000,51087000
(주)MH에탄올,023150,2015/12,8760,16.01,6.76,2.24,0.95,9.28,3.92,2.46,1.04,6.55,14.07,78691328,7744832,2867026,0,50386203,11094172
(주)MH에탄올,023150,2016/12,7900,7.94,5.99,1.06,0.8,5.28,3.98,1.32,1,4.78,13.47,72025138,8134873,3057762,0,48897025,11876872
(주)MH에탄올,023150,2017/12,6340,10.39,7.36,0.99,0.7,5.7,4.04,1.27,0.9,7,9.23,107437079,5903108,3240303,0,48270464,10452914
(주)MH에탄올,023150,2018/12,5890,7.8,5.07,0.78,0.51,7.67,4.98,1.09,0.71,7.62,9.84,109656889,6553371,3583247,0,46943080,9028515
