회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),연구개발비(IFRS연결),매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결)
(주)DB하이텍,000990,2015/12,14300,6.74,1.47,3.53,0.77,5.71,1.25,1.29,0.28,5.11,67.63,984643712,126733352,104710656,49406000,666594987,124968815
(주)DB하이텍,000990,2016/12,15900,10.6,5.92,2.75,1.54,3.78,2.11,1.21,0.67,4.06,29.65,986788572,88344018,117582311,53738000,773140180,172427930
(주)DB하이텍,000990,2017/12,12000,14.03,6.76,2.58,1.24,5.73,2.76,1.54,0.74,3.71,27.62,993950720,110175089,110371984,54428000,679737744,143195168
(주)DB하이텍,000990,2018/12,10850,9.74,4.68,1.84,0.88,5.07,2.44,1.38,0.67,3.73,17.12,1066533840,86828768,102343239,52810000,669279136,112993143
(주)DB하이텍,000990,2019/12,27600,10.6,3.67,2.12,0.73,7.99,2.76,1.59,0.55,5.36,17.4,1088889810,104637012,112831598,55296000,807416423,181292188
(주)DB하이텍,000990,2020/12,51000,14.05,3.9,3.07,0.85,7.5,2.08,2.49,0.69,6.85,23.07,1178581197,166025591,119549642,58511000,935919766,239335181
(주)HJ중공업,097230,2015/12,3900,0,0,0.55,0.26,6.86,3.27,0.37,0.18,0,-17.73,5914637000,-260925000,190406000,4012000,3115473000,-79370000
(주)HJ중공업,097230,2016/12,3365,0,0,0.55,0.33,6.28,3.81,0.26,0.16,31.37,-29.53,5256464000,-334446000,139045000,2695000,2813271000,-79319000
(주)HJ중공업,097230,2017/12,3310,0,0,0.99,0.54,1.5,0.82,0.32,0.17,19.3,-37.73,4206655000,-277978000,137941000,1854000,2452314000,-116693000
(주)HJ중공업,097230,2018/12,1655,0,0,0,0,2.34,0.95,0.24,0.1,0,0,2733620000,-1283647000,79104000,2209000,1697869000,61676000
(주)HJ중공업,097230,2019/12,4985,0,0,3.63,0.32,6.32,0.56,0.55,0.05,14.52,0,2470222000,306169000,93645000,1734000,1628751000,83839000
(주)HJ중공업,097230,2020/12,7320,11.15,3.91,2.68,0.94,3.38,1.18,0.5,0.18,18.1,27.71,2193855000,78346000,78842000,2034000,1695815000,51629000
(주)MH에탄올,023150,2015/12,8760,16.01,6.76,2.24,0.95,9.28,3.92,2.46,1.04,6.55,14.06,78996052,7778593,2869185,0,50386203,11092013
(주)MH에탄올,023150,2016/12,7900,7.94,5.99,1.06,0.8,5.28,3.98,1.32,1,4.78,13.41,72339673,8144684,3060158,0,48897025,11874476
(주)MH에탄올,023150,2017/12,6340,10.39,7.36,0.99,0.7,5.7,4.04,1.27,0.9,7,10.42,500180086,4308068,6634846,0,51977132,8116711
(주)MH에탄올,023150,2018/12,5890,7.8,5.07,0.78,0.51,7.67,4.98,1.09,0.71,7.62,-0.93,440177523,-12033428,18042950,0,72795863,1228204
(주)MH에탄올,023150,2019/12,6140,0,0,0.91,0.71,8.03,6.25,1.1,0.85,8.65,-0.88,451474451,-7552043,18831058,0,80879342,7829103
(주)MH에탄올,023150,2020/12,8410,87.73,37.65,1.85,0.79,13.28,5.7,1.98,0.85,9.87,11.49,449679366,3802823,19039358,0,94645239,15781923
(주)SH에너지화학,002360,2015/12,1440,22.07,10.6,3.3,1.59,11.36,5.45,1.3,0.63,5.91,14.62,115520726,12590617,14356137,0,216441364,22950175
(주)SH에너지화학,002360,2016/12,1575,13.72,7.21,2.52,1.32,20.82,10.94,1.12,0.59,5.96,18.66,124488724,18028878,14537419,0,218397677,24101160
(주)SH에너지화학,002360,2017/12,1405,22.84,16.66,2.03,1.48,12.48,9.11,1.1,0.8,8.38,9.21,125312154,9879057,12108613,0,188114822,14181936
(주)SH에너지화학,002360,2018/12,1100,74.92,32.62,2.06,0.9,48.38,21.06,1.15,0.5,19.56,2.21,122434685,2033570,10168002,0,183598766,2100669
(주)SH에너지화학,002360,2019/12,1020,0,0,1.75,1.02,11.61,6.75,1.22,0.71,849.43,-2.84,123415832,-3090151,9799303,0,140852575,-3131128
(주)SH에너지화학,002360,2020/12,835,0,0,2.17,0.62,51.03,14.66,2.12,0.61,0,-7.29,117356594,-6945600,8939871,0,93584262,-7851791
(주)SIMPAC,009160,2015/12,5600,11.96,6.98,1.08,0.63,22.18,12.95,1.09,0.64,7.02,7.29,422833445,16449973,26874065,0,269528038,21241031
(주)SIMPAC,009160,2016/12,4740,10.51,7.61,0.77,0.56,5.67,4.1,0.8,0.58,5.51,6.85,417865468,16183843,25794076,0,267074156,23566192
(주)SIMPAC,009160,2017/12,4130,21.2,16.19,0.68,0.52,0,0,0.74,0.57,7.78,5.36,381158251,12895699,25927072,0,230634812,11697915
(주)SIMPAC,009160,2018/12,2440,2.44,0.93,0.38,0.14,4.19,1.6,0.57,0.22,11.15,20.48,681750819,69198558,23965220,0,306150809,10190572
(주)SIMPAC,009160,2019/12,2945,23.11,13.08,0.64,0.36,5.89,3.33,0.68,0.38,9.89,2.17,679145850,9487516,33638732,0,430085162,11141319
(주)SIMPAC,009160,2020/12,2470,7.45,4.14,0.46,0.25,451.62,251.07,0.72,0.4,11.28,7.54,737277692,34139484,29890518,0,365863303,7787378
(주)SNT에너지,100840,2015/12,29750,8.58,3.96,1.03,0.48,105.23,48.52,0.89,0.41,4.95,,,,,,,
(주)SNT에너지,100840,2016/12,19200,126.99,71.71,0.93,0.52,6.02,3.4,0.83,0.47,22.06,,,,,,,
(주)SNT에너지,100840,2017/12,16100,32.32,20.87,0.64,0.41,0,0,0.8,0.52,2.64,,,,,,,
(주)SNT에너지,100840,2018/12,11050,68.56,41.57,0.55,0.33,8.67,5.26,0.9,0.54,123.89,,,,,,,
(주)SNT에너지,100840,2019/12,19800,10.43,5.41,0.64,0.33,0,0,0.75,0.39,7.79,6.31,333897235,15452273,18218102,732767,213326726,17473548
(주)SNT에너지,100840,2020/12,15650,15.88,8.18,0.64,0.33,2.25,1.16,0.65,0.33,2.21,4.07,335351657,9787541,16962616,187866,237399736,23125971
(주)SNT홀딩스,036530,2015/12,29350,17.69,10.55,1.18,0.7,61.71,36.79,57.94,34.55,60.91,5.75,2169311305,116419931,119866075,20645176,1612746929,161533664
(주)SNT홀딩스,036530,2016/12,15850,70.43,32.7,1.16,0.54,640.17,297.22,49.66,23.06,27.34,0.47,2210178425,10146568,128799440,18481535,1537700275,72283066
(주)SNT홀딩스,036530,2017/12,15750,69.81,54.44,0.69,0.54,47.1,36.73,39.27,30.62,43.53,1.14,2146174938,25863066,144142589,19561190,1508152132,60637139
(주)SNT홀딩스,036530,2018/12,13000,41.82,28.32,0.62,0.42,38.86,26.31,35.66,24.15,38.53,4.36,2113834573,73732317,107537015,17000641,1401307482,72650119
(주)SNT홀딩스,036530,2019/12,15450,29.1,20.64,0.66,0.47,26.64,18.89,24.42,17.32,27.67,8.78,2236679025,124509305,101666105,14916609,1512114565,126277061
(주)SNT홀딩스,036530,2020/12,14900,11.93,7.14,0.66,0.39,11.95,7.15,10.82,6.47,10.45,4.62,2270485740,77889420,81556557,12698117,1435754699,127086173
(주)STX,011810,2015/12,3435,0,0,3.09,0.17,7.19,0.39,0.15,0.01,0,-59.01,1267224000,-48982000,78916000,0,1630827000,-34170000
(주)STX,011810,2016/12,1660,0,0,0,0,4.4,1.09,0.1,0.02,0,0,707709000,-457446000,118928000,0,1720153000,-34169000
(주)STX,011810,2017/12,23850,11.28,0.79,89.15,6.26,40.4,2.84,2.38,0.17,20.72,0,627542000,334386000,41253000,0,1803878000,44053000
