종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","47100","550","1.18","47900","47900","46150","5703","267087200","441066018900","9364459"
"068400","AJ렌터카","11900","0","0.00","12000","12000","11550","80410","944512000","263540970000","22146300"
"006840","AK홀딩스","63200","1200","1.94","62100","63400","61900","41294","2597276200","837245855200","13247561"
"027410","BGF리테일","171500","7500","4.57","164500","173500","164500","57340","9813907000","4248734826000","24773964"
"138930","BNK금융지주","8420","50","0.60","8380","8430","8320","1398463","11715942890","2154974771320","255935246"
"001460","BYC","459500","-5500","-1.18","463000","463000","455500","163","74893500","287010592500","624615"
"001465","BYC우","193500","-6500","-3.25","196000","196000","189500","2488","473010500","41676997500","215385"
"001040","CJ","251000","-5000","-1.95","256500","256500","250000","65136","16461931500","7312570748000","29133748"
"079160","CJ CGV","126000","1000","0.80","126500","128500","125000","113441","14357959000","2666325438000","21161313"
"000120","CJ대한통운","191000","-1000","-0.52","192000","192500","190000","21002","4013035000","4357157704000","22812344"
"011150","CJ씨푸드","3490","105","3.10","3420","3525","3410","170075","592992770","125398397770","35930773"
"011155","CJ씨푸드1우","17600","300","1.73","17200","17600","17100","1983","33977100","3520000000","200000"
"001045","CJ우","131000","5500","4.38","125000","133500","124000","9845","1273475000","296089213000","2260223"
"097950","CJ제일제당","377500","-5500","-1.44","383000","383000","375000","32965","12450068500","4967219745000","13158198"
"097955","CJ제일제당 우","218500","5000","2.34","216500","220500","216000","2002","437638500","290044110500","1327433"
"037560","CJ헬로비전","12650","50","0.40","12750","12900","12550","138944","1773590950","979702842250","77446865"
"000590","CS홀딩스","79300","-400","-0.50","79700","79900","78500","261","20688300","91550422600","1154482"
"139130","DGB금융지주","10050","50","0.50","10000","10050","9950","517429","5177144220","1698984197700","169053154"
"004840","DRB동일","12900","-300","-2.27","13200","13300","12850","50194","650708200","232329000000","18010000"
"155660","DSR","4090","65","1.61","4025","4150","4020","33945","137633635","65440000000","16000000"
"069730","DSR제강","3800","-30","-0.78","3820","3865","3780","37115","141084580","54720000000","14400000"
"017940","E1","61400","600","0.99","60900","61400","60700","1780","108833400","421204000000","6860000"
"007700","F&F","17750","500","2.90","17250","17950","17000","42483","748929400","273350000000","15400000"
"114090","GKL","24200","-100","-0.41","24200","24500","23950","168946","4104456150","1496907214000","61855670"
"078930","GS","50700","0","0.00","50900","51900","50400","194939","9942214600","4710809664600","92915378"
"006360","GS건설","19750","-250","-1.25","20050","20200","19650","267551","5290321100","1402250000000","71000000"
"001250","GS글로벌","5490","-40","-0.72","5510","5530","5460","23992","131447230","123710364360","22533764"
"007070","GS리테일","53800","1900","3.66","51900","54100","51400","243121","13010315500","4142600000000","77000000"
"078935","GS우","33450","-50","-0.15","33350","33600","33250","1947","65211050","59702429700","1784826"
"001500","HMC투자증권","10000","-100","-0.99","10200","10200","9980","29423","294759300","293371110000","29337111"
"003560","IHQ","2055","10","0.49","2040","2080","2040","168473","347834870","294501538305","143309751"
"175330","JB금융지주","5500","-50","-0.90","5550","5550","5460","142998","784847150","854916826500","155439423"
"001060","JW중외제약","36500","-250","-0.68","37100","37500","36200","108835","4004928100","651559018000","17850932"
"001067","JW중외제약2우B","44900","-950","-2.07","45400","46700","44150","603","27315850","3543014100","78909"
"001065","JW중외제약우","25800","-250","-0.96","25800","26400","25350","799","20553250","3876811200","150264"
"096760","JW홀딩스","8800","-200","-2.22","9100","9100","8800","197827","1769897170","498255920800","56619991"
"105560","KB금융","33150","-200","-0.60","33500","33650","33050","582405","19331159000","12807558622950","386351693"
"002550","KB손해보험","29200","0","0.00","29200","29950","28650","253332","7352648300","1752000000000","60000000"
"002380","KCC","417500","3000","0.72","416500","419000","406000","31047","12765884500","4407344177500","10556513"
"009070","KCTC","3170","105","3.43","3100","3185","3070","33323","104346025","95100000000","30000000"
"009440","KC그린홀딩스","9160","-150","-1.61","9260","9380","9100","164406","1508208580","205504416800","22434980"
"119650","KC코트렐","7120","-90","-1.25","7210","7320","7120","17840","128294650","71200000000","10000000"
"092220","KEC","1120","-5","-0.44","1145","1145","1105","241356","269615065","66133070080","59047384"
"109070","KGP","2945","15","0.51","2935","3160","2900","1223621","3718385215","110015943865","37356857"
"001390","KG케미칼","15500","150","0.98","15250","15550","15200","37586","579468500","177922485000","11478870"
"001940","KISCO홀딩스","62200","900","1.47","61400","63700","60600","9199","567768500","229846167200","3695276"
"083420","KPX그린케미칼","4120","215","5.51","3945","4120","3905","30021","120458140","82400000000","20000000"
"025000","KPX케미칼","48250","-600","-1.23","48800","48800","48200","871","42065300","233530000000","4840000"
"092230","KPX홀딩스","59300","500","0.85","58600","59500","58600","237","13978300","250521507800","4224646"
"000040","KR모터스","1270","-25","-1.93","1300","1315","1255","5544008","7065510265","222640860280","175307764"
"044450","KSS해운","17200","500","2.99","16650","17300","16300","24650","412429600","199398568000","11592940"
"030200","KT","28250","-100","-0.35","28400","28450","28200","708755","20085118450","7376408576000","261111808"
"033780","KT&G","104500","-1500","-1.42","107000","107500","104000","354172","37511461000","14347065936500","137292497"
"030210","KTB투자증권","2265","-35","-1.52","2305","2335","2240","381911","866433450","136611418380","60314092"
"058850","KTcs","3160","20","0.64","3140","3175","3125","40486","127877895","134884600000","42685000"
"093050","LF","27000","200","0.75","26750","27050","26500","38966","1044463450","789480000000","29240000"
"003550","LG","70800","-800","-1.12","71600","72800","70400","170158","12093365400","12217044874800","172557131"
"034220","LG디스플레이","24550","250","1.03","24600","25500","24500","1479558","36950966450","8784375435000","357815700"
"001120","LG상사","33800","-450","-1.31","33950","34100","32900","159004","5338735600","1310088000000","38760000"
"068870","LG생명과학","60600","1100","1.85","60000","62100","58500","160637","9755910700","1004565594000","16576990"
"068875","LG생명과학우","41200","-100","-0.24","41300","41500","40850","417","17137850","9732099200","236216"
"051900","LG생활건강","1050000","-7000","-0.66","1060000","1066000","1040000","28450","29847845000","16399106850000","15618197"
"051905","LG생활건강우","545000","20000","3.81","528000","545000","527000","4401","2371878000","1144334865000","2099697"
"003555","LG우","46950","200","0.43","46750","47000","46600","2065","96811250","155624085150","3314677"
"032640","LG유플러스","10400","150","1.46","10300","10550","10250","836764","8745528250","4540758154400","436611361"
"011070","LG이노텍","98500","200","0.20","98500","100000","98100","75549","7478394300","2331210039500","23667107"
"066570","LG전자","53800","1400","2.67","53000","54400","52900","697754","37449615500","8804252393200","163647814"
"066575","LG전자우","28700","200","0.70","28500","29150","28500","24014","690566000","493237970400","17185992"
"108670","LG하우시스","146500","1000","0.69","147000","148500","146000","23375","3436319500","1313763655000","8967670"
"108675","LG하우시스우","86600","-300","-0.35","86900","86900","86000","116","9987000","89399778000","1032330"
"051910","LG화학","328500","-3500","-1.05","333500","333500","326500","170894","56077290000","21770056350000","66271100"
"051915","LG화학우","247000","1500","0.61","246500","247000","242500","9662","2368561000","1884343487000","7628921"
"079550","LIG넥스원","103500","-500","-0.48","104500","106000","101500","82965","8617333000","2277000000000","22000000"
"006260","LS","40350","-1350","-3.24","42000","42000","40350","139036","5679379200","1299270000000","32200000"
"000680","LS네트웍스","3645","-15","-0.41","3665","3695","3645","32163","117640300","287221443750","78798750"
"010120","LS산전","46000","-900","-1.92","47000","47050","45800","110298","5082354650","1380000000000","30000000"
"023150","MH에탄올","8760","-240","-2.67","8990","9000","8750","24062","212296330","64635887760","7378526"
"035420","NAVER","658000","16000","2.49","642000","668000","639000","64215","42006647000","21689442782000","32962679"
"181710","NHN엔터테인먼트","56900","1900","3.45","55300","57500","55000","165354","9356987400","1113249922500","19565025"
"005940","NH투자증권","10100","-100","-0.98","10250","10250","10050","1064783","10788123650","2842229758700","281408887"
"005945","NH투자증권우","6740","-30","-0.44","6750","6770","6640","58501","392448150","127190324320","18870968"
"034310","NICE","21750","0","0.00","22250","22250","21700","29518","648227450","823940025000","37882300"
"008260","NI스틸","2645","-10","-0.38","2670","2720","2645","87644","235378365","75189018250","28426850"
"004250","NPC","7740","40","0.52","7760","7760","7400","36668","281045790","284212800000","36720000"
"004255","NPC우","3480","30","0.87","3485","3485","3430","2047","7095725","18374400000","5280000"
"010060","OCI","75000","-3600","-4.58","79200","79300","74800","277667","21170944600","1788702825000","23849371"
"005490","POSCO","166500","-3000","-1.77","170000","170500","164500","416049","69212309000","14516608027500","87186835"
"100840","S&TC","29750","-800","-2.62","30050","30450","29750","12478","373636500","210767207000","7084612"
"064960","S&T모티브","85800","-1100","-1.27","86900","87800","85400","46985","4046277000","1235810518800","14403386"
"003570","S&T중공업","13700","200","1.48","13450","13700","13150","58729","793408950","444886114300","32473439"
"036530","S&T홀딩스","29350","400","1.38","29100","29600","28700","17074","497369400","451111730600","15370076"
"010950","S-Oil","79400","500","0.63","80200","81400","78000","246683","19756038700","8939073684800","112582792"
"010955","S-Oil우","46450","-250","-0.54","46550","46700","46200","3411","157835450","186818509150","4021927"
"034120","SBS","35000","-850","-2.37","35800","36150","34750","32602","1145984000","638840370000","18252582"
"101060","SBS미디어홀딩스","3890","-45","-1.14","3940","3990","3890","152394","600682715","544196179100","139896190"
"004060","SG세계물산","1215","10","0.83","1210","1220","1195","1193093","1439018790","245946326400","202424960"
"001380","SG충남방적","2635","-10","-0.38","2650","2680","2570","74638","196582875","110004583450","41747470"
"002360","SH에너지화학","1440","-5","-0.35","1440","1450","1435","632286","910423045","160032571200","111133730"
"009160","SIMPAC","5600","-140","-2.44","5680","5740","5590","38689","217844490","162875580000","29084925"
"123700","SJM","6550","50","0.77","6490","6590","6470","8441","55141350","102212081900","15604898"
"025530","SJM홀딩스","5810","10","0.17","5800","5820","5750","3954","22919430","86766586480","14934008"
"034730","SK","240500","-10000","-3.99","250500","251500","235500","397072","95201478500","16921651428500","70360297"
"011790","SKC","33800","50","0.15","33800","34350","33400","90873","3073621400","1243743602400","36797148"
"018670","SK가스","73000","-300","-0.41","73300","74000","72400","6051","443936200","642135521000","8796377"
"001740","SK네트웍스","5490","-270","-4.69","5710","5710","5470","1919791","10640416840","1362550182030","248187647"
"001745","SK네트웍스우","51300","2400","4.91","49500","53600","49000","9890","505539900","5830142400","113648"
"03473K","SK우","151500","-4000","-2.57","156500","157000","149500","2165","327288500","85769452500","566135"
"096770","SK이노베이션","130000","-3000","-2.26","133000","134000","130000","210167","27601200500","12020523320000","92465564"
"096775","SK이노베이션우","69900","-1900","-2.65","71800","71800","69800","9150","642353200","87264977400","1248426"
"001510","SK증권","1150","10","0.88","1155","1165","1135","2198858","2527915400","368134746650","320117171"
"001515","SK증권우","2015","-20","-0.98","2060","2060","2005","23634","47956370","7883715710","3912514"
"006120","SK케미칼","72600","-300","-0.41","73300","73300","72000","125923","9156006900","1764416313000","24303255"
"006125","SK케미칼우","34100","-550","-1.59","34450","34800","34100","9139","315678650","96063962500","2817125"
"017670","SK텔레콤","215500","500","0.23","216000","218000","214000","257209","55521351000","17400700720500","80745711"
"000660","SK하이닉스","30750","-450","-1.44","31100","31450","30550","1801261","55517464750","22386072723750","728002365"
"011810","STX","3435","5","0.15","3500","3500","3350","18471","62602160","102636803850","29879710"
"077970","STX엔진","6800","-30","-0.44","6830","6900","6750","4908","33352920","156460547200","23008904"
"071970","STX중공업","5660","20","0.35","5660","5700","5580","2764","15539620","126359652820","22325027"
"002710","TCC동양","2180","155","7.65","2060","2570","2055","1057347","2438314320","48706650000","22342500"
"024070","WISCOM","4960","-35","-0.70","5000","5050","4955","1677","8368255","74528563200","15025920"
"037270","YG PLUS","2940","10","0.34","2980","2985","2925","93073","274922490","169081910760","57510854"
"000500","가온전선","20800","0","0.00","20650","20900","20650","457","9484100","86535217600","4160347"
"035250","강원랜드","38400","-950","-2.41","39350","39800","38300","349760","13513293100","8215315200000","213940500"
"011420","갤럭시아에스엠","3455","205","6.31","3255","3470","3255","106387","363189550","95184020020","27549644"
"000860","건설화학","39950","100","0.25","39900","40050","39250","9227","367621050","259675000000","6500000"
"008020","경남에너지","9800","250","2.62","9650","10000","9400","3887","38000660","404240278400","41249008"
"002100","경농","5090","-10","-0.20","5160","5160","5060","3355","17061350","110411007500","21691750"
"012320","경동가스","89200","0","0.00","89200","89400","88500","1311","116868000","310844160000","3484800"
"009450","경동나비엔","31250","-1200","-3.70","32050","32700","31150","66086","2093289550","398109687500","12739510"
"000050","경방","192500","4500","2.39","185500","194000","185500","1201","230359000","527743947500","2741527"
"214390","경보제약","14200","300","2.16","14100","14200","13850","152196","2144724850","339477412000","23906860"
"012610","경인양행","3670","-35","-0.94","3695","3705","3615","62553","228334510","148254659550","40396365"
"009140","경인전자","19650","150","0.77","19500","19650","19500","87","1709400","30866161050","1570797"
"013580","계룡건설","9950","200","2.05","9750","9950","9730","4285","42090450","88862524650","8930907"
"012200","계양전기","5000","95","1.94","4905","5080","4905","101916","509025100","163000000000","32600000"
"012205","계양전기우","3375","-15","-0.44","3345","3405","3320","13519","45369335","4725000000","1400000"
"004200","고려개발","4730","150","3.28","4580","4750","4480","67723","311629760","94600000000","20000000"
"002140","고려산업","2055","5","0.24","2050","2055","2045","12991","26607195","51250518375","24939425"
"010130","고려아연","469000","3000","0.64","466500","472000","461000","27700","12914161500","8850030000000","18870000"
"002240","고려제강","38100","-900","-2.31","39000","39350","38100","11664","449224350","685800000000","18000000"
"009810","고려포리머","1190","10","0.85","1180","1190","1155","112006","131707475","40114086040","33709316"
"001290","골든브릿지증권","1050","-5","-0.47","1055","1060","1035","90780","95269530","66923920350","63737067"
"009290","광동제약","11150","350","3.24","10800","11300","10750","339347","3752276350","584492488650","52420851"
"017040","광명전기","2360","0","0.00","2360","2365","2320","237498","555245850","102276771400","43337615"
"017900","광전자","2335","40","1.74","2280","2335","2280","20711","47857220","135298686605","57943763"
"037710","광주신세계","283000","1000","0.35","282000","283000","279000","308","86618500","452800000000","1600000"
"192530","광주은행","7660","60","0.79","7580","7690","7530","73122","557199710","393080996620","51316057"
"140910","광희리츠","5400","20","0.37","5450","5500","5300","14789","79644170","19595169000","3628735"
"030610","교보증권","9400","-20","-0.21","9470","9470","9320","57738","542847790","338400000000","36000000"
"007690","국도화학","59300","0","0.00","59700","60100","59200","10242","609706400","344569528800","5810616"
"005320","국동","10100","190","1.92","9800","10250","9800","21356","215291210","47430852400","4696124"
"001140","국보","19450","-550","-2.75","20000","20250","19200","14155","276583050","19981062800","1027304"
"002720","국제약품","3800","55","1.47","3745","3845","3745","45416","172140190","63107808400","16607318"
"014530","극동유화","32800","700","2.18","31900","32900","31700","3142","101436450","114371697600","3486942"
"014280","금강공업","39300","-150","-0.38","39250","39650","39100","3371","132455400","190839385200","4855964"
"014285","금강공업우","30700","-850","-2.69","31650","31650","30000","165","5035600","3621832500","117975"
"008870","금비","58800","0","0.00","57500","59000","57500","1336","77980700","58800000000","1000000"
"001570","금양","1870","40","2.19","1830","1885","1830","225807","420825435","73590685960","39353308"
"002990","금호산업","14800","-1900","-11.38","16350","16350","12000","1492031","21054284300","515142460400","34806923"
"002995","금호산업우","25450","-1950","-7.12","27400","27400","24000","8885","225060850","7438169700","292266"
"011780","금호석유","52100","-800","-1.51","53400","53500","52100","94806","4980296200","1587366701100","30467691"
"011785","금호석유우","34300","-650","-1.86","34250","34800","34150","586","20171400","103705569800","3023486"
"214330","금호에이치티","9900","150","1.54","9930","10100","9610","142427","1416638060","96673500000","9765000"
"001210","금호전기","13200","500","3.94","12700","13250","12700","18799","245133850","91291873200","6916051"
"073240","금호타이어","6730","0","0.00","6740","6780","6700","287033","1929299660","1063293953340","157993158"
"092440","기신정기","6310","-90","-1.41","6340","6410","6220","68011","429426950","184252000000","29200000"
"000270","기아차","52600","-500","-0.94","52800","53200","52000","539792","28314094300","21322112052200","405363347"
"024110","기업은행","12350","-250","-1.98","12500","12650","12250","2041739","25327911250","6871564181300","556401958"
"013700","까뮤이앤씨","11800","-50","-0.42","11850","11950","11550","27284","320692350","53279690400","4515228"
