,날짜,종목,종목코드,종가,수익률
0,2013-04-01,DB하이텍,000990,6440.0,
1,2014-04-01,DB하이텍,000990,6640.0,0.03105590062111796
2,2015-04-01,DB하이텍,000990,5880.0,-0.11445783132530118
3,2016-04-01,DB하이텍,000990,18100.0,2.078231292517007
4,2017-04-03,DB하이텍,000990,20350.0,0.12430939226519344
5,2018-04-02,DB하이텍,000990,14150.0,-0.30466830466830463
6,2019-04-01,DB하이텍,000990,13000.0,-0.08127208480565373
7,2020-04-01,DB하이텍,000990,20900.0,0.6076923076923078
8,2021-04-01,DB하이텍,000990,57700.0,1.7607655502392343
9,2022-04-01,DB하이텍,000990,73400.0,0.27209705372616977
10,2023-04-03,DB하이텍,000990,75400.0,0.027247956403269713
11,2013-04-01,HJ중공업,097230,90412.0,
12,2014-04-01,HJ중공업,097230,140698.0,0.5561872317833916
13,2015-04-01,HJ중공업,097230,63404.0,-0.5493610428008927
14,2016-04-01,HJ중공업,097230,40033.0,-0.3686045044476689
15,2017-04-03,HJ중공업,097230,41319.0,0.032123498114055904
16,2018-04-02,HJ중공업,097230,34609.0,-0.16239502408093132
17,2019-04-01,HJ중공업,097230,13307.0,-0.6155046375220319
18,2020-04-01,HJ중공업,097230,4390.0,-0.6700984444277448
19,2021-04-01,HJ중공업,097230,7320.0,0.6674259681093395
20,2022-04-01,HJ중공업,097230,8070.0,0.10245901639344268
21,2023-04-03,HJ중공업,097230,3590.0,-0.5551425030978934
22,2013-04-01,MH에탄올,023150,3445.0,
23,2014-04-01,MH에탄올,023150,4190.0,0.21625544267053698
24,2015-04-01,MH에탄올,023150,8150.0,0.9451073985680192
25,2016-04-01,MH에탄올,023150,7640.0,-0.06257668711656439
26,2017-04-03,MH에탄올,023150,7810.0,0.022251308900523625
27,2018-04-02,MH에탄올,023150,6580.0,-0.1574903969270166
28,2019-04-01,MH에탄올,023150,6620.0,0.006079027355623046
29,2020-04-01,MH에탄올,023150,8050.0,0.21601208459214494
30,2021-04-01,MH에탄올,023150,8540.0,0.0608695652173914
