회사명,종목코드,회계년도,종가,ROE,시가총액,PER,PBR,PCR,PSR,PRR,RDS,RDO,RDN,ROA,판관비,EY,수정종가,수익률
DB하이텍,000990,2015,14300.0,5.437286488485626,634459997600.0,-0.5036424277545936,0.308228423517307,-0.4114313607343056,-0.31461274804204464,-0.19236140701555937,3.2448727973445646,0.33039998948800436,0.09010990039223084,2.0909567275866423,-0.4460065213427721,1.207491425709781,5880.0,-1.1445783132530118
DB하이텍,000990,2016,15900.0,2.538876201919235,705448528800.0,-0.4548177842552112,0.30519126457560597,-0.42206802344444816,-0.29769843497398357,-0.19232274076734723,3.014842716891158,0.1941401787293,0.27565860109527596,1.1319314691545255,-0.44188447005098813,1.8447303426379098,18100.0,20.782312925170068
DB하이텍,000990,2017,12000.0,2.297143544494019,532413984000.0,-0.4297297905437355,0.16244479431565365,-0.39622192713942883,-0.27587351488616285,-0.1927753755634754,3.5419676517417944,0.30557123223161925,0.17859635567671306,1.6537206140527871,-0.3396672697913117,2.137299153554597,20350.0,1.2430939226519344
DB하이텍,000990,2018,10850.0,1.0468022129842776,481724679800.0,-0.467156141818232,-0.17164268927146897,-0.4059639172851669,-0.2884228439366598,-0.19286468860178035,3.4837835108005577,0.44766797071116865,0.2755969497386954,0.9333204062117525,-0.32671783484537453,2.1191018441356504,14150.0,-3.0466830466830466
DB하이텍,000990,2019,27600.0,1.0801446484912038,1225401028800.0,-0.46803745307273353,-0.1321596230293545,-0.3737557049666043,-0.28351223691690014,-0.19110060432664713,2.963903477986431,0.18332223443982554,0.207852251662966,1.2926948847722886,-0.6295756652935623,1.0925664966617978,13000.0,-0.8127208480565373
MH에탄올,023150,2015,8760.0,0.6824170249442959,64635887760.0,-0.41809648198431576,-0.028896219011516525,-0.3494007296022592,-0.20930750861830963,-0.19409881842380786,-0.4527664034010679,-0.3132696036014121,-0.24103379549037127,1.3507750048491591,-0.7495552619240247,0.6657897021287403,8150.0,9.451073985680193
MH에탄올,023150,2016,7900.0,0.6050149425175024,58290355400.0,-0.4700350919162702,-0.43283835825776484,-0.38856750631063464,-0.2736910228773808,-0.19409881842380786,-0.4527664034010679,-0.3132696036014121,-0.24103379549037127,1.6964016077080797,-0.729154406298436,1.3775995549985451,7640.0,-0.6257668711656439
MH에탄올,023150,2017,6340.0,0.2489653633542523,46779854840.0,-0.44759103196829897,-0.4844700602666838,-0.3837959193004772,-0.2818753679103136,-0.19409881842380786,-0.4527664034010679,-0.3132696036014121,-0.24103379549037127,-0.8484737087458721,-0.5043964094518877,0.5422139964368152,7810.0,0.22251308900523625
MH에탄올,023150,2018,5890.0,-1.1025940759443724,43459518140.0,-0.476263024781414,-0.6059564179347284,-0.3548681730513979,-0.30206341899154776,-0.19409881842380786,-0.4527664034010679,-0.3132696036014121,-0.24103379549037127,-1.7283853548436785,0.18330616903663344,0.3958620160300182,6580.0,-1.574903969270166
SH에너지화학,002360,2015,1440.0,0.7491018959581486,160032571200.0,-0.35992993918721755,0.4874208010776727,-0.3135144189633669,-0.294970319963006,-0.19409881842380786,-0.4527664034010679,-0.3132696036014121,-0.24103379549037127,1.6083060190777125,-0.6355377190992042,0.873956335518409,2140.0,15.415676959619953
