회사명,종목코드,회계년도,종가,EBITDA,ROE,자산,당기순이익,판관비,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW
(주)DB하이텍,990,2013/12,7530.0,78120.02,-33.51,1058391832.0,-83046768.0,98861923.0,44367832.0,334089774960.0,,0.0,2.52,10.870000000000001,0.63,-7.846504998349231,0.2959142434450039
(주)DB하이텍,990,2014/12,4615.0,127228.51,-47.32,984876636.0,-77008844.0,91344601.0,44367832.0,204757544680.0,-38.711819389110225,0.0,3.635,5.695,0.475,-7.819136040506093,0.4461110389986144
(주)DB하이텍,990,2015/12,14300.0,207129.82,67.63,984643712.0,126733352.0,104710656.0,44367832.0,634459997600.0,209.85915492957744,4.105,2.15,3.48,0.785,12.870985764239562,0.16503901963259093
(주)DB하이텍,990,2016/12,15900.0,251099.65,29.65,986788572.0,88344018.0,117582311.0,44367832.0,705448528800.0,11.188811188811187,8.26,2.145,2.945,0.94,8.952679480361878,0.16667737786626735
(주)DB하이텍,990,2017/12,12000.0,212643.69,27.62,993950720.0,110175089.0,110371984.0,44367832.0,532413984000.0,-24.52830188679245,10.395,1.9100000000000001,4.245,1.1400000000000001,11.084562522375355,0.20730481789899793
(주)DB하이텍,990,2018/12,10850.0,180261.3,17.12,1066533840.0,86828768.0,102343239.0,44398588.0,481724679800.0,-9.583333333333332,7.21,1.36,3.755,1.025,8.141210784272912,0.21245172458776732
(주)DB하이텍,990,2019/12,27600.0,261414.87,17.4,1088889810.0,104637012.0,112831598.0,44398588.0,1225401028800.0,154.37788018433181,7.135,1.425,5.375,1.07,9.60951338134021,0.0920772835571166
(주)DB하이텍,990,2020/12,51000.0,351309.81,23.07,1178581197.0,166025591.0,119549642.0,44398588.0,2264327988000.0,84.78260869565217,8.975,1.96,4.79,1.59,14.086903085048963,0.052796963440616185
(주)DB하이텍,990,2021/12,72700.0,543726.58,33.35,1549937896.0,316891852.0,136089825.0,44398588.0,3227777347600.0,42.54901960784314,8.98,2.665,7.275,2.34,20.445454802919407,0.04216208565351914
(주)DB하이텍,990,2022/12,37150.0,887685.14,40.73,2122700475.0,558836662.0,164471083.0,44398588.0,1649407544200.0,-48.89958734525447,4.79,1.71,3.675,1.595,26.32668473869353,0.0997152484104662
(주)강원랜드,35250,2013/12,30950.0,473770.15,12.17,3102036846.0,297596347.0,247153517.0,213940500.0,6621458475000.0,-16.689098250336475,22.895,2.825,15.535,4.945,9.593578728239258,0.03732614467539948
(주)강원랜드,35250,2014/12,30400.0,599478.5,13.76,3375127289.0,359348568.0,261071509.0,213940500.0,6503791200000.0,-1.7770597738287597,19.025,2.7199999999999998,13.395,4.640000000000001,10.646963424791887,0.04014143458357027
(주)강원랜드,35250,2015/12,38400.0,675082.33,15.49,3690791830.0,441629101.0,278670466.0,213940500.0,8215315200000.0,26.315789473684205,18.81,2.8949999999999996,13.92,4.965,11.96570062310992,0.033920848952940966
(주)강원랜드,35250,2016/12,35750.0,697471.98,14.55,3978987574.0,454533659.0,292739131.0,213940500.0,7648372875000.0,-6.9010416666666625,18.795,2.8049999999999997,14.235,5.045,11.423349546755835,0.038274693949201584
(주)강원랜드,35250,2017/12,34800.0,608190.07,12.96,4185657487.0,437540507.0,286038872.0,213940500.0,7445129400000.0,-2.657342657342654,17.61,2.33,16.52,4.800000000000001,10.453328022155004,0.03841959711271103
(주)강원랜드,35250,2018/12,32000.0,499596.38,8.39,4231241354.0,297236881.0,277765849.0,213940500.0,6846096000000.0,-8.045977011494255,21.424999999999997,1.87,17.405,4.435,7.024815086924961,0.04057288255963691
(주)강원랜드,35250,2019/12,29600.0,574351.05,9.16,4438119306.0,334653892.0,282268243.0,213940500.0,6332638800000.0,-7.499999999999996,19.825,1.88,16.265,4.385,7.540443798966229,0.04457355802449999
(주)강원랜드,35250,2020/12,23500.0,-354271.95,-7.92,3641632201.0,-275879104.0,365663102.0,213940500.0,5027601750000.0,-20.6081081081081,0.0,1.51,0.0,10.25,-7.575699268153523,0.07273111916631027
(주)강원랜드,35250,2021/12,24050.0,26102.41,-0.33,3827273464.0,-10582086.0,114344891.0,213940500.0,5145269025000.0,2.3404255319148914,0.0,1.69,25.509999999999998,6.970000000000001,-0.2764915049718015,0.022223306584051746
(주)강원랜드,35250,2022/12,23200.0,295443.72,3.47,4167752671.0,115612768.0,131329878.0,213940500.0,4963419600000.0,-3.534303534303529,47.305,1.645,13.059999999999999,4.32,2.77398341807697,0.026459555827196234
(주)녹십자,6280,2013/12,124500.0,86593.48,9.37,1104264801.0,72027708.0,196085355.0,11686538.0,1454973981000.0,436.63793103448273,22.625,1.99,64.655,1.955,6.522684408193864,0.1347689770130673
(주)녹십자,6280,2014/12,137000.0,107112.4,9.79,1330351374.0,86789123.0,213533659.0,11686538.0,1601055706000.0,10.040160642570273,25.475,1.895,28.97,1.8050000000000002,6.523774447576885,0.13337053682752997
(주)녹십자,6280,2015/12,183000.0,108680.26,10.27,1415128446.0,95687082.0,247316413.0,11686538.0,2138636454000.0,33.57664233576643,21.48,2.63,38.995,2.6,6.76172415800622,0.1156421010861531
(주)녹십자,6280,2016/12,157000.0,95347.8,6.46,1550614664.0,65152451.0,273626761.0,11686538.0,1834786466000.0,-14.207650273224049,36.225,2.485,0.0,2.205,4.201717713150686,0.1491327552663559
(주)녹십자,6280,2017/12,226000.0,109947.22,5.24,1703581525.0,56711043.0,276506081.0,11686538.0,2641157588000.0,43.94904458598725,40.755,2.355,48.06,2.035,3.3289303838863833,0.1046912468442985
(주)녹십자,6280,2018/12,136000.0,80273.81,3.28,1723409866.0,34249900.0,295716976.0,11686538.0,1589369168000.0,-39.82300884955752,46.265,2.31,181.535,1.94,1.9873334066198272,0.18605933848088843
(주)녹십자,6280,2019/12,132500.0,78697.12,-0.35,1959299528.0,-11287400.0,332060768.0,11686538.0,1548466285000.0,-2.573529411764708,126.285,1.5699999999999998,35.015,1.3050000000000002,-0.5760936415639253,0.2144449454383826
(주)녹십자,6280,2020/12,406000.0,80092.64,7.48,2151399594.0,89270741.0,390374084.0,11686538.0,4744734428000.0,206.41509433962267,60.51,3.255,65.86,2.63,4.149426319915909,0.0822752231813637
(주)녹십자,6280,2021/12,218000.0,99794.11,10.3,2462144732.0,136949879.0,446931651.0,11686538.0,2547665284000.0,-46.30541871921182,31.009999999999998,3.995,37.260000000000005,3.745,5.562218874467043,0.17542793152885777
(주)녹십자,6280,2022/12,129500.0,111553.25,5.03,2525537081.0,69414785.0,500540797.0,11686538.0,1513406671000.0,-40.596330275229356,36.365,1.805,23.915,1.5899999999999999,2.7485157720398563,0.33073780272771114
(주)녹십자홀딩스,5250,2013/12,12450.0,18095.17,6.73,1624124363.0,80790983.0,204133185.0,47028210.0,585501214500.0,-90.38610038610038,45.735,1.335,0.0,21.490000000000002,4.974433290980686,0.34864690276402494
(주)녹십자홀딩스,5250,2014/12,20900.0,19622.15,8.24,1790874896.0,101469183.0,222127735.0,47028210.0,982889589000.0,67.8714859437751,46.855,1.69,179.245,25.025,5.665900126616103,0.22599459541126546
(주)녹십자홀딩스,5250,2015/12,41950.0,20509.29,9.11,2058661120.0,112848610.0,261994598.0,47028210.0,1972833409500.0,100.71770334928232,113.2,3.7249999999999996,0.0,42.165,5.481650617659695,0.13280117659118545
(주)녹십자홀딩스,5250,2016/12,23800.0,32227.81,6.27,2249277259.0,74263537.0,293512304.0,47028210.0,1119271398000.0,-43.2657926102503,66.05499999999999,3.2,31.935000000000002,18.0,3.301662198506227,0.2622351509423633
(주)녹십자홀딩스,5250,2017/12,39250.0,32449.36,5.47,2560695918.0,70728142.0,300315518.0,47028210.0,1845857242500.0,64.91596638655462,78.19,2.81,26.275,13.945,2.76206719832792,0.16269704454135217
